Id	TargetType	EffectId	SubCoin	Describe	Quality	Icon	QualityIcon	HeadIcon	Name	QualityIconSmall	Effect	ShopBgQualityIcon	TipsQualityIconBg	QualityIconTips
1		1	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进1格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
2		1	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进1格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
3		2	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进2格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon02.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进2	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
4		2	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进2格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon02.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进2	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
5		3	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进3格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进3	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
6		3	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进3格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进3	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
7		4	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进4格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon04.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进4	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
8		4	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进4格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon04.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进4	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
9		5	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进5格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon05.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进5	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
10		5	10	可对<color=#f5b60b>主目标</color>使用，使主目标下回合行动替换为<color=#f5b60b>前进5格</color>	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon05.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png		前进5	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png		Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png
