Id	EffctTrigger	EffectType	Param	KeepType	KeepCount	KeepTypeDesc
1	1	1001	[1]	2	1	持续回合：{0}
2	1	1001	[2]	2	1	持续回合：{0}
3	1	1001	[3]	2	1	持续回合：{0}
4	1	1001	[4]	2	1	持续回合：{0}
5	1	1001	[5]	2	1	持续回合：{0}
6	1	1001	[6]	2	1	持续回合：{0}
7	1	1002	[1]	2	1	持续回合：{0}
8	1	1002	[2]	2	1	持续回合：{0}
9	1	1002	[3]	2	1	持续回合：{0}
10	1	1002	[4]	2	1	持续回合：{0}
11	1	1002	[5]	2	1	持续回合：{0}
12	1	1002	[6]	2	1	持续回合：{0}
13	1	1005	[1]	2	1	持续回合：{0}
14	1	1004	[-1]	6	1	生效{0}次后消失
15	5	1006	[200]	6	1	生效{0}次后消失
16	5	1007	[5]	6	1	生效{0}次后消失
17	1	1006	[200]	1	1	持续回合：{0}
18	1	1007	[5]	1	1	持续回合：{0}
101	3	1008	[120512]		1	持续回合：永久生效
102	3	1008	[120513]		1	持续回合：永久生效
103	3	1008	[120514]		1	持续回合：永久生效
104	3	1008	[120515]		1	持续回合：永久生效
201	2	1002	[2]	2	1	持续回合：{0}
202	2	1003	[1]	2	1	持续回合：{0}
203	2	1004	[4]	2	1	持续回合：{0}
204	2	1005	[1]	2	1	持续回合：{0}
205	1	1006	[200]	1	1	持续回合：{0}
206	1	1007	[5]	1	1	持续回合：{0}
207	4	1008	[51065]	5	3	持续回合：{0}
208	4	1008	[51065]	4	3	持续回合：{0}
