Id	NpcId	AttribId	ModelId	Name	TradeName	SquareHeadImage	RoundHeadImage	MvpAction	VictoryAction	FailAction
1021004	5001	1014	QR4LuxiyaMd010011TX	露西亚	鸦羽	Assets/Product/Texture/Image/Role/RoleHeadR4LuxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Stand04	Win	Attack05
1031004	5004	1014	QR4LifuMd010011TX	丽芙	极昼	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Stand04	Win	Attack05
1131003	5005	1014	QR3WeilaMd010011TX	薇拉	绯耀	Assets/Product/Texture/Image/Role/RoleHeadR3WeilaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weila3Q.png	Stand04	Win	Attack05
1121003	5006	1014	QR3KuluomuMd010011TX	库洛姆	荣光	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	Thanks03	Win	Attack05
1531004	5011	1014	QR4SailinnaMd010011TX	赛琳娜	幻奏	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3Sailinna3Q.png	Stand04	Win	Attack05
1051004	5015	1014	QR4YongyechaoMd010011TX	七实	遥星之座	Assets/Product/Texture/Image/Role/RoleHeadR5YongyechaoQ.png	Assets/Product/Texture/Image/Role/RoleHeadR5Yongyechao3Q.png	Stand04	Win	Attack05
1071004	5020	1014	QR4KalieninaMd010011TX	卡列尼娜	辉晓	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	Stand04	Win	Attack05
1141003	5026	1014	QR3LuosaitaMd010011TX	罗塞塔	凛冽	Assets/Product/Texture/Image/Role/RoleHeadLuosaitaQ.png	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	Stand04	Win	Attack05
1041004	5038	1014	QR4BiankaMd010011TX	比安卡	深痕	Assets/Product/Texture/Image/Role/RoleHeadR4BiankaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Bianka3Q.png	Stand04	Win	Attack05
1011004	5043	1014	QR4LiangMd010011TX	里	超刻	Assets/Product/Texture/Image/Role/RoleHeadR4Li1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li2Q.png	Thanks03	Win	Attack05
1021005	5047	1014	QR5LuxiyaMd010011TX	露西亚	深红囚影	Assets/Product/Texture/Image/Role/RoleHeadR5Luxiya1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR5Luxiya2Q.png	Stand04	Win	Attack05
1091003	5048	1014	QR3AilaMd010011TX	艾拉	万华	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Aila2Q.png	Stand04	Win	Attack05
1221003	5051	1014	QR3TwentyoneMd010011TX	21号	森息	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Stand04	Win	Attack05
1261003	5053	1014	QR3YalishaMd010011TX	亚里莎	回音	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha2Q.png	Stand04	Win	Attack05
1271003	5054	1014	QR3LamiyaMd010011TX	拉弥亚	深谣	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Stand04	Win	Attack05
1081004	5055	1014	QR4DubianMd010011TX	渡边	尘铭	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian2Q.png	Thanks03	Win	Attack05
1521004	5056	1014	QR3QuMd010011TX	曲	启明	Assets/Product/Texture/Image/Role/RoleHeadR3Qu1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Qu2Q.png	Stand04	Win	Attack05
1291002	5057	1014	QR2BuouxiongMd010011TX	布偶熊	觅语	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Stand04	Win	Attack05
1171004	5058	1014	QR4LunaMd010011TX	露娜	终焉	Assets/Product/Texture/Image/Role/RoleHeadR4Luna1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luna2Q.png	Stand04	Win	Attack05
1301002	5059	1014	QR2BulijiteMd010011TX	布丽姬特	耀炎	Assets/Product/Texture/Image/Role/RoleHeadR2Bulijite1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bulijite2Q.png	Stand04	Win	Attack05
