Lv	Group	Exp	RewardId	MainReward
1	1	50	67375	
2	1	50	67376	
3	1	50	67377	
4	1	50	67378	
5	1	50	67379	1
6	1	50	67380	
7	1	50	67381	
8	1	50	67382	
9	1	50	67383	
10	1	50	67384	1
11	1	50	67385	
12	1	50	67386	
13	1	50	67387	
14	1	50	67388	
15	1	50	67389	1
16	1	50	67390	
17	1	50	67391	
18	1	50	67392	
19	1	50	67393	
20	1	50	67394	1
21	1	50	67395	
22	1	50	67396	
23	1	50	67397	
24	1	50	67398	
25	1	50	67399	1
26	1	50	67400	
27	1	50	67401	
28	1	50	67402	
29	1	50	67403	
30	1	50	67404	1
31	1	50	67405	
32	1	50	67406	
33	1	50	67407	
34	1	50	67408	
35	1	50	67409	1
36	1	50	67410	
37	1	50	67411	
38	1	50	67412	
39	1	50	67413	
40	1	50	67414	1
41	1	50	67415	
42	1	50	67416	
43	1	50	67417	
44	1	50	67418	
45	1	50	67419	1
46	1	50	67420	
47	1	50	67421	
48	1	50	67422	
49	1	50	67423	
50	1	50	67424	1
