Id	TitleContent	Background	Icon	Desc	IsProgress	EventType	Target	Params
1	一网打尽	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，单局内抓捕所有敌对阵营		1	1	
2	鼠鼠杀手	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，累计捉获老鼠10次\n（当前次数：%s）	True	2	10	
3	火眼金睛	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，击中隐身状态下的老鼠一次。		3	1	
4	最强鼠鼠	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，单局存活至最后且未被淘汰。		4	1	
5	友谊干杯	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCup.png	与好友组队游玩10次\n（当前次数：%s）	True	5	10	
6	熟能生巧	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCheese.png	挑战任意关卡5次\n（当前次数：%s）	True	6	5	[104, 105]
7	查无此人	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	使用隐身技能10次\n（当前次数：%s）	True	9	10	
8	一目了然	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	使用透视技能10次\n（当前次数：%s）	True	10	10	
9	天罗地网	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用扫描技能10次\n（当前次数：%s）	True	7	10	
10	摇身一变	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	使用变身技能10次\n（当前次数：%s）	True	8	10	
