BreakEquipId	FixOutputId	FixOutputCount	FactorOutputCount
11077101	[97072]	[10]	[10]
11077102	[97072]	[30]	[30]
11077103	[97072]	[50]	[50]
11077104	[97072]	[100]	[100]
11072101	[97072]	[10]	[10]
11072102	[97072]	[30]	[30]
11072103	[97072]	[50]	[50]
11072104	[97072]	[100]	[100]
11005101	[97072]	[10]	[10]
11005102	[97072]	[30]	[30]
11005103	[97072]	[50]	[50]
11005104	[97072]	[100]	[100]
11007101	[97072]	[10]	[10]
11007102	[97072]	[30]	[30]
11007103	[97072]	[50]	[50]
11007104	[97072]	[100]	[100]
12001101	[97072]	[10]	[10]
12001102	[97072]	[30]	[30]
12001103	[97072]	[50]	[50]
12001104	[97072]	[100]	[100]
11067101	[97072]	[10]	[10]
11067102	[97072]	[30]	[30]
11067103	[97072]	[50]	[50]
11067104	[97072]	[100]	[100]
11001201	[97072]	[10]	[10]
11001202	[97072]	[30]	[30]
11001203	[97072]	[50]	[50]
11001204	[97072]	[100]	[100]
11000201	[97072]	[10]	[10]
11000202	[97072]	[30]	[30]
11000203	[97072]	[50]	[50]
11000204	[97072]	[100]	[100]
11014201	[97072]	[10]	[10]
11014202	[97072]	[30]	[30]
11014203	[97072]	[50]	[50]
11014204	[97072]	[100]	[100]
11084201	[97072]	[10]	[10]
11084202	[97072]	[30]	[30]
11084203	[97072]	[50]	[50]
11084204	[97072]	[100]	[100]
11010201	[97072]	[10]	[10]
11010202	[97072]	[30]	[30]
11010203	[97072]	[50]	[50]
11010204	[97072]	[100]	[100]
11083201	[97072]	[10]	[10]
11083202	[97072]	[30]	[30]
11083203	[97072]	[50]	[50]
11083204	[97072]	[100]	[100]
21001201	[97072]	[10]	[10]
21001202	[97072]	[30]	[30]
21001203	[97072]	[50]	[50]
21001204	[97072]	[100]	[100]
11029201	[97072]	[10]	[10]
11029202	[97072]	[30]	[30]
11029203	[97072]	[50]	[50]
11029204	[97072]	[100]	[100]
11030201	[97072]	[10]	[10]
11030202	[97072]	[30]	[30]
11030203	[97072]	[50]	[50]
11030204	[97072]	[100]	[100]
11031201	[97072]	[10]	[10]
11031202	[97072]	[30]	[30]
11031203	[97072]	[50]	[50]
11031204	[97072]	[100]	[100]
11032201	[97072]	[10]	[10]
11032202	[97072]	[30]	[30]
11032203	[97072]	[50]	[50]
11032204	[97072]	[100]	[100]
21006201	[97072]	[10]	[10]
21006202	[97072]	[30]	[30]
21006203	[97072]	[50]	[50]
21006204	[97072]	[100]	[100]
21007201	[97072]	[10]	[10]
21007202	[97072]	[30]	[30]
21007203	[97072]	[50]	[50]
21007204	[97072]	[100]	[100]
21008201	[97072]	[10]	[10]
21008202	[97072]	[30]	[30]
21008203	[97072]	[50]	[50]
21008204	[97072]	[100]	[100]
21009201	[97072]	[10]	[10]
21009202	[97072]	[30]	[30]
21009203	[97072]	[50]	[50]
21009204	[97072]	[100]	[100]
21010201	[97072]	[10]	[10]
21010202	[97072]	[30]	[30]
21010203	[97072]	[50]	[50]
21010204	[97072]	[100]	[100]
21011201	[97072]	[10]	[10]
21011202	[97072]	[30]	[30]
21011203	[97072]	[50]	[50]
21011204	[97072]	[100]	[100]
21012201	[97072]	[10]	[10]
21012202	[97072]	[30]	[30]
21012203	[97072]	[50]	[50]
21012204	[97072]	[100]	[100]
21013201	[97072]	[10]	[10]
21013202	[97072]	[30]	[30]
21013203	[97072]	[50]	[50]
21013204	[97072]	[100]	[100]
21014201	[97072]	[10]	[10]
21014202	[97072]	[30]	[30]
21014203	[97072]	[50]	[50]
21014204	[97072]	[100]	[100]
21015201	[97072]	[10]	[10]
21015202	[97072]	[30]	[30]
21015203	[97072]	[50]	[50]
21015204	[97072]	[100]	[100]
21016201	[97072]	[10]	[10]
21016202	[97072]	[30]	[30]
21016203	[97072]	[50]	[50]
21016204	[97072]	[100]	[100]
21017201	[97072]	[10]	[10]
21017202	[97072]	[30]	[30]
21017203	[97072]	[50]	[50]
21017204	[97072]	[100]	[100]
21018201	[97072]	[10]	[10]
21018202	[97072]	[30]	[30]
21018203	[97072]	[50]	[50]
21018204	[97072]	[100]	[100]
11096201	[97072]	[10]	[10]
11096202	[97072]	[30]	[30]
11096203	[97072]	[50]	[50]
11096204	[97072]	[100]	[100]
13096201	[97072]	[10]	[10]
13096202	[97072]	[30]	[30]
13096203	[97072]	[50]	[50]
13096204	[97072]	[100]	[100]
31001103	[97072]	[50]	[50]
31001104	[97072]	[100]	[100]
31002103	[97072]	[50]	[50]
31002104	[97072]	[100]	[100]
31003104	[97072]	[100]	[100]
31004104	[97072]	[100]	[100]
31005104	[97072]	[100]	[100]
31006104	[97072]	[100]	[100]
31007103	[97072]	[50]	[50]
31007104	[97072]	[100]	[100]
31008103	[97072]	[50]	[50]
31008104	[97072]	[100]	[100]
31009104	[97072]	[100]	[100]
31010104	[97072]	[100]	[100]
31011104	[97072]	[100]	[100]
31012104	[97072]	[100]	[100]
31013103	[97072]	[50]	[50]
31013104	[97072]	[100]	[100]
31014103	[97072]	[50]	[50]
31014104	[97072]	[100]	[100]
31015104	[97072]	[100]	[100]
31016104	[97072]	[100]	[100]
31017104	[97072]	[100]	[100]
31018104	[97072]	[100]	[100]
