Id	Type	Name	Priority	IncompleteText	Icon	Quest
1	1	行至时间彼岸	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconDate.png	[1001]
2	2	商业露天广场开发计划	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2001, 2004, 2005]
4	2	咖啡因难题	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2003]
5	6	逸时邀约	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconPilotage.png	[2002]
6	3	轻叩心门	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[3004]
7	3	智械狂欢	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[3005]
8	4	冰心潜影	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconARU.png	[1002]
9	6	向着未启之美	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconPilotage.png	[7001]
10	5	邀约	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconInvitation.png	[2007, 2009]
11	2	初生意志的迷惘	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2011, 2013, 2014]
12	2	星海漂流的祝愿	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2012]
