Id	PetId	State	BehaviorId	CanClick	StateMachine	Desc
1	1001	IDLE	D100101		IDLE	IDLE  ==  基本行为（待机寻路）
2	1001	BENCH	D100102		INTERACT	BENCH == 和板凳交互中
3	1001	GOBENCH	D100103		INTERACT	GOBENCH == 走向板凳
4	1001	SLEEP	D100104		INTERACT	SLEEP == 和床交互中
5	1001	ATTRACT	D100105		INTERACT	ATTRACT == 走向床
6	1001	CHAIR	D100106		INTERACT	CHAIR == 和椅子交互中
7	1001	GOCHAIR	D100107		INTERACT	GOCHAIR == 走向椅子
8	1001	PALY_WITH_FURNITURE_01	D100108		INTERACT	PALY_WITH_FURNITURE_01    ==  和猫爬架交互（小豆泥专属）
9	1001	GO_PALY_WITH_FURNITURE_01	D100109		INTERACT	GO_PALY_WITH_FURNITURE_01  ==  走向猫爬架（小豆泥专属）
10	1001	PALY_WITH_FURNITURE_02	D100110		INTERACT	PALY_WITH_FURNITURE_02  ==  和猫抓板1交互（小豆泥专属）
11	1001	GO_PALY_WITH_FURNITURE_02	D100111		INTERACT	GO_PALY_WITH_FURNITURE_02  ==  走向猫抓板1（小豆泥专属）
12	1001	PALY_WITH_FURNITURE_03	D100112		INTERACT	PALY_WITH_FURNITURE_03  ==  和猫抓板2交互（小豆泥专属）
13	1001	GO_PALY_WITH_FURNITURE_03	D100113		INTERACT	GO_PALY_WITH_FURNITURE_03  ==  走向猫抓板2（小豆泥专属）
14	1001	PLAY_WITH_CHAR	D100114		INTERACT	PLAY_WITH_CHAR == 宠物与角色交互（宠物）
15	1001	BORN	D100115		INTERACT	BORN  ==  从指定家具出生
16	1001	SIT	D100116		INTERACT	SIT == 和沙发交互中
17	1001	GOSOFA	D100117		INTERACT	GOSOFA == 走向沙发
18	1002	IDLE	D100201		IDLE	IDLE  ==  基本行为（待机寻路）
19	1002	BENCH	D100202		INTERACT	BENCH == 和板凳交互中
20	1002	GOBENCH	D100203		INTERACT	GOBENCH == 走向板凳
21	1002	SLEEP	D100204		INTERACT	SLEEP == 和床交互中
22	1002	ATTRACT	D100205		INTERACT	ATTRACT == 走向床
23	1002	CHAIR	D100206		INTERACT	CHAIR == 和椅子交互中
24	1002	GOCHAIR	D100207		INTERACT	GOCHAIR == 走向椅子
25	1002	AYA_PALY_WITH_FURNITURE_01	D100208		INTERACT	PALY_WITH_FURNITURE_01    ==  和阿鸭拍手器交互（阿鸭专属）
26	1002	AYA_GO_PALY_WITH_FURNITURE_01	D100209		INTERACT	GO_PALY_WITH_FURNITURE_01  ==  走向阿鸭拍手器（阿鸭专属）
27	1002	AYA_PALY_WITH_FURNITURE_02	D100210		INTERACT	PALY_WITH_FURNITURE_02  ==  和阿鸭快递箱交互（阿鸭专属）
28	1002	AYA_GO_PALY_WITH_FURNITURE_02	D100211		INTERACT	GO_PALY_WITH_FURNITURE_02  ==  走向阿鸭快递箱（阿鸭专属）
29	1002	AYA_PALY_WITH_FURNITURE_03	D100212		INTERACT	PALY_WITH_FURNITURE_03  ==  和阿鸭拍照立牌组合交互（阿鸭专属）
30	1002	AYA_GO_PALY_WITH_FURNITURE_03	D100213		INTERACT	GO_PALY_WITH_FURNITURE_03  ==  走向阿鸭拍照立牌组合（阿鸭专属）
31	1002	PLAY_WITH_CHAR	D100214		INTERACT	PLAY_WITH_CHAR == 宠物与角色交互（宠物）
32	1002	BORN	D100215		INTERACT	BORN  ==  从指定家具出生
33	1002	SIT	D100216		INTERACT	SIT == 和沙发交互中
34	1002	GOSOFA	D100217		INTERACT	GOSOFA == 走向沙发
