Id	IconPath	ClearIconPath	WaferBagPath	Name	Description	SkillEffect	SkillDescription	SuitType	EquipIds	EquipType	RecommendCharacterId
	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png		无	无						
1101	Assets/Product/Texture/Image/IconToolsSp/EYuesefuI01001Sp.png	Assets/Product/Texture/Image/IconToolsSp/EYuesefuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYiefuliemofuI01002.png	约瑟夫	白板		{2: '攻击增加5点'}			9	
1201	Assets/Product/Texture/Image/IconToolsSp/ESipeierI01001Sp.png	Assets/Product/Texture/Image/IconTools/ESipeierI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ESipeierI01002.png	梅尔妮	攻击强化	{2: 120102, 4: 120104}	{2: '攻击增加10点', 4: '生命值增加50点'}	12	{1: 3012001, 2: 3022001, 3: 3032001, 4: 3042001, 5: 3052001, 6: 3062001}	9	
1301	Assets/Product/Texture/Image/IconToolsSp/EModeerI01001Sp.png	Assets/Product/Texture/Image/IconTools/EModeerI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EModeerI01002.png	彼诺芙	近距离战斗强化	{2: 130102, 4: 130104}	{2: '攻击2米内的怪物时，额外伤害加成提升3%。', 4: '受到2米内的怪物攻击时，额外伤害减免提升3%。'}	12	{1: 3013001, 2: 3023001, 3: 3033001, 4: 3043001, 5: 3053001, 6: 3063001}	9	
1304	Assets/Product/Texture/Image/IconToolsSp/EHeermanI01001Sp.png	Assets/Product/Texture/Image/IconTools/EHeermanI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EHeermanI01002.png	帕芙莉	远距离战斗强化	{2: 130402, 4: 130404}	{2: '攻击3米外的怪物时，额外伤害加成提升3%。', 4: '受到3米外的怪物攻击时，额外伤害减免提升3%。'}	12	{1: 3013002, 2: 3023002, 3: 3033002, 4: 3043002, 5: 3053002, 6: 3063002}	9	
1401	Assets/Product/Texture/Image/IconToolsSp/EAjimideI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAjimideI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAjimideI01002.png	阿基米德	普通攻击强化	{2: 140102, 4: 140104}	{2: '普通攻击额外伤害加成提高5%。', 4: '每经过10秒，下1次使用普通攻击将增加普通攻击伤害10%，持续4秒。'}	12	{1: 3014001, 2: 3024001, 3: 3034001, 4: 3044001, 5: 3054001, 6: 3064001}	9	
1404	Assets/Product/Texture/Image/IconToolsSp/EAidishengI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAidishengI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAidishengI01002.png	爱迪生	技能攻击强化	{2: 140402, 4: 140404}	{2: '信号球技能伤害增加5%。', 4: '3消后，自身额外伤害加成提升5%，持续5秒，重复触发刷新持续时间。'}	12	{1: 3014002, 2: 3024002, 3: 3034002, 4: 3044002, 5: 3054002, 6: 3064002}	9	
1407	Assets/Product/Texture/Image/IconToolsSp/EAliceI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAliceI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAliceI01002.png	爱丽丝	辅助强化	{2: 140702, 4: 140704}	{2: '治疗效果增加5%。', 4: '治疗目标使其物理伤害和元素属性伤害增加4%，持续4秒，重复触发刷新持续时间。'}	12	{1: 3014003, 2: 3024003, 3: 3034003, 4: 3044003, 5: 3054003, 6: 3064003}	8	
1410	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	Assets/Product/Texture/Image/IconTools/EKanninganI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EKanninganI01002.png	坎宁安	防御强化	{2: 141002, 4: 141004}	{2: '攻击霸体状态的敌人时，物理伤害和属性伤害均增加5%。', 4: '5秒内连续受击，获得减伤护盾，下次受到伤害减少30%。有5秒的冷却时间。'}	12	{1: 3014004, 2: 3024004, 3: 3034004, 4: 3044004, 5: 3054004, 6: 3064004}	9	
1413	Assets/Product/Texture/Image/IconToolsSp/EAdaifuYYI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAdaifuYYI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuYYI01002.png	库莉珂-永恒	召唤强化	{2: 141302}	{2: '攻击目标时，有20%几率呼叫炮击，每枚炮弹对目标造成40%的物理伤害，有15秒的冷却时间。'}	12	{1: 3014005, 4: 3044005}	9	
