Id	CharacterId	EquipRecommendId	Description	Hidden
1	1011002	50010	输出进阶	
2	1011002	50020	输出入门	
3	1021001	50110	输出进阶	
4	1021001	50120	输出入门	
5	1031001	50210	辅助进阶	
6	1031001	50220	辅助入门	
7	1041002	50310	输出进阶	
8	1041002	50320	输出入门	
9	1051001	50410	辅助进阶	
10	1051001	50420	辅助入门	
11	1061002	50510	辅助进阶	
12	1061002	50520	辅助入门	
13	1071002	50610	输出进阶	
14	1071002	50620	输出入门	
15	1081002	50710	输出进阶	
16	1081002	50720	输出入门	
17	1021002	50810	输出进阶	
18	1021002	50820	输出入门	
19	1031002	50910	辅助进阶	
20	1031002	50920	辅助入门	
21	1011003	51010	输出进阶	
22	1011003	51020	输出入门	
23	1031003	51110	辅助进阶	
24	1031003	51120	辅助入门	
25	1061003	51210	辅助进阶	
26	1061003	51220	辅助入门	
27	1071003	51310	输出进阶	
28	1071003	51320	输出入门	
29	1051003	51410	辅助进阶	
30	1051003	51420	辅助入门	
31	1021003	51510	输出进阶	
32	1021003	51520	输出入门	
33	1081003	51610	输出进阶	
34	1081003	51620	输出入门	
35	1091002	51710	辅助进阶	
36	1091002	51720	辅助入门	
37	1041003	51810	输出进阶	
38	1041003	51820	输出入门	
39	1111002	51910	辅助进阶	
40	1111002	51920	辅助入门	
41	1121002	52010	辅助进阶	
42	1121002	52020	辅助入门	
43	1021004	52110	输出进阶	
44	1021004	52120	输出入门	
45	1131002	52210	辅助进阶	
46	1131002	52220	辅助入门	
47	1141003	52310	辅助进阶	
48	1141003	52320	辅助入门	
49	1521003	52410	输出进阶	
50	1521003	52420	输出入门	
51	1161002	52510	辅助进阶	
52	1161002	52520	辅助入门	
53	1181003	52610	输出进阶	
54	1181003	52620	输出入门	
55	1191003	52710	辅助进阶	
56	1191003	52720	辅助入门	
57	1201003	52810	输出进阶	
58	1201003	52820	输出入门	
59	1171003	52910	输出进阶	
60	1171003	52920	输出入门	
61	1511003	53010	输出进阶	
62	1511003	53020	输出入门	
63	1531003	53110	输出进阶	
64	1531003	53120	输出入门	
65	1211002	53210	辅助进阶	
66	1211002	53220	辅助入门	
67	1121003	53310	辅助进阶	
68	1121003	53320	辅助入门	
69	1221002	53410	辅助进阶	
70	1221002	53420	辅助入门	
71	1131003	53510	辅助进阶	
72	1131003	53520	辅助入门	
73	1541003	53610	输出进阶	
74	1541003	53620	输出入门	
75	1031004	53721	辅助进阶	
76	1031004	53720	辅助入门	
77	1031004	53710	输出进阶	
78	1531004	53810	辅助进阶	
79	1531004	53820	辅助入门	
80	1551003	53910	输出进阶	
81	1551003	53920	输出入门	
82	1051004	54010	辅助进阶	
83	1051004	54020	辅助入门	
84	1561003	54110	输出进阶	
85	1561003	54120	输出入门	
86	1071004	54210	辅助进阶	
87	1071004	54220	辅助入门	
88	1571003	54310	输出进阶	
89	1571003	54320	输出入门	
90	1041004	54521	必杀加速进阶	
91	1041004	54420	必杀加速入门	
92	1041004	54511	物理增强进阶	
93	1041004	54410	输出进阶	
94	1231002	54510	输出进阶	
95	1231002	54520	输出入门	
96	1011004	54610	必杀加速进阶	
97	1011004	54620	必杀加速入门	
98	1011004	54621	输出进阶	
99	1231002	54512	三消强化	
100	1231002	54522	三消强化入门	
101	1091003	54710	输出进阶	
102	1091003	54720	输出入门	
103	1021005	54821	必杀加速进阶	
104	1021005	54820	必杀加速入门	
105	1021005	54810	输出进阶	
106	1241002	54910	辅助进阶	
107	1241002	54920	辅助入门	
108	1221003	55010	输出进阶	
109	1221003	55030	辅助进阶	
110	1221003	55020	必杀加速入门	
111	1221003	55040	辅助入门	
112	1251002	55110	输出进阶	
113	1251002	55120	输出入门	
114	1261003	55210	辅助进阶	
115	1261003	55230	输出进阶	
116	1261003	55220	辅助入门	
117	1261003	55240	输出入门	
118	1271003	55310	输出进阶	
119	1271003	55320	输出入门	
120	1281002	55410	输出进阶	
121	1281002	55420	输出入门	
122	1081004	55510	辅助进阶	
123	1081004	55520	辅助入门	
124	1521004	55610	输出进阶	
125	1521004	55620	输出入门	
126	1291002	55710	辅助进阶	
127	1291002	55720	辅助入门	
128	1171004	55810	输出进阶	
129	1171004	55820	输出入门	
130	1301002	55910	辅助进阶	
131	1301002	55920	辅助入门	
