Id	Type	UiType	Name	Icon	Text	PrefabPath	Duration	IsMask	MaskTarget	ClickKey	Params
199910100	8	1		Assets/Product/Texture/Image/UiFight/PanelFightCompleteTip01.png	红色权限卡		3				
199910101	8	1		Assets/Product/Texture/Image/UiFight/PanelFightCompleteTip01.png	蓝色权限卡		3				
199910102	3	1	跳关提示		此处演出正在制作中，即将跳关1-2		5				
199910103	3	1	工作日志		今日：验收艺术品展览区域 负责人：大猛子 职位：强电主管		5				
199910104	3	1	薇拉		什么鬼东西		3				
199910105	3	1	薇拉		没有工程部的幸存者，也没有尸体，但总感觉有什么别的东西。		4				
199910106	3	1	薇拉		艺术展区么？我记得应该是在左边。		4				
199910107	3	1	薇拉		OK，这样就可以了吧。		4				
199910108	3	1	指挥官		薇拉，快离开那里！穹顶结构正在变得不稳定。		4				
199910109	3	1	薇拉		收到，我马上前往撤离区域！		4				
199910110	3	1	薇拉		【此处演出动作还在编辑中】		4				
199910500	3	1	系统		未检测到有效授权		3				
199910501	3	1	系统		检测到有效授权		3				
199910502	3	1	薇拉		哈哈，热烈的开场仪式。		3				
199910503	3	1	薇拉		啧，锁住了。队长，破门装置还有剩吗？		5				
199910504	3	1	队长		呼……没有了！或许可以从大厦职员身上找<color=#FF0000>权限</color>，但那边全是……全是那种怪物！		6				
199910505	3	1	队长		已经有人掉队了，通讯也断了……没准连我们都撤不走。		4				
199910506	3	1	薇拉		先检查伤亡情况，还没到结束的时候。		4				
199910507	3	1	队长		啧，你说得倒轻松……好好盯着你的生命信号探测器，再找找其他的生还者。		6				
199910508	3	1	薇拉		真厉害，“致命伤”和“非致命伤”全标反了，学院里教你犯这些低级错误了吗？		7				
199910509	3	1	薇拉		算了，搜查任务交给我，你留在原地喘口气吧，小心别被怪物给吓死了。		8				
199910510	3	1	队长		还是这副鬼态度……你最好能找出个活人！		3				
199910511	3	1	薇拉		嗯？权限卡在这里！回闸门那边去！		5				
199910512	3	1	薇拉		唔，幻觉吗……？从一开始就有些奇怪……		5				
199910513	4	1	状态		死亡		5				
199910514	4	1	状态		<color=#FF0000>致命伤</color>		5				
199910515	4	1	状态		<color=#FF0000>非致命伤</color>		5				
199910516	4	1	状态		健康		5				
199910517	3	1	队员		有声音，薇拉！		2				
199910518	3	1	队员		那些东西跟上来了！当心身后！		2				
199910519	3	1	薇拉		——！还有一个生还者！		1				
199910520	3	1	薇拉		没完没了！滚！！		3				
199910521	4	1	状态		致命伤		5				
199910522	4	1	状态		非致命伤		5				
199910523	3	1	薇拉		唔，防线这么快就被突破了……？！		3				
199910524	3	1	薇拉		……这是哪里？刚才不是还在大厦里？		5				
199910525	2	1	薇拉	Assets/Product/Texture/Image/RoleCharacter/WeilaSNormal01.png	薇拉呼叫三队，重复——		6				
199910526	3	1	薇拉		……！有尸体。		2				
199910527	3	1	薇拉		怎么通体都是金属？探测装置故障了？		3				
199910528	2	1	中台	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	授权过期，重启基线测试程序。		3				
199910529	3	1	薇拉		……这又是哪来的声音？		2				
199910530	1	1	中台	500138	初步判断“犬”的情况良好，允许开始基线测试。		4				{5: '1', 6: '1'}
199910531	1	1	中台	500138	<i>“我是那惨遭杀害的连雀的阴影，凶手是窗玻璃那片虚假的天蓝。”</i>		7				{5: '1', 6: '1'}
199910532	1	1	中台	500138	<i>“我随时都要冲上前线，也随时可能被感染体<color=#FF0000>杀害</color>，对此我毫不害怕。”</i>		7				{5: '1', 6: '1'}
199910533	1	1	中台	500138	<i>“在帕弥什战场上，有时你需要亲手<color=#FF0000>杀害</color>感染帕弥什的同伴，你认可这种做法。”</i>		7				{5: '1', 6: '1'}
199910534	1	1	中台	500138	<i>“在经历各种战场之后，你认为自己产生了心理<color=#FF0000>阴影</color>，或更重的意识海偏移症状。”</i>		7				{5: '1', 6: '1'}
199910535	1	1	中台	500138	<i>“在为黑野集团作战的时候，你觉得这一切都可能是<color=#FF0000>虚假</color>的。”</i>		6				{5: '1', 6: '1'}
199910536	1	1	中台	500138	<i>“你的存在也可能是<color=#FF0000>虚假</color>的。”</i>		3				{5: '1', 6: '1'}
199910537	1	1	中台	500138	<i>“你心中对世界、对周遭的一切怀有怨愤，你决定打碎<color=#FF0000>窗玻璃</color>。”</i>		6				{5: '1', 6: '1'}
199910538	1	1	中台	500138	测试通过，准许授权，开启记忆数据同步。		4				{5: '1', 6: '1'}
199910539	1	1	中台	500138	测试未通过，终止授权……%*[.&*（/~*@#……开启记忆数据同步。		5				{5: '1', 6: '1'}
199910540	3	1	薇拉		……原来如此，又启用这副机体了。		3				
199910541	3	1	薇拉		来吧，从我<//灾难>身上分得一块血肉吧。		5				
199910542	2	1	中台	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	…………		4				
199910543	4	1	医疗机		<i>错误，错误，无法识别治疗目标</i>		4				
199910544	4	1	薇拉的同学		谢。。。谢谢。		4				
199910545	4	1	薇拉的同学		谢谢你，薇拉，唔伤口还是有点痛！		4				
199910546	2	1	薇拉	Assets/Product/Texture/Image/RoleCharacter/WeilaSNormal01.png	薇拉呼叫三队，收到请回复……		6				
199910547	5	1			<color=#e8f5ff>滚雪</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV34.prefab	0				
199910548	6	1			红潮值	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelFightScanbarBlue.prefab	0				{1: '4450', 2: '9770'}
199910549	6	1			红潮值	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelFightScanbarRed.prefab	0				{1: '4450', 2: '9770'}
199910550	5	1	万事	Assets/Product/Texture/Image/RoleCharacter/wssNormal01.png	识别BOSS护盾颜色，选择对应信号球 击破		3				
199910551	5	1	万事	Assets/Product/Texture/Image/RoleCharacter/wssNormal01.png	识别BOSS护盾颜色，选择对应信号球击破或移动至适当位置躲避		3				
199910552	2	1	万事	Assets/Product/Texture/Image/RoleCharacter/wssNormal01.png	识别BOSS护盾颜色，选择对应信号球 击破		3				
199910553	2	1	万事	Assets/Product/Texture/Image/RoleCharacter/wssNormal01.png	识别BOSS护盾颜色，选择对应信号球击破或移动至适当位置躲避		3				
199910554	2	1	万事	Assets/Product/Texture/Image/RoleCharacter/wssNormal01.png	修特罗尔进入<color=#FF0000>暴怒阶段</color>，注意躲避伤害		5				
199910555	3	1	主持人		晚上好，欢迎来到永不落幕的机械角斗场，请尽情享受钢铁与火花的视觉盛宴！		10				
199910556	3	1	观众A		好！杀啊——咬啊——！		3				
199910557	3	1	观众B		我们要见血！更多的血！		3				
