Id	Type	Name	Desc	TemplateDesc	IntParams	FloatParams	StrParams	CBText	CBFunc
1	1	主线目标点	追踪此目标以推进关卡	流程主要目标点			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint01.png']		
2	1	次要目标点	点击图钉后的详细描述信息（次要目标点）	流程次要目标点			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint02.png']		
3	1	敌人	敌人/感染体/其他描述	敌人			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint03.png']		
4	1	友方	友方NPC/可交互NPC/其他	友方			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint04.png']		
5	1	出入口	出入口	出入口或不同地图连接点			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint05.png']		
6	1	调查点（物品）		可交互/调查物件			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint06.png']		
7	2	地点名字号36	地点位置信息（text类的描述不会显示）	（text类的描述不会显示）	[36]	[0.8396]	['LocationPin']		
8	2	<i><b>地点名粗斜体字号</b></i>	地点位置信息（text类的描述不会显示）	（text类的描述不会显示）	[45]	[0.7547]			
9	1	当前位置	角色当前位置	当前位置			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPlayer.png']		
10	2	<i>地点名字号</i>			[30]	[0.9056]			
11	1	已调查	此处已记录	已记录的成就关联点			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint07.png']		
12	1	调查点		可选调查目标			['Assets/Product/Texture/Image/UiFightMiniMap/Icon/UiFightMiniMapPoint02.png']		
