Role	Layer	State	Target	TransitionDuration
R4ShenweiMd019421			Born	
R4ShenweiMd019421			Stand1	0.1
R4ShenweiMd019421			Stand2	0.1
R4ShenweiMd019421			Stand3	0.1
R4ShenweiMd019421			Death	0.1
R4ShenweiMd019421			Standchange	0.1
R4ShenweiMd019421			Run	0.1
R4ShenweiMd019421			Walk	0.1
R4ShenweiMd019421			Runb	0.2
R4ShenweiMd019421			Runl	0.2
R4ShenweiMd019421			Runr	0.2
R4ShenweiMd019421			Walkb	0.1
R4ShenweiMd019421			Walkl	0.1
R4ShenweiMd019421			Walkr	0.1
R4ShenweiMd019421			TurnLeft	0.1
R4ShenweiMd019421			TurnRight	0.1
R4ShenweiMd019421			Move1	0.1
R4ShenweiMd019421			Move2	0.1
R4ShenweiMd019421			Move3	0.1
R4ShenweiMd019421			RunStart	0.1
R4ShenweiMd019421			RunStartEnd01	0.1
R4ShenweiMd019421			Hit1	0.05
R4ShenweiMd019421			Hit2	0.05
R4ShenweiMd019421			Hit3	0.05
R4ShenweiMd019421			Hit4	0.05
R4ShenweiMd019421			Behitfly	0.05
R4ShenweiMd019421			Hoverhit	0.05
R4ShenweiMd019421			Falldown	0.1
R4ShenweiMd019421			Hitdown	0.05
R4ShenweiMd019421			Lieonfloor	0.1
R4ShenweiMd019421			Standup	0.1
R4ShenweiMd019421			Straight	0.1
R4ShenweiMd019421			Stun	0.1
R4ShenweiMd019421			StraightBefore	0.1
R4ShenweiMd019421			StraightAfter	0.1
R4ShenweiMd019421			Win	
R4ShenweiMd019421			Win2	0.1
R4ShenweiMd019421			Stop	0.1
R4ShenweiMd019421			Fail	0.1
R4ShenweiMd019421			Save	0.1
R4ShenweiMd019421			Caught	0.1
R4ShenweiMd019421			RunStartEnd02	0.1
R4ShenweiMd019421			StopR	0.1
R4ShenweiMd019421			WalkStart	0.1
R4ShenweiMd019421			WalkStop	0.1
R4ShenweiMd019421			WalkStartEnd	0.1
R4ShenweiMd019421			LTurn90	0.1
R4ShenweiMd019421			LTurn180	0.1
R4ShenweiMd019421			RTurn90	0.1
R4ShenweiMd019421			RTurn180	0.1
R4ShenweiMd019421			Jumpfall1	0.1
R4ShenweiMd019421			Jumpfalling1	0.1
R4ShenweiMd019421			Jumpdown1	0.1
R4ShenweiMd019421			Jumpfall2	0.1
R4ShenweiMd019421			Jumpfalling2	0.1
R4ShenweiMd019421			Jumpdown2	0.1
R4ShenweiMd019421			Sprint	0.1
R4ShenweiMd019421			SprintStop	0.1
R4ShenweiMd019421			SprintStart	0.1
R4ShenweiMd019421			SprintStartEnd	0.1
R4ShenweiMd019421			HitLB	0.1
R4ShenweiMd019421			HitHL	0.1
R4ShenweiMd019421			HitHR	0.1
R4ShenweiMd019421			HitHF	0.1
R4ShenweiMd019421			Attack01	0.1
R4ShenweiMd019421			Attack02	0.1
R4ShenweiMd019421			Attack03	0.1
R4ShenweiMd019421			Attack04	0.1
R4ShenweiMd019421			Attack05	0.1
R4ShenweiMd019421			Attack06	0.1
R4ShenweiMd019421			Attack07	0.1
R4ShenweiMd019421			Attack08	0.1
R4ShenweiMd019421			Attack11	0.1
R4ShenweiMd019421			Attack12	0.1
R4ShenweiMd019421			Attack16	0.1
R4ShenweiMd019421			Attack17	0.1
R4ShenweiMd019421			Attack18	0.1
R4ShenweiMd019421			Attack19	0.1
R4ShenweiMd019421			Attack22	0.1
R4ShenweiMd019421			Attack23	0.1
R4ShenweiMd019421			Attack24	0.1
R4ShenweiMd019421			Attack25	0.1
R4ShenweiMd019421			Attack26	0.1
R4ShenweiMd019421			Attack27	0.1
R4ShenweiMd019421			Attack31	0.1
R4ShenweiMd019421			Attack32	0.1
R4ShenweiMd019421			Attack33	0.1
