MonsterId	NpcTemplateId	MonsterType	MonsterName	Icon	BornEffect	BornDelay	Attack	Hp	HpGrowth	Speed	SpeedGrowth	MoveSpeedOffset	Armor	HurtGrowth	ItemDropProbability	TreasureDropProbability	RedOrbDropProbability	YellowOrbDropProbability	BlueOrbDropProbability	DropExp	DropRange	BodyEffect
10001	9130	1	Placeholder_小怪1修理机工基础版		FxRogueBorn	0.5	3	10	8	80	5	20		2500	500	50	2000	1000	1000	4	3	
10002	9130	1	Placeholder_小怪1修理机工血量plus版		FxRogueBorn	0.5	3	15	12	60	5	20		2500	500	50	2000	1000	1000	4	3	FxMdPaintingRed
10003	9130	1	Placeholder_小怪1修理机工移速plus版		FxRogueBorn	0.5	3	9	8	120	5	20		2500	500	50	2000	1000	1000	4	3	FxMdPaintingBlue
10004	9130	1	Placeholder_小怪1修理机工宝箱怪版		FxRogueBorn	0.5	1	11	10	80	5				5000	10000	2000	1000	1000	4	3	FxMo1ShuixiyiAtk61Shihua
10005	9130	1	Placeholder_小怪1修理机工信号球掉率max版		FxRogueBorn	0.5	2	9	8	80	5	20		2500	500	50	8000	8000	8000	4	3	FxMdPaintingYellow
20001	9131	1	Placeholder_小怪2阿箭小人		FxRogueBorn	0.5	2	6	5	40	5	20		2500	1000	50	1000	2000	2000	4	3	
20002	9131	1	Placeholder_小怪2阿箭小人血量plus版		FxRogueBorn	0.5	2	7	6	40	5	20		2500	1000	50	1000	2000	2000	4	3	FxMdPaintingRed
20003	9131	1	Placeholder_小怪2阿箭小人移速plus版		FxRogueBorn	0.5	2	5	6	60	5	35		2500	1000	50	1000	2000	2000	4	3	FxMdPaintingBlue
30001	9132	1	Placeholder_小怪3阿枪基础版		FxRogueBorn	0.5	5	28	24	110	5	20	6	4000	750	100	3000	1000	1000	8	3	
30002	9132	1	Placeholder_小怪3阿枪血量plus版		FxRogueBorn	0.5	5	30	35	110	5	20	6	4000	750	100	3000	1000	1000	8	3	FxMdPaintingRed
30003	9132	1	Placeholder_小怪3阿枪移速plus版		FxRogueBorn	0.5	5	22	20	125	5	20	6	4000	750	100	3000	1000	1000	8	3	FxMdPaintingBlue
30004	9132	1	Placeholder_小怪3阿枪信号球掉率max版		FxRogueBorn	0.5	5	22	20	110	5	20	6	4000	750	100	8000	8000	8000	8	3	FxMdPaintingRed
40001	9144	2	Placeholder_精英怪4蔷薇之剑小人		FxParticleSystemred	1.5	7	42	36	120	5	20	15	4000	5000	1500	3000	1000	1000	50	3	
50001	9147	2	Placeholder_精英怪5烟粉小人		FxParticleSystemred	1.5	7	42	36	120	5	20	15	4000	5000	1500	3000	1000	1000	50	3	
60001	9148	3	Placeholder_BOSS1喷涂机械小人	Assets/Product/Texture/Image/Role/RoleHeadGuer3Q.png	FxParticleSystemred	1.5	10	275	250	135	5		15	3000	5000	10000	4000	1000	1000	125	4	
70001	9149	3	Placeholder_BOSS2鲨士碧儿小人	Assets/Product/Texture/Image/Role/RoleHeadShashibier3Q.png	FxParticleSystemred	1.5	10	275	250	135	5		15	3000	5000	10000	4000	1000	1000	125	4	
