ChapterId	ChapterName	ChapterEn	OpenTimeStr	Bg	Icon	OrderId	GroupId	TaskId	PrefabName	ActivityCondition	Cover	RewardIds	RewardTitleList	RewardDescList	BfrtRewardId
1001	1	十五号城外围		UiFubenMainMapTab.ChapterBg01A		1	[101, 102, 103]	[700]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh01.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner01.png	[11010101, 11010101, 11010101]	['十五号城外围', '十五号城外围', '十五号城外围']	['通关1-1', '通关1-2', '通关1-3']	1
1002	2	十五号城中心		UiFubenMainMapTab.ChapterBg01A		2	[201, 202, 203]	[710]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh02.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner02.png	[11020101, 11020101, 11020101]	['十五号城中心', '十五号城中心', '十五号城中心']	['通关2-1', '通关2-2', '通关2-3']	2
1003	3	庄园博物馆		UiFubenMainMapTab.ChapterBg01A		3	[301, 302, 303]	[720]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh03.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner03.png	[11030101, 11030101, 11030101]	['庄园博物馆', '庄园博物馆', '庄园博物馆']	['通关3-1', '通关3-2', '通关3-3']	3
1004	4	北非沙漠		UiFubenMainMapTab.ChapterBg01A		4	[401, 402, 403]	[730]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh04.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner04.png	[11040101, 11040101, 11040101]	['北非沙漠', '北非沙漠', '北非沙漠']	['通关4-1', '通关4-2', '通关4-3']	4
1005	5	意识海实验场		UiFubenMainMapTab.ChapterBg01A		5	[501, 502, 503]	[740]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh05.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner05.png	[11050101, 11050101, 11050101]	['意识海实验场', '意识海实验场', '意识海实验场']	['通关5-1', '通关5-2', '通关5-3']	5
1006	6	地中海军工厂		UiFubenMainMapTab.ChapterBg01A		6	[601, 602, 603]	[750]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh06.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner06.png	[11060101, 11060101, 11060101]	['地中海军工厂', '地中海军工厂', '地中海军工厂']	['通关6-1', '通关6-2', '通关6-3']	6
1007	7	地下遗迹		UiFubenMainMapTab.ChapterBg01A		7	[701, 702, 703]	[760]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh07.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner07.png	[11070101, 11070101, 11070101]	['地下遗迹', '地下遗迹', '地下遗迹']	['通关7-1', '通关7-2', '通关7-3']	7
1008	8	西西里能源所		UiFubenMainMapTab.ChapterBg01A		8	[801, 802, 803]	[770]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh08.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner08.png	[11080101, 11080101, 11080101]	['西西里能源所', '西西里能源所', '西西里能源所']	['通关8-1', '通关8-2', '通关8-3']	8
1009	9	国际空间站		UiFubenMainMapTab.ChapterBg01A		9	[901, 902, 903]	[780]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh08.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner09.png	[11090101, 11090101, 11090101]	['国际空间站', '国际空间站', '国际空间站']	['通关9-1', '通关9-2', '通关9-3']	9
1010	10	奥赛兰姆		UiFubenMainMapTab.ChapterBg01A		10	[1001, 1002, 1003]	[790]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner10.png	[11120101, 11120101, 11120101]	['奥赛兰姆', '奥赛兰姆', '奥赛兰姆']	['通关10-1', '通关10-2', '通关10-3']	10
1011	11	九龙夜航船		UiFubenMainMapTab.ChapterBg01A		11	[1101, 1102, 1103]	[800]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner11.png	[11120101, 11120101, 11120101]	['九龙夜航船', '九龙夜航船', '九龙夜航船']	['通关11-1', '通关11-2', '通关11-3']	11
1012	12	九龙环城		UiFubenMainMapTab.ChapterBg01A		12	[1201, 1202, 1203]	[810]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner12.png	[11120101, 11120101, 11120101]	['九龙环城', '九龙环城', '九龙环城']	['通关12-1', '通关12-2', '通关12-3']	12
1013	13	075号城市		UiFubenMainMapTab.ChapterBg01A		13	[1301, 1302, 1303]	[820]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner13.png	[11120101, 11120101, 11120101]	['075号城市', '075号城市', '075号城市']	['通关13-1', '通关13-2', '通关13-3']	13
1014	14	地下水道		UiFubenMainMapTab.ChapterBg01A		14	[1401, 1402, 1403]	[830]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner14.png	[11120101, 11120101, 11120101]	['地下水道', '地下水道', '地下水道']	['通关14-1', '通关14-2', '通关14-3']	14
1015	15	亚特兰蒂斯		UiFubenMainMapTab.ChapterBg01A		15	[1501, 1502, 1503]	[840]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner15.png	[11120101, 11120101, 11120101]	['亚特兰蒂斯', '亚特兰蒂斯', '亚特兰蒂斯']	['通关15-1', '通关15-2', '通关15-3']	15
1016	16	教堂广场		UiFubenMainMapTab.ChapterBg01A		16	[1601, 1602, 1603]	[850]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner16.png	[11120101, 11120101, 11120101]	['教堂广场', '教堂广场', '教堂广场']	['通关16-1', '通关16-2', '通关16-3']	16
1017	17	艺术协会舞台		UiFubenMainMapTab.ChapterBg01A		17	[1701, 1702, 1703]	[860]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner17.png	[11120101, 11120101, 11120101]	['艺术协会舞台', '艺术协会舞台', '艺术协会舞台']	['通关17-1', '通关17-2', '通关17-3']	17
1018	18	“灰塔”核心		UiFubenMainMapTab.ChapterBg01A		18	[1801, 1802, 1803]	[870]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner18.png	[11120101, 11120101, 11120101]	['“灰塔”核心', '“灰塔”核心', '“灰塔”核心']	['通关18-1', '通关18-2', '通关18-3']	18
1019	19	月球基地		UiFubenMainMapTab.ChapterBg01A		19	[1901, 1902, 1903]	[871]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner19.png	[11120101, 11120101, 11120101]	['月球基地', '月球基地', '月球基地']	['通关19-1', '通关19-2', '通关19-3']	19
1020	20	深海博物馆		UiFubenMainMapTab.ChapterBg01A		20	[2001, 2002, 2003]	[872]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner20.png	[11120101, 11120101, 11120101]	['深海博物馆', '深海博物馆', '深海博物馆']	['通关20-1', '通关20-2', '通关20-3']	20
1021	21	螺旋之塔		UiFubenMainMapTab.ChapterBg01A		21	[2101, 2102, 2103]	[873]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner21.png	[11120101, 11120101, 11120101]	['螺旋之塔', '螺旋之塔', '螺旋之塔']	['通关21-1', '通关21-2', '通关21-3']	21
1022	22	康斯塔雷耶		UiFubenMainMapTab.ChapterBg01A		22	[2201, 2202, 2203]	[874]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner22.png	[11120101, 11120101, 11120101]	['康斯塔雷耶', '康斯塔雷耶', '康斯塔雷耶']	['通关22-1', '通关22-2', '通关22-3']	22
1023	23	凛冬堡		UiFubenMainMapTab.ChapterBg01A		23	[2301, 2302, 2303]	[875]	Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner23.png	[11120101, 11120101, 11120101]	['凛冬堡', '凛冬堡', '凛冬堡']	['通关23-1', '通关23-2', '通关23-3']	23
