Id	StoryPointType	PrePointIds	StoryPointTypeParams	OpenCondition	Title	Name	GridShowType	BuffIcon	BuffTitle	BuffDescs	ExtraRobotId
1	1		['30110277']		第一章剧情	第一章剧情	4				
2	3	[1]	['30110200', '1131003', '1221003', '1251002']		角色教学关	角色教学关	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['角色教学']	['重新熟悉三头犬的战斗操作']	
3	3	[2]	['30110202', '1131003', '1221003', '1251002']		第二章剧情+精切教学	第二章剧情+精切教学	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['连携教学']	['核心被动、大招后，可以召唤三头犬小队成员出战']	
4	1	[3]	['30110278']		第三章剧情	第三章剧情	4				
5	3	[4]	['30110203', '1131003', '1221003', '1251002']		常规关	常规关	1	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['击杀所有怪物']	
6	3	[5]	['30110204', '1131003', '1221003', '1251002']		第四章剧情+常规	第四章剧情+常规	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png']	['刚体Ⅱ']	['怪物霸体值提升，存在霸体时降低50%受到的伤害，连携切换薇拉可快速击破霸体']	
7	1	[6]	['30110279']		第五章剧情	第五章剧情	4				
8	3	[7]	['30110285', '1131003', '1221003', '1251002']		第六章剧情+特殊	第六章剧情+特殊	2	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png', 'Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_024.png']	['异合虫巢', '亡者复活']	['击破三个异合虫巢', '异合虫巢将持续出生小怪，注意优先击杀']	
9	3	[8]	['30110205', '1221003', '1251002']	861055	某人机制	某人机制	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10032.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff03.png']	['守护纸壳', '双人成行']	['怪物首次死亡时，每秒回复5%护盾，持续8秒，连携切换诺克提快速击破', '本关只能使用诺克提、21号']	9183
10	3	[9]	['30110206', '1221003', '1251002']		另一个人机制	另一个人机制	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11041.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff03.png']	['毒雾', '双人成行']	['每5秒对所有角色叠加剧毒，每层剧毒每秒扣除1%最大生命，连携切换21号清除剧毒', '本关只能使用诺克提、21号']	9183
11	2	[10]	['1001']		双人通讯	双人通讯	5				
12	3	[8]	['30110207', '1131003']	861056	熟悉角色	熟悉角色	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png']	['独自执行']	['本关只能使用薇拉进行挑战']	
13	2	[12]	['1002']		单人通讯	单人通讯	5				
14	1	[9, 12]	['30110280']		第七章剧情	第七章剧情	4				
