Id	Name	EffectDescription	EffectId	EffectValid	EffectTarget	ChildComboId	ConditionDesc	ConditionLevel	ConditionNum
1	灰鸦-初-Ⅰ	所有角色普攻附加<color=#ff3f3f>200</color>真实伤害并使敌人受到伤害增加1%，持续2秒，上限20%，重复触发刷新	[98078]	['1']	['1']	301	灰鸦-初成员总星级达 <color=#ff3f3f>2星</color>	2	2
2	灰鸦-初-Ⅱ	所有角色普攻附加<color=#ff3f3f>400</color>真实伤害并使敌人受到伤害增加1%，持续2秒，上限20%，重复触发刷新	[98079]	['1']	['1']	301	灰鸦-初成员总星级达 <color=#ff3f3f>10星</color>	10	2
3	灰鸦-初-Ⅲ	所有角色普攻附加<color=#ff3f3f>600</color>真实伤害并使敌人受到伤害增加1%，持续2秒，上限20%，重复触发刷新	[98080]	['1']	['1']	301	灰鸦-初成员总星级达 <color=#ff3f3f>30星</color>	30	2
4	灰鸦-初-Ⅳ	所有角色普攻附加<color=#ff3f3f>800</color>真实伤害并使敌人受到伤害增加1%，持续2秒，上限20%，重复触发刷新	[98081]	['1']	['1']	301	灰鸦-初成员总星级达 <color=#ff3f3f>54星</color>	54	2
5	灰鸦-中-Ⅰ	所有角色每15秒在附近激活1枚增幅装置3秒，拾取后增加<color=#ff3f3f>5%</color>伤害与移速，持续<color=#ff3f3f>5</color>秒	[98082]	['1']	['1']	302	灰鸦-中成员总星级达 <color=#ff3f3f>3星</color>	3	3
6	灰鸦-中-Ⅱ	所有角色每15秒在附近激活1枚增幅装置3秒，拾取后增加<color=#ff3f3f>10%</color>伤害与移速，持续<color=#ff3f3f>7</color>秒	[98083]	['1']	['1']	302	灰鸦-中成员总星级达 <color=#ff3f3f>15星</color>	15	3
7	灰鸦-中-Ⅲ	所有角色每15秒在附近激活1枚增幅装置3秒，拾取后增加<color=#ff3f3f>15%</color>伤害与移速，持续<color=#ff3f3f>10</color>秒	[98084]	['1']	['1']	302	灰鸦-中成员总星级达 <color=#ff3f3f>45星</color>	45	3
8	灰鸦-中-Ⅳ	所有角色每15秒在附近激活1枚增幅装置3秒，拾取后增加<color=#ff3f3f>20%</color>伤害与移速，持续<color=#ff3f3f>14</color>秒	[98085]	['1']	['1']	302	灰鸦-中成员总星级达 <color=#ff3f3f>81星</color>	81	3
9	灰鸦-后-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>召唤跟随力场，力场内成员每秒恢复<color=#ff3f3f>100</color>生命并对敌人造成<color=#ff3f3f>1000</color>伤害	[98086]	['2|303']	['1']	303	灰鸦-后成员总星级达 <color=#ff3f3f>3星</color>	3	3
10	灰鸦-后-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>召唤跟随力场，力场内成员每秒恢复<color=#ff3f3f>200</color>生命并对敌人造成<color=#ff3f3f>1500</color>伤害	[98087]	['2|303']	['1']	303	灰鸦-后成员总星级达 <color=#ff3f3f>15星</color>	15	3
11	灰鸦-后-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>召唤跟随力场，力场内成员每秒恢复<color=#ff3f3f>300</color>生命并对敌人造成<color=#ff3f3f>2000</color>伤害	[98088]	['2|303']	['1']	303	灰鸦-后成员总星级达 <color=#ff3f3f>45星</color>	45	3
12	灰鸦-后-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>召唤跟随力场，力场内成员每秒恢复<color=#ff3f3f>400</color>生命并对敌人造成<color=#ff3f3f>2500</color>伤害	[98089]	['2|303']	['1']	303	灰鸦-后成员总星级达 <color=#ff3f3f>81星</color>	81	3
13	突击鹰-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色生命上限<color=#ff3f3f>+2000</color>，攻击时附加当前角色最大生命10%的伤害	[98114]	['2|304']	['1']	304	突击鹰小队成员总星级达 <color=#ff3f3f>3星</color>	3	3
14	突击鹰-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色生命上限<color=#ff3f3f>+3000</color>，攻击时附加当前角色最大生命10%的伤害	[98115]	['2|304']	['1']	304	突击鹰小队成员总星级达 <color=#ff3f3f>15星</color>	15	3
15	突击鹰-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色生命上限<color=#ff3f3f>+4000</color>，攻击时附加当前角色最大生命10%的伤害	[98116]	['2|304']	['1']	304	突击鹰小队成员总星级达 <color=#ff3f3f>45星</color>	45	3
16	突击鹰-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色生命上限<color=#ff3f3f>+5000</color>，攻击时附加当前角色最大生命10%的伤害	[98117]	['2|304']	['1']	304	突击鹰小队成员总星级达 <color=#ff3f3f>81星</color>	81	3
17	工程部队-Ⅰ	所有角色每<color=#ff3f3f>4</color>秒在附近随机召唤2发火力支援，每发造成<color=#ff3f3f>5000</color>点火属性伤害	[98110]	['1']	['1']	305	工程部队成员总星级达 <color=#ff3f3f>3星</color>	3	3
18	工程部队-Ⅱ	所有角色每<color=#ff3f3f>3</color>秒在附近随机召唤2发火力支援，每发造成<color=#ff3f3f>7500</color>点火属性伤害	[98111]	['1']	['1']	305	工程部队成员总星级达 <color=#ff3f3f>15星</color>	15	3
19	工程部队-Ⅲ	所有角色每<color=#ff3f3f>2</color>秒在附近随机召唤2发火力支援，每发造成<color=#ff3f3f>10000</color>点火属性伤害	[98112]	['1']	['1']	305	工程部队成员总星级达 <color=#ff3f3f>45星</color>	45	3
20	工程部队-Ⅳ	所有角色每<color=#ff3f3f>1</color>秒在附近随机召唤2发火力支援，每发造成<color=#ff3f3f>12500</color>点火属性伤害	[98113]	['1']	['1']	305	工程部队成员总星级达 <color=#ff3f3f>81星</color>	81	3
21	遗忘者-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色背击与暴击时20%概率使该次伤害增加<color=#ff3f3f>100%</color>	[98106]	['2|306']	['1']	306	遗忘者成员总星级达 <color=#ff3f3f>2星</color>	2	2
22	遗忘者-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色背击与暴击时20%概率使该次伤害增加<color=#ff3f3f>200%</color>	[98107]	['2|306']	['1']	306	遗忘者成员总星级达 <color=#ff3f3f>10星</color>	10	2
23	遗忘者-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色背击与暴击时20%概率使该次伤害增加<color=#ff3f3f>300%</color>	[98108]	['2|306']	['1']	306	遗忘者成员总星级达 <color=#ff3f3f>30星</color>	30	2
24	遗忘者-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>所有角色背击与暴击时20%概率使该次伤害增加<color=#ff3f3f>400%</color>	[98109]	['2|306']	['1']	306	遗忘者成员总星级达 <color=#ff3f3f>54星</color>	54	2
25	清理部队-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每消灭1个敌人永久增加<color=#ff3f3f>5</color>点攻击并恢复<color=#ff3f3f>3</color>点必杀值	[98102]	['2|307']	['1']	307	清理部队成员总星级达 <color=#ff3f3f>2星</color>	2	2
26	清理部队-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每消灭1个敌人永久增加<color=#ff3f3f>10</color>点攻击并恢复<color=#ff3f3f>6</color>点必杀值	[98103]	['2|307']	['1']	307	清理部队成员总星级达 <color=#ff3f3f>10星</color>	10	2
27	清理部队-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每消灭1个敌人永久增加<color=#ff3f3f>15</color>点攻击并恢复<color=#ff3f3f>9</color>点必杀值	[98104]	['2|307']	['1']	307	清理部队成员总星级达 <color=#ff3f3f>30星</color>	30	2
28	清理部队-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每消灭1个敌人永久增加<color=#ff3f3f>20</color>点攻击并恢复<color=#ff3f3f>12</color>点必杀值	[98105]	['2|307']	['1']	307	清理部队成员总星级达 <color=#ff3f3f>54星</color>	54	2
29	“七实型”-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>每20秒随机将1名普通敌人转化为友军，期间每秒削减5%最大生命使其造成伤害提升<color=#ff3f3f>500%</color>	[98098]	['2|308']	['1']	308	所有七实总星级达 <color=#ff3f3f>3星</color>	3	3
30	“七实型”-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>每20秒随机将1名普通敌人转化为友军，期间每秒削减5%最大生命使其造成伤害提升<color=#ff3f3f>1000%</color>	[98099]	['2|308']	['1']	308	所有七实总星级达 <color=#ff3f3f>15星</color>	15	3
31	“七实型”-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>每20秒随机将1名普通敌人转化为友军，期间每秒削减5%最大生命使其造成伤害提升<color=#ff3f3f>1500%</color>	[98100]	['2|308']	['1']	308	所有七实总星级达 <color=#ff3f3f>45星</color>	45	3
32	“七实型”-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>每20秒随机将1名普通敌人转化为友军，期间每秒削减5%最大生命使其造成伤害提升<color=#ff3f3f>2000%</color>	[98101]	['2|308']	['1']	308	所有七实总星级达 <color=#ff3f3f>81星</color>	81	3
33	阿迪莱商会-Ⅰ	所有角色使用基础信号球时，有<color=#ff3f3f>15%</color>概率获得同色同数的信号球	[98090]	['1']	['1']	309	阿迪莱商业联盟成员总星级达 <color=#ff3f3f>2星</color>	2	2
34	阿迪莱商会-Ⅱ	所有角色使用基础信号球时，有<color=#ff3f3f>20%</color>概率获得同色同数的信号球	[98091]	['1']	['1']	309	阿迪莱商业联盟成员总星级达 <color=#ff3f3f>10星</color>	10	2
35	阿迪莱商会-Ⅲ	所有角色使用基础信号球时，有<color=#ff3f3f>25%</color>概率获得同色同数的信号球	[98092]	['1']	['1']	309	阿迪莱商业联盟成员总星级达 <color=#ff3f3f>30星</color>	30	2
36	阿迪莱商会-Ⅳ	所有角色使用基础信号球时，有<color=#ff3f3f>30%</color>概率获得同色同数的信号球	[98093]	['1']	['1']	309	阿迪莱商业联盟成员总星级达 <color=#ff3f3f>54星</color>	54	2
37	艺术协会--Ⅰ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>拟态为<color=#ff3f3f>低级</color>至尊进行战斗，拟态持续<color=#ff3f3f>15</color>秒（可能对视觉模块产生影响）	[93349, 93350]	['3|218#232', '3|218#232']	['1', '1']	310	艺术协会成员总星级达 <color=#ff3f3f>2星</color>	2	2
