Id	Score	Type	Divisor	Desc	Order	TipsDesc	TipsScore
10051	42000	1	10	战斗内评分最高达到S级	49	战斗内评分最高达到S级	4200
10061	63000	1	10	战斗内评分最高达SS级	48	战斗内评分最高达SS级	6300
10071	84000	1	10	战斗内评分最高达SSS级	47	战斗内评分最高达SSS级	8400
10081	126000	1	10000	战斗内评分最高达SSS+	46	战斗内评分最高达SSS+	12600
10171	2000	2	10000	必杀次数小于6	30	必杀次数小于6	总积分增加20%
10172	1500	2	10000	必杀次数小于4	29	必杀次数小于4	总积分增加15%
10173	1500	2	10000	必杀次数小于2	28	必杀次数小于2	总积分增加15%
10221	2500	2	10000	受击次数小于30次	20	受击次数小于30次	总积分增加25%
10222	2000	2	10000	受击次数小于15次	19	受击次数小于15次	总积分增加20%
10223	2000	2	10000	受击次数小于5次	18	受击次数小于5次	总积分增加20%
10211	1500	2	10000	无伤	16	无伤	总积分增加15%
10241	84000	1	10	连击大于400	14	连击大于400	8400
10242	63000	1	10	连击大于300	13	连击大于300	6300
10243	63000	1	10	连击大于200	12	连击大于200	6300
10251	2000	2	10000	连击到达100后不再中断	11	连击到达100后不再中断	总积分增加20%
10291	1	1	10	C级评分下造成了{0}伤害	7	C级评分下造成伤害	每1点伤害获得0.1分
10301	2	1	10	B级评分下造成了{0}伤害	6	B级评分下造成伤害	每1点伤害获得0.2分
10311	3	1	10	A级评分下造成了{0}伤害	5	A级评分下造成伤害	每1点伤害获得0.3分
10321	4	1	10	S级评分下造成了{0}伤害	4	S级评分下造成伤害	每1点伤害获得0.4分
10331	5	1	10	SS级评分下造成了{0}伤害	3	SS级评分下造成伤害	每1点伤害获得0.5分
10341	6	1	10	SSS级评分下造成了{0}伤害	2	SSS级评分下造成伤害	每1点伤害获得0.6分
10351	7	1	10	SSS+级评分下造成了{0}伤害	1	SSS+级评分下造成伤害	每1点伤害获得0.7分
10361	1000	2	10000	不使用摇杆	1	不使用摇杆通关	总积分增加10%
20001	1000	1	10	基础值积分测试1	49	基础值积分测试1	1000
20002	2000	1	10	基础值积分测试2	48	基础值积分测试2	2000
20003	3000	2	10000	乘区积分测试1	47	乘区积分测试1	3000
20004	4000	2	10000	乘区积分测试2	46	乘区积分测试2	4000
21001	250	1	1	击杀{0}个精英	1	按次数计算	250
21002	1	1	1000	C级评分下造成伤害	2	C级评分下造成伤害	每1点伤害获得0.001分
21003	1	1	1000	B级评分下造成伤害	3	B级评分下造成伤害	每1点伤害获得0.001分
21004	2	1	1000	A级评分下造成伤害	4	A级评分下造成伤害	每1点伤害获得0.002分
21005	2	1	1000	S级评分下造成伤害	5	S级评分下造成伤害	每1点伤害获得0.002分
21006	3	1	1000	SS级评分下造成伤害	6	SS级评分下造成伤害	每1点伤害获得0.003分
21007	3	1	1000	SSS级评分下造成伤害	7	SSS级评分下造成伤害	每1点伤害获得0.003分
21008	4	1	1000	SSS+级评分下造成伤害	8	SSS+级评分下造成伤害	每1点伤害获得0.004分
21009	100	1	1	极限闪避{0}次	9	按次数计算	100
21010	100	1	1	连击大于400	10	连击大于400	100
21011	100	1	1	连击大于300	11	连击大于300	100
21012	100	1	1	连击大于200	12	连击大于200	100
21013	1000	2	10000	受击次数小于30次	13	受击次数小于30次	总积分增加10%
21014	2500	2	10000	受击次数小于15次	14	受击次数小于15次	总积分增加25%
21015	4000	2	10000	受击次数小于5次	15	受击次数小于5次	总积分增加40%
21016	100	1	1	拾取{0}次道具	16	按次数计算	100
21017	100	1	1	累计滞空时间	17	关卡内积分每次触发都结算，传出只传出1	100
21018	150	1	1	爬墙	18	关卡内积分每次触发都结算，传出只传出1	150
21019	200	1	1	释放{0}次精确切换武器	19	按次数计算	100
21020	100	1	1	滑铲通过障碍	20	关卡内积分每次触发都结算，传出只传出1	100
21021	100	1	1	维持加速超过10秒	21	每5秒加1次分，传出只传出1	100
21022	100	1	1	废弃-维持10速度超过10秒	22	每5秒加1次分，传出只传出1	100
21023	100	1	1	废弃-维持15速度超过10秒	23	每5秒加1次分，传出只传出1	100
21024	200	1	1	手枪同时命中10个目标	24	关卡内积分每次触发都结算，传出只传出1	200
21025	200	1	1	双枪持续命中目标	25	子弹命中1次计算，值没变化1s归零，值到达10再次命中通过判定加分，传出只传出1	200
21026	200	1	1	弓箭命中距离8m以外的目标	26	关卡内积分每次触发都结算，传出只传出1	200
21027	200	1	1	太刀命中距离5m以外的目标	27	关卡内积分每次触发都结算，传出只传出1	200
