Id	Name	Type	FightEvent	Icon	Description	AbilityBonus
1	支援治疗	1	110503	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	生命+1000，攻击+200。\n触发qte给自身添加一个持续恢复的buff持续4秒，每秒恢复自身最大生命值1.5%的血量，重复触发刷新时间。	600
2	极速必杀	1	110505	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	生命+1000，攻击+200。\n每消除1个信号球时额外获得1点能量值，必杀伤害增加45%。	600
3	超算庇护	1	110618	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	生命+1000，攻击+200。\n超算的冷却时间减少2秒，进入超算空间时，额外获得1个随机信号球。	600
4	切换陷阱	1	110616	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	生命+1000，攻击+200。\n每次切换人下场，将会给周围所有敌人添加诅咒效果持续8秒，每秒造成120%攻击力的伤害，重复触发刷新时间。	600
5	必杀增益	1	110608	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	生命+1000，攻击+200。\n释放必杀后，获得一个自身最大生命值15%的护盾并且获得20%的额外伤害加成以及霸体效果，持续8秒。	600
6	激化回复	1	110501	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	生命+1000，攻击+200。\n治疗效果提高15%，受到治疗的目标额外伤害加成提升20%，持续5秒。	600
7	切换增益	1	110509	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	生命+1000，攻击+200。\n切换成员冷却时间减少3s，切换成员入场时，立刻获得3个同色信号球。	600
8	意识芯片：汉娜	1	110511	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	生命+1000，攻击+200。\n3消额外伤害加成提高25%，每30秒下次3消会进入超算空间，并随机获得1个信号球。	600
9	信号增益	1	110617	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	生命+1000，攻击+200。\n角色每隔3秒自动增加3个相同颜色信号球。	600
101	支援护盾	1	110601	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22120.png	生命+1000，攻击+200。\nqte添加自身10%最大生命值的护盾持续3秒，不可叠加，重复触发刷新持续时间。	600
102	超算庇护	1	110618	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	生命+1000，攻击+200。\n超算的冷却时间减少2秒，进入超算空间时，额外获得1个随机信号球。	600
103	闪避增益	1	110507	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	生命+1000，攻击+200。\n闪避槽上限增加400，闪避成功时获得1个信号球。	600
104	激化护盾	1	110612	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png	生命+1000，攻击+200。\n单消/双消/三消分别添加自身1%/2%/4%的最大生命值的护盾持续8秒，此护盾不可叠加，并且在有护盾状态下全程霸体。	600
105	切换增益	1	110509	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	生命+1000，攻击+200。\n切换成员冷却时间减少3s，切换成员入场时，立刻获得3个同色信号球。	600
106	护盾活化	1	110605	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	生命+1000，攻击+200。\n获得护盾每达到1000，获得三颗同色球。	600
107	追击	1	110611	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22050.png	生命+1000，攻击+200。\n每次造成伤害时会造成1次额外伤害，该伤害为原伤害的20%，会计入连击。	600
108	超量护盾	1	110609	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32131.png	生命+1000，攻击+200。\n己方护盾获取量翻倍且拥有护盾时，将获得100%额外伤害加成。	600
109	定点标记	1	110516	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21101.png	生命+1000，攻击+200。\n连击达到200下将会给敌方添加一个标记buff持续8s。标记buff会记录敌人在此期间受到的伤害，buff结束时将会对敌方造成在buff持续期间“受到伤害*2”的伤害。	600
1001	废弃功能	2	110113	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	每隔3秒获得1个红色信号球	
1002	废弃功能	2	110114	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	每隔3秒获得1个黄色信号球	
1003	废弃功能	2	110115	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔3秒获得1个蓝色信号球	
