Id	PreStageId	Name	Order	Bg	WinCondition	StarCondition	TestRobot	FightEventIds	StarDesc	FarmReward	MaxStar	RandomFightEventIds	MonsterGroups
30161522		静滞浮标.01	text1	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk1.png			[127611, 127612, 127613, 127614]	[97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111111]
30161523	30161522	静滞浮标.02	text2	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk2.png			[127611, 127612, 127613, 127614]	[97258, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111121]
30161524	30161523	静滞浮标.03	text3	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk3.png			[127611, 127612, 127613, 127614]	[97259, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111131]
30161525	30161524	静滞浮标.04	text4	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk4.png			[127611, 127612, 127613, 127614]	[97261, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111141]
30161526	30161525	静滞浮标.05	text5	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk5.png			[127611, 127612, 127613, 127614]	[97264, 97265, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111211]
30161527	30161526	静滞浮标.06	text6	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk6.png			[127611, 127612, 127613, 127614]	[97267, 97266, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111221]
30161528	30161527	静滞浮标.07	text7	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk7.png			[127611, 127612, 127613, 127614]	[97268, 97269, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111231]
30161529	30161528	静滞浮标.08	text8	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk8.png			[127611, 127612, 127613, 127614]	[97270, 97271, 97272, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111241]
30161530	30161529	静滞浮标.09	text9	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk9.png			[127611, 127612, 127613, 127614]	[97273, 97274, 97275, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111311]
30161531	30161530	静滞浮标.10	text10	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk10.png			[127611, 127612, 127613, 127614]	[97273, 97276, 97277, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111321]
30161532	30161531	静滞浮标.11	text11	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk11.png			[127611, 127612, 127613, 127614]	[97273, 97278, 97279, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111331]
30161533	30161532	静滞浮标.12	text12	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk12.png			[127611, 127612, 127613, 127614]	[97273, 97280, 97281, 97295, 97296]	['消灭敌人通关', '获得5000积分1星', '获得50000积分2星', '获得150000积分3星']	100101070	3		[111341]
30161537	30161533	枯寂锚点.01	text13	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk13.png			[127611, 127612, 127613, 127614]	[97273, 97259, 97283, 97295, 97296]	['消灭敌人通关', '获得25000积分1星', '获得75000积分2星', '获得200000积分3星']	100101070	3		[111411]
30161538	30161537	枯寂锚点.02	text14	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk14.png			[127611, 127612, 127613, 127614]	[97282, 97284, 97285, 97295, 97296]	['消灭敌人通关', '获得25000积分1星', '获得75000积分2星', '获得200000积分3星']	100101070	3		[111421]
30161539	30161538	枯寂锚点.03	text15	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk15.png			[127611, 127612, 127613, 127614]	[97273, 97286, 97292, 97295, 97296]	['消灭敌人通关', '获得25000积分1星', '获得75000积分2星', '获得200000积分3星']	100101070	3		[111431]
30161540	30161539	枯寂锚点.04	text16	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk16.png			[127611, 127612, 127613, 127614]	[97282, 97287, 97288, 97295, 97296]	['消灭敌人通关', '获得25000积分1星', '获得75000积分2星', '获得200000积分3星']	100101070	3		[111441]
30161534		数据乱流	text1	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk0.png			[127611, 127612, 127613, 127614]	[97295, 97296]	['消灭敌人通关']	100101070		[97260, 97262, 97263]	[111151]
30161535		数据乱流	text1	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk6.png			[127611, 127612, 127613, 127614]	[97295, 97296]	['消灭敌人通关']	100101070		[97289, 97290, 97291]	[111251]
30161536		数据乱流	text1	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossGk14.png			[127611, 127612, 127613, 127614]	[97295, 97296]	['消灭敌人通关']	100101070		[97283, 97293, 97294]	[111351]
