Id	Name	PreTalentId	UnlockLevel	FightEventId	Intro	Icon
11001	旋转涡轮		2	2230002	红色信号球释放时可移动且无视敌人碰撞	Assets/Product/Texture/Image/IconSkill/R2lihong1.png
11002	数据备份		4	2230006	每场战斗拥有1次复活机会，复活后恢复50%血量	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png
11003	火焰改良		6	2230003	黄色信号球的火场范围增大，持续时间延长	Assets/Product/Texture/Image/IconSkill/R2lihuang1.png
11004	高频反应		8	2230007	连击数高于50时，增加额外伤害，连击数越高额外伤害越高，连击数超过150后不再增加，连击数低于50时增伤效果会移除	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png
11005	爆燃弹药		10	2230001	普通攻击附加爆炸效果	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool2.png
11006	强击弹药		12	2230004	蓝色信号球击退距离增加并减少目标移动速度，持续5秒	Assets/Product/Texture/Image/IconSkill/R2lilan1.png
11007	聚能装置		15	2230008	能量获取效率提升	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool17.png
11008	必杀进化		18	2230005	必杀技转变为火属性伤害，结束时会留下火场	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool3.png
12001	猛击爆破		2	2230013	黄色信号球释放时会额外获得护盾和霸体减伤效果，持续5秒	Assets/Product/Texture/Image/IconSkill/R2kalieninahuang1.png
12002	能量迸发		4	2230016	短时间内累计击杀目标越多，获得的额外增伤效果越强	Assets/Product/Texture/Image/IconSkill/R2kalieninaA1.png
12003	牵引立场		6	2230014	提升蓝色信号球范围和吸附目标的能力，结束时会额外引发一次爆炸	Assets/Product/Texture/Image/IconSkill/R2kalieninalan1.png
12004	稳定装置		8	2230017	周边敌人越多，我方防御力越高	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJiegoujiagu.png
12005	散弹改良		10	2230011	散弹近距离必定暴击，每次攻击还会额外获得1点必杀技能量	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool2.png
12006	蓄能冲击		12	2230018	闪避后会获得持续3秒得增伤效果	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool18.png
12007	过载炮击		15	2230012	炮击模式下，每次炮击变更为3连发	Assets/Product/Texture/Image/IconSkill/R2kalieninahong1.png
12008	必杀进化		18	2230015	必杀技轰炸密度提高，并在结束时额外附带一枚卡列特制炸弹	Assets/Product/Texture/Image/IconSkill/R2kalieninaS1.png
