Id	TalentId	NeedUnit	Condition	FightEventId	FightEventLevel	Desc	UnlockTips	UnlockName	UnlockDesc	Icon	AttrId	AttrValue
1	10101	40		2230043	1	增加攻击力200				Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	2230002	200
2	10102	40		2230044	1	增加生命值400				Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png	2230001	400
3	10201	80		2230001	1	附加爆炸效果				Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool2.png		
4	10301	50		2230045	1	增加攻击力100				Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	2230002	100
5	10302	30		2230046	1	增加闪避值50				Assets/Product/Texture/Image/IconAffix/AffixIconXunjie2.png	2230006	50
6	10303	50		2230047	1	增加会心25				Assets/Product/Texture/Image/IconAffix/AffixIconBaozou2.png	2230004	25
7	10401	40		2230059	1	连击数每增加50，伤害提升5%，最高叠加3次。当连击数归零时增益消失。				Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png		
8	10401	40		2230059	2	连击数每增加50，伤害提升7%，最高叠加3次。当连击数归零时增益消失。				Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png		
9	10401	40		2230059	3	连击数每增加50，伤害提升10%，最高叠加3次。当连击数归零时增益消失。				Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png		
10	10402	40		2230058	1	闪避后获得相当于最大生命值10%的护盾，护盾持续5秒，拥有护盾时无法再次获得护盾。				Assets/Product/Texture/Image/IconAffix/AffixIconJiangu2.png		
11	10402	40		2230058	2	闪避后获得相当于最大生命值15%的护盾，护盾持续5秒，拥有护盾时无法再次获得护盾。				Assets/Product/Texture/Image/IconAffix/AffixIconJiangu2.png		
12	10402	40		2230058	3	闪避后获得相当于最大生命值20%的护盾，护盾持续5秒，拥有护盾时无法再次获得护盾。				Assets/Product/Texture/Image/IconAffix/AffixIconJiangu2.png		
13	10501	40		2230048	1	增加攻击力200				Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	2230002	200
14	10501	40		2230048	2	增加攻击力400				Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	2230002	400
15	10502	40		2230049	1	增加生命值400				Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png	2230001	400
16	10502	40		2230049	2	增加生命值800				Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png	2230001	800
17	10601	80		2230002	1	释放时可移动且无视敌人碰撞				Assets/Product/Texture/Image/IconSkill/R2lihong1.png		
18	10602	80		2230003	1	火场范围增大，持续时间延长				Assets/Product/Texture/Image/IconSkill/R2lihuang1.png		
19	10603	80		2230004	1	击退距离增加并减少目标移动速度，持续5秒				Assets/Product/Texture/Image/IconSkill/R2lilan1.png		
20	10701	125		2230050	1	增加攻击力250				Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	2230002	250
21	10702	100		2230051	1	增加闪避值100				Assets/Product/Texture/Image/IconAffix/AffixIconXunjie2.png	2230006	100
