Key	Comment	Value
SingleRankNum	单人排行榜人数	10
SingleRankFloor	单人排行榜奖励保底人数	10000
MultiRankNum	多人排行榜人数	100
MultiRankMax	多人排行榜缓存人数	1000
MultiFubenCloseStartHour	多人副本凌晨1点到9点关闭	1
MultiFubenCloseEndHour	多人副本凌晨1点到9点关闭	9
TalentResetCD	重置天赋CD，单位秒	86400
RankIconNo1	第一名图标	Assets/Product/Texture/Image/Common/BossSingleNo1.png
RankIconNo2	第二名图标	Assets/Product/Texture/Image/Common/BossSingleNo2.png
RankIconNo3	第三名图标	Assets/Product/Texture/Image/Common/BossSingleNo3.png
TalentConditionId	天赋解锁条件ID	1002201
SingleRankPercent	单人排行榜%1以内显示排名，以外显示百分比	0.01
NetworkDelay	网络延迟，单位毫秒	100
CharacterLimitBuff1	独域机体BUFF1	2240375
CharacterLimitBuff2	独域机体BUFF2	2240376
SingleRankTopNun	单人排行榜Top显示数量	Top10
MultiRankTopNun	多人排行榜Top显示数量	Top100
