Id	UpExp	NeedShow	SimpleDesc	BuffId
1	55		额外伤害加成提升3%	[51201]
2	80		额外伤害加成提升3%	[51202]
3	105		额外伤害加成提升3%	[51203]
4	130		额外伤害加成提升3%	[51204]
5	155	True	角色永久霸体	[51205]
6	180		额外伤害加成提升3%	[51206]
7	200		额外伤害加成提升3%	[51207]
8	220		额外伤害加成提升3%	[51208]
9	240		额外伤害加成提升3%	[51209]
10	260	True	额外信号球	[51210]
11	280		额外伤害加成提升3%	[51211]
12	295		额外伤害加成提升3%	[51212]
13	310		额外伤害加成提升3%	[51213]
14	325		额外伤害加成提升3%	[51214]
15	340	True	成员无限能量	[51215]
16	355		额外伤害加成提升3%	[51216]
17	365		额外伤害加成提升3%	[51217]
18	375		额外伤害加成提升3%	[51218]
19	385		额外伤害加成提升3%	[51219]
20	395	True	触发特殊事件	[51220]
21	405		额外伤害加成提升3%	[51221]
22	415		额外伤害加成提升3%	[51222]
23	425		额外伤害加成提升3%	[51223]
24	435		额外伤害加成提升3%	[51224]
25	445	True	解锁自动作战	
