Id	Type	Num	Description
11001	1	1	【全体增幅】所有敌人将获得【埋雷】
11002	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【电盾】
11003	3	3	【异常代码】新增巡境者并附加【暴走】
11011	1	1	【全体增幅】所有敌人将获得【暗影】
11012	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【祝福】
11013	3	3	【异常代码】新增守护者并附加【暴走】
11021	1	1	【全体增幅】所有敌人将获得【闪现】
11022	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【统领】
11023	3	3	【异常代码】新增禄存并附加【壁垒】
11031	1	1	【全体增幅】所有敌人将获得【复苏】
11032	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【独狼】
11033	3	3	【异常代码】新增海5-灯乌贼并附加【辐射】
11041	1	1	【全体增幅】所有敌人将增加【1倍血量】
11042	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【壁垒】
11043	3	3	【异常代码】新增力士陆型并附加【复苏】
11051	1	1	【全体增幅】所有敌人将获得【复苏】
11052	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【护盾】
11053	3	3	【异常代码】新增布道者并附加【冻结】
11061	1	1	【全体增幅】所有敌人将获得【不动】
11062	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【闭环】
11063	3	3	【异常代码】新增舞轮肆型并附加【暴走】
11071	1	1	【全体增幅】所有敌人将获得【辐射】
11072	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【迅捷】
11073	3	3	【异常代码】新增仿生斗牛并附加【壁垒】
11081	1	1	【全体增幅】所有敌人将增加【1倍血量】
11082	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【统领】
11083	3	3	【异常代码】新增遗迹勘探者并附加【暴走】
11091	1	1	【全体增幅】所有敌人将获得【暴走】
11092	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【独狼】
11093	3	3	【异常代码】新增遗迹挖掘者并附加【祝福】
11101	1	1	【全体增幅】所有敌人将增加【1倍血量】
11102	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【暴走】
11103	3	3	【异常代码】新增极地机兵并附加【闪现】
11111	1	1	【全体增幅】所有敌人将获得【祝福】
11112	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【闪现】
11113	3	3	【异常代码】新增武藏陆型并附加【冻结】
11121	1	1	【全体增幅】所有敌人将获得【电盾】
11122	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【统领】
11123	3	3	【异常代码】新增阿茂并附加【埋雷】
11131	1	1	【全体增幅】所有敌人将获得【劣化】
11132	2	2	【锚点进化】波普尔将替换为雅斯贝尔斯并附加【闪现】
11133	3	3	【异常代码】新增凯西并附加【终极状态】
