Id	Score	Type	Desc	Order	TipsDesc	TipsScore
10051	42000		战斗内评分最高达到A级	49	战斗内评分最高达到A级	4200
10061	63000		战斗内评分最高达S级	48	战斗内评分最高达S级	6300
10071	84000		战斗内评分最高达SS级	47	战斗内评分最高达SS级	8400
10081	126000		战斗内评分最高达SSS级	46	战斗内评分最高达SSS级	12600
10171	2500		必杀次数小于9	30	必杀次数小于9	总积分增加25%
10172	2000		必杀次数小于6	29	必杀次数小于6	总积分增加20%
10173	1000		必杀次数小于4	28	必杀次数小于4	总积分增加10%
10221	2500		受击次数小于30次	20	受击次数小于30次	总积分增加25%
10222	2000		受击次数小于15次	19	受击次数小于15次	总积分增加20%
10223	2000		受击次数小于5次	18	受击次数小于5次	总积分增加20%
10211	1500		无伤	16	无伤	总积分增加15%
10241	84000		连击大于400	14	连击大于400	8400
10242	63000		连击大于300	13	连击大于300	6300
10243	63000		连击大于200	12	连击大于200	6300
10251	2500		连击到达100后不再中断	11	连击到达100后不再中断	总积分增加25%
10301	2	1	C级评分下造成了{0}伤害	6	C级评分下造成伤害	每1点伤害获得0.2分
10311	3	1	B级评分下造成了{0}伤害	5	B级评分下造成伤害	每1点伤害获得0.3分
10321	4	1	A级评分下造成了{0}伤害	4	A级评分下造成伤害	每1点伤害获得0.4分
10331	5	1	S级评分下造成了{0}伤害	3	S级评分下造成伤害	每1点伤害获得0.5分
10341	6	1	SS级评分下造成了{0}伤害	2	SS级评分下造成伤害	每1点伤害获得0.6分
10351	7	1	SSS级评分下造成了{0}伤害	1	SSS级评分下造成伤害	每1点伤害获得0.7分
10400	2800		触发怪物斩杀	50	触发怪物斩杀	2800
10401	2800		触发特写斩杀	51	触发特写斩杀	4800
10402	42000		一次斩杀3个怪物	52	一次斩杀3个怪物	4200
10403	63000		一次斩杀5个怪物	53	一次斩杀5个怪物	6300
10404	84000		一次斩杀8个怪物	54	一次斩杀8个怪物	8400
10405	6300		连续触发斩杀2次	55	连续触发斩杀2次	6300
10406	8400		连续触发斩杀4次	56	连续触发斩杀4次	8400
10407	12600		连续触发斩杀6次	57	连续触发斩杀6次	12600
10408	4200		10S内斩杀未中断，触发斩杀数3	58	10S内斩杀未中断，触发斩杀数3	4200
10409	6300		10S内斩杀未中断，连续斩杀数5	59	10S内斩杀未中断，连续斩杀数5	6300
10410	12600		10S内斩杀未中断，连续斩杀数8	60	10S内斩杀未中断，连续斩杀数8	12600
10411	37800		10S内斩杀未中断，连续斩杀数15	61	10S内斩杀未中断，连续斩杀数15	37800
10412	6300		打断BOSS蓄力技能	62	打断BOSS蓄力技能	6300
10413	12600		破解BOSS反超算	63	破解BOSS反超算	12600
10414	6300		延长处决临界模式时间3S	64	延长处决临界模式时间3S	6300
10415	12600		延长处决临界模式时间5S	65	延长处决临界模式时间5S	12600
10416	37800		延长处决临界模式时间8S	66	延长处决临界模式时间8S	37800
10417	2500		3分钟内到达SSS	67	3分钟内到达SSS	总积分增加25%
10418	2000		2.5分钟内到达SSS	68	2.5分钟内到达SSS	总积分增加20%
10419	2000		2分钟内到达SSS	69	2分钟内到达SSS	总积分增加20%
