Id	LevelId	Condition	RewardId	SkipId	Desc	Offline	RewardType	ChapterId	IconNumber	Title
1	2	95021	62332	86001	通关南部矿区深巢		2	1	2	南部矿区
2	2	95022	62333	86002	通关库尼矿区深巢		2	2	2	库尼矿区
3	2	95023	62334	86003	通关层断矿区深巢		2	3	2	层断矿区
4	2	95024	62335	86004	通关宝来矿区深巢		2	4	3	宝来矿区
5	2	95025	62336	86005	通关云岛矿区深巢		2	5	3	云岛矿区
6	2	95026	62337	86006	通关渊山矿区深巢		2	6	3	渊山矿区
7	2	95027	62338	86001	不超过400系统电力通关南部矿区深巢		1	1	1	南部矿区
8	2	95028	62339	86001	不超过250系统电力电力通关南部矿区深巢		1	1	1	南部矿区
9	2	95029	62340	86002	不超过400系统电力通关库尼矿区深巢		1	2	1	库尼矿区
10	2	95030	62341	86002	不超过250系统电力通关库尼矿区深巢		1	2	1	库尼矿区
11	2	95031	62342	86003	不超过400系统电力通关层断矿区深巢		1	3	1	层断矿区
12	2	95032	62343	86003	不超过50系统电力通关层断矿区深巢		1	3	1	层断矿区
13	2	95033	62344	86004	不超过400系统电力通关宝来矿区深巢		1	4	1	宝来矿区
14	2	95034	62345	86004	不超过50系统电力通关宝来矿区深巢		1	4	1	宝来矿区
16	1	95036	62360	86001	通关南部矿区深巢		2	1	2	南部矿区
17	1	95037	62361	86002	通关库尼矿区深巢		2	2	2	库尼矿区
18	1	95038	62362	86003	通关层断矿区深巢		2	3	2	层断矿区
19	1	95039	62363	86004	通关宝来矿区深巢		2	4	2	宝来矿区
20	1	95040	62364	86001	不超过400系统电力通关南部矿区深巢		1	1	1	南部矿区
21	1	95041	62365	86001	不超过300系统电力电力通关南部矿区深巢		1	1	1	南部矿区
22	1	95042	62366	86002	不超过800系统电力通关库尼矿区深巢		1	2	1	库尼矿区
23	1	95043	62367	86002	不超过600系统电力通关库尼矿区深巢		1	2	1	库尼矿区
24	1	95044	62368	86003	不超过800系统电力通关层断矿区深巢		1	3	1	层断矿区
25	1	95045	62369	86003	不超过600系统电力通关层断矿区深巢		1	3	1	层断矿区
26	1	95046	62370	86004	不超过1200系统电力通关宝来矿区深巢		1	4	1	宝来矿区
27	1	95047	62371	86004	不超过900系统电力通关宝来矿区深巢		1	4	1	宝来矿区
