Id	MonsterId	MonsterType	Icon	Num	Level	LimitStageId	ModelScale	FightEventList	BuffIds	MonsterInfoId	Note
1001	93160	1	Assets/Product/Texture/Image/RoleCharacter/ChoujueNormal01.png	1	1000		0.6	[776102, 772591]	[776102, 772591, 776500, 776170]	100	黑帮小弟
1002	93230	1	Assets/Product/Texture/Image/RoleCharacter/CourierNormal01.png	1	1000		0.6	[760332, 760311]	[760332, 760311, 776501, 776171]	103	Courier
1003	93221	1	Assets/Product/Texture/Image/RoleCharacter/DeporterNormal01.png	1	1000		0.6	[760241]	[760241, 776502, 776172]	104	Deporter
1004	93020	1	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	1	1000		0.8	[712002, 760271]	[712002, 760271, 776503, 776173]	43	章鱼
1005	93010	1	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	1	1000		0.8	[760312]	[760312, 776504, 776174]	42	洁霸
1006	90940	1	Assets/Product/Texture/Image/RoleCharacter/Mo1CiganxieMd010001.png	1	1000		1.0	[760413, 772604]	[760413, 772604, 776505, 776175]	39	蝎子
1007	90930	1	Assets/Product/Texture/Image/RoleCharacter/Mo1YingdengyuMd010001.png	1	1000		0.6999	[760413, 772604]	[760413, 772604, 776506, 776176]	37	鱼
1008	90900	1	Assets/Product/Texture/Image/RoleCharacter/Mo1HaiqiaoMd010001.png	1	1000		1.0	[760413, 772604]	[760413, 772604, 776507, 776177]	36	海鞘
1009	90850	1	Assets/Product/Texture/Image/RoleCharacter/ZhuNormal01.png	1	1000		1.0	[778076, 760293]	[778076, 760293, 776508, 776178]	33	株
1010	90830	1	Assets/Product/Texture/Image/RoleCharacter/Mo1MifengMd010001.png	1	1000		0.6999	[778076, 760263]	[778076, 760263, 776509, 776179]	32	蚊子
1011	90810	1	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	1	1000		0.8	[760221, 772595]	[760221, 772595, 776510, 776180]	31	太阿
1012	90760	1	Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	1	1000		0.6	[712002, 780163]	[712002, 780163, 776511, 776181]	29	吊兔
1013	90770	1	Assets/Product/Texture/Image/RoleCharacter/ZhangyuNormal01.png	1	1000		0.6	[760401]	[760401, 776512, 776182]	30	乌贼
1014	90780	1	Assets/Product/Texture/Image/RoleCharacter/XiongrenNormal01.png	1	1000		0.6	[760451, 760603]	[760451, 760603, 776513, 776183]	65	熊
1015	90750	1	Assets/Product/Texture/Image/RoleCharacter/XuehaoNormal01.png	1	1000		0.6	[760381, 760394]	[760381, 760394, 776514, 776184]	28	雪鸮
1016	90710	1	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	1	1000		0.6999	[772587]	[772587, 776515, 776185]	25	凯西
1017	90720	1	Assets/Product/Texture/Image/RoleCharacter/MatianniNormal01.png	1	1000		1.0	[760291, 760451]	[760291, 760451, 776516, 776186]	26	马天尼
1018	90730	1	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	1	1000		1.0	[760281]	[760281, 776517, 776187]	27	白先生
1019	90650	1	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	1	1000		0.8	[760391, 760411]	[760391, 760411, 776518, 776188]	23	舞轮
1020	90640	1	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	1	1000		1.0	[712003, 760241]	[712003, 760241, 776519, 776189]	22	力士
1021	90660	1	Assets/Product/Texture/Image/RoleCharacter/DiaorensanxingNormal01.png	1	1000		0.6999	[776102, 760323, 760381]	[776102, 760323, 760381, 776520, 776190]	21	吊人
1022	90670	1	Assets/Product/Texture/Image/RoleCharacter/Mo1YanfenyixingMd000001.png	1	1000		0.8	[760302]	[760302, 776521, 776191]	20	烟粉
1023	90110	1	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	1	1000		0.6	[760342]	[760342, 776522, 776192]	4	巡境
1024	90030	1	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	1	1000		0.6	[760282]	[760282, 776523, 776193]	1	扳手
1025	90150	1	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	1	1000		0.6	[760202]	[760202, 776524, 776194]	10	液压
1026	90160	1	Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	1	1000		1.0	[760391, 760271]	[760391, 760271, 776525, 776195]	11	哨戒机炮
1101	90260	2	Assets/Product/Texture/Image/RoleCharacter/Mo1FangshengrongyuanMd000001.png	1	1000		0.6	[760452, 760394]	[760452, 760394, 776526, 776196]	46	蝾螈
1102	90350	2	Assets/Product/Texture/Image/RoleCharacter/XiaofangweishiNormal01.png	1	1000		0.5	[760432, 760341]	[760432, 760341, 776527, 776197]	48	消防
1103	90400	2	Assets/Product/Texture/Image/RoleCharacter/FangshengdouniuNormal01.png	1	1000		0.5	[760393, 760281]	[760393, 760281, 776528, 776198]	53	牛牛
1104	90450	2	Assets/Product/Texture/Image/RoleCharacter/JidijibingNormal01.png	1	1000		0.6999	[760601, 760251]	[760601, 760251, 776529, 776199]	59	机兵
1105	81200	2	Assets/Product/Texture/Image/RoleCharacter/WuzangjiuxingNormal01.png	1	1000		0.6999	[778076, 742151]	[778076, 742151, 776530, 776200]	74	武藏9
1106	90420	2	Assets/Product/Texture/Image/RoleCharacter/WZliuxingNomal01.png	1	1000		0.6999	[760323, 760394]	[760323, 760394, 776531, 776201]	58	武藏6
1201	83520	3	Assets/Product/Texture/Image/RoleCharacter/Mb1MelodyhuaxuMd10001.png	1	1000	30161266	0.6	[742199]	[742199, 776532, 776202]	83	华胥
1202	841000	3	Assets/Product/Texture/Image/RoleCharacter/ShulinghouNormal01.png	1	1000	30161267	0.6	[772583]	[772583, 776533, 776203]	89	枢蛉后
1203	81700	3	Assets/Product/Texture/Image/RoleCharacter/TifaNomal01.png	1	1000	30161268	0.6999	[760242]	[760242, 776534, 776204]	76	苦刑
2001		1	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	1	1000		0.6	[760282]	[760282]	12	守护者
2002		1	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	1	1000		0.6			4	巡境者
2003		1	Assets/Product/Texture/Image/RoleCharacter/Me1ShenhaiqianfuzheMd000002.png	1	1000		1.0	[760302, 760132]	[760302, 760132]	13	潜伏者
2004		1	Assets/Product/Texture/Image/RoleCharacter/ZhangyuNormal01.png	1	1000		0.6	[760132]	[760132]	30	乌贼
2005		1	Assets/Product/Texture/Image/RoleCharacter/YijushaojiejipaoNormal01.png	1	1000		1.0	[760452, 760322]	[760452, 760322]	14	异聚机炮
2006		1	Assets/Product/Texture/Image/RoleCharacter/Mo1YijuyeyaMd000001.png	1	1000		1.0	[760322]	[760322]	16	异聚液压
2007		1	Assets/Product/Texture/Image/RoleCharacter/YijukongzhongjianshiqiNormal01.png	1	1000		1.0	[760322]	[760322]	15	异聚空监视器
2008		1	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	1	1000		0.6999	[760381, 760252]	[760381, 760252]	17	分解单元
2009		1	Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	1	1000		0.6999	[760252]	[760252]	18	火力单元
2010		1	Assets/Product/Texture/Image/RoleCharacter/Me1YihexiufudanyuanMd000001.png	1	1000		0.6999	[772587]	[772587]	19	修复单元
2011		1	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	1	1000		0.6999	[760272, 760312]	[760272, 760312]	25	凯西
2012		1	Assets/Product/Texture/Image/RoleCharacter/MatianniNormal01.png	1	1000		1.0	[760272]	[760272]	26	马天尼
2013		1	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	1	1000		1.0	[760272]	[760272]	27	白先生
2014		1	Assets/Product/Texture/Image/RoleCharacter/Mo1YingdengyuMd010001.png	1	1000		0.6999	[760231, 780432]	[760231, 780432]	37	灯鱼
2015		1	Assets/Product/Texture/Image/RoleCharacter/Mo1CiganxieMd010001.png	1	1000		1.0	[760231]	[760231]	39	刺蝎
2016		2	Assets/Product/Texture/Image/RoleCharacter/Me1UnknownMd010001.png	1	1000		0.6	[760352]	[760352]	69	齿轮
2017		1	Assets/Product/Texture/Image/RoleCharacter/Mo1HaiqiaoMd010001.png	1	1000		1.0			36	海鞘
2018		1	Assets/Product/Texture/Image/RoleCharacter/Mo1MifengMd010001.png	1	1000		0.6999	[760292, 780231]	[760292, 780231]	32	赢
2019		1	Assets/Product/Texture/Image/RoleCharacter/ZhuNormal01.png	1	1000		1.0	[760292]	[760292]	33	株
2020		1	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	1	1000		0.8	[760242, 760342]	[760242, 760342]	31	太阿
2021		1	Assets/Product/Texture/Image/RoleCharacter/Mo1BopuerMd01000.png	1	1000		1.0	[760342]	[760342]	34	波普尔
2022		1	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	1	1000		0.8	[760452, 780192]	[760452, 780192]	23	舞轮
2023		2	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	1	1000		1.0	[760412]	[760412]	22	力士
2024		2	Assets/Product/Texture/Image/RoleCharacter/DiaorensanxingNormal01.png	1	1000		0.6999	[760221, 772591]	[760221, 772591]	21	吊人
2025		2	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	1	1000		0.8	[760472, 780690]	[760472, 760690]	24	禄存
2026		2	Assets/Product/Texture/Image/RoleCharacter/Mo1YanfenyixingMd000001.png	1	1000		0.8	[760492, 780312]	[760492, 780312]	20	烟粉
2027		2	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	1	1000		0.8	[712004, 780262]	[712004, 780262]	42	洁霸
2028		2	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	1	1000		0.8	[760212, 780392]	[760212, 780392]	43	SSG
2101		2	Assets/Product/Texture/Image/RoleCharacter/LangrenNormal01.png	1	1000		0.8	[760132, 780392]	[760132, 780392]	45	浪人
2102		2	Assets/Product/Texture/Image/RoleCharacter/XiaofangweishiNormal01.png	1	1000		0.5	[772583, 780352]	[772583, 780352]	48	消防
2103		2	Assets/Product/Texture/Image/RoleCharacter/FangshengdouniuNormal01.png	1	1000		0.5	[776102]	[776102]	53	斗牛
2104		2	Assets/Product/Texture/Image/RoleCharacter/ZhizunNormal01.png	1	1000		0.8	[712005, 780292]	[712005, 780292]	63	至尊
2105		2	Assets/Product/Texture/Image/RoleCharacter/FenjiezheNormal01.png	1	1000		0.8	[772593, 780392]	[772593, 780392]	49	分解者
2106		2	Assets/Product/Texture/Image/RoleCharacter/JidijibingNormal01.png	1	1000		0.6999	[760671, 780452]	[760671, 780452]	59	极地机兵
2107		2	Assets/Product/Texture/Image/RoleCharacter/Me1YijikantanzheMd000001.png	1	1000		0.8	[760382, 780133]	[760382, 780133]	50	勘探者
2108		2	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	1	1000		0.8	[760252, 780213]	[760252, 780213]	51	挖掘者
2109		2	Assets/Product/Texture/Image/RoleCharacter/WZliuxingNomal01.png	1	1000		0.6999	[712004, 780162]	[712004, 780162]	58	武藏陆型
2110		3	Assets/Product/Texture/Image/RoleCharacter/Me1ZilujingweiMd000001.png	1	1000		0.5	[772595, 776105]	[772595, 776105]	55	自律警卫
2201		3	Assets/Product/Texture/Image/RoleCharacter/LuolanNomal01.png	1	1000		1.0	[760251, 776105]	[760251, 776105]	79	罗兰
2202		3	Assets/Product/Texture/Image/RoleCharacter/TifaNomal01.png	1	1000		0.6999	[772591, 712005]	[772591, 712005]	76	苦刑
2203		3	Assets/Product/Texture/Image/RoleCharacter/WuzangjiuxingNormal01.png	1	1000		0.6999	[776102]	[776102]	74	武藏玖
2204		3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1	1000		1.0	[760251, 776105]	[760251, 776105]	78	阿尔法
2205		3	Assets/Product/Texture/Image/RoleCharacter/KamuNomal01.png	1	1000		1.0	[746005, 760473]	[746005, 760473]	81	卡穆
3001	93060	2	Assets/Product/Texture/Image/RoleCharacter/NvDuiZhangNormal01.png	1	1000		0.6	[742152, 778091]	[742152, 778091, 776535, 776205]	96	女队长
3002	93050	2	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotinvNormal01.png	1	1000		0.6	[760423, 778091]	[760423, 778091, 776536, 776206]	97	女兵
3003	93190	2	Assets/Product/Texture/Image/RoleCharacter/YiliaojiNormal01.png	1	1000		0.6	[772587, 760233]	[772587, 760233, 776537, 776207]	102	医疗小车
3004	93180	2	Assets/Product/Texture/Image/RoleCharacter/PaotaiNormal01.png	1	1000		0.6	[760343, 760492]	[760343, 760492, 776538, 776208]	101	小钢炮
3005	93101	2	Assets/Product/Texture/Image/RoleCharacter/ShujingNormal01.png	1	1000		0.6	[760323, 760282]	[760323, 760282, 776539, 776209]	98	树怪
3006	93110	2	Assets/Product/Texture/Image/RoleCharacter/JinglingNormal01.png	1	1000		0.6	[780073, 742151]	[780073, 742151, 776540, 776210]	99	精灵
3007	93030	2	Assets/Product/Texture/Image/RoleCharacter/Mo1SemifiniMd010001.png	1	1000		1.0	[760672, 760471]	[760672, 760471, 776541, 776211]	44	类人
3101	90950	2	Assets/Product/Texture/Image/RoleCharacter/Me1JiegouqiutuMd010001.png	1	1000		0.6	[712006, 712003, 760413]	[712006, 712003, 760413, 776542, 776212]	70	囚徒
3102	90990	2	Assets/Product/Texture/Image/RoleCharacter/XianfengchonglangzheNormal01.png	1	1000		0.6	[712004, 760692]	[712004, 760692, 776543, 776213]	72	冲浪者
3103	90380	2	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiNomal01.png	1	1000		1.0	[778076, 778091, 772593]	[778076, 778091, 772593, 776544, 776214]	57	构造体
3104	90340	2	Assets/Product/Texture/Image/RoleCharacter/JinweiNormal01.png	1	1000		0.5	[712005, 760303, 760603]	[712005, 760303, 760603, 776545, 776215]	56	禁卫
3105	90222	2	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	1	1000		0.8	[778131, 760603]	[778131, 760603, 776546, 776216]	51	挖掘者
3106	90370	2	Assets/Product/Texture/Image/RoleCharacter/Me1YijikantanzheMd000001.png	1	1000		0.8	[778131, 760603]	[778131, 760603, 776547, 776217]	50	阿箭
3107	90800	2	Assets/Product/Texture/Image/RoleCharacter/YunluNormal01.png	1	1000		1.0	[760353, 760131, 760403]	[760353, 760131, 760403, 776548, 776218]	67	墨鸢
3108	90790	2	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	1	1000		0.6999	[776102, 712002]	[776102, 712002, 776549, 776219]	66	骁卫
