StageId	StageType	StageName	ConditionId	StrengthenId	Img	Score	ExtraTimeLimit	ExtraScore	ExtraDec	Model
30162800	1	异相分区<size=50>(1/14)</size>		[1, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1YuandingMd000001
30162801	1	异相分区<size=50>(2/14)</size>	[1006500]	[1, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1XiulijigongMd000001
30162802	1	异相分区<size=50>(3/14)</size>	[1006501]	[1, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1OrphanMd030001
30162803	1	异相分区<size=50>(4/14)</size>	[1006502]	[2, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1FangshengdouniuMd000001
30162804	1	异相分区<size=50>(5/14)</size>	[1006503]	[2, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JidijibingMd000001
30162805	1	异相分区<size=50>(6/14)</size>	[1006504]	[2, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1SwordMd030001
30162806	1	异相分区<size=50>(7/14)</size>	[1006505]	[3, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1UngouzaotiMd010001UI
30162807	1	异相分区<size=50>(8/14)</size>	[1006506]	[3, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JinweiMd000001
30162808	1	异相分区<size=50>(9/14)</size>	[1006507]	[3, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MelodyMd010001
30162809	1	异相分区<size=50>(10/14)</size>	[1006508]	[4, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1UnknownMd010001UI
30162810	2	异相分区<size=50>(11/14)</size>	[1006509]	[4, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1LunaMd010001UI
30162811	2	异相分区<size=50>(12/14)</size>	[1006510]	[5, 7, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1JiabailieMd000001
30162812	2	异相分区<size=50>(13/14)</size>	[1006511]	[5, 6, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1MotherMd010001UI
30162813	3	异相分区<size=50>(14/14)</size>	[1006512]	[8, 29, 37]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1VoodooMd010001UI
30162814	1	悖论分区<size=50>(1/14)</size>		[9]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1LishiliuxingMd000001
30162815	1	悖论分区<size=50>(2/14)</size>	[1006513]	[9]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1InsbMd010001UI
30162816	1	悖论分区<size=50>(3/14)</size>	[1006514]	[9]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1RapperMd000001UI
30162817	1	悖论分区<size=50>(4/14)</size>	[1006515]	[10]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JiulongzhongyaziMd000001
30162818	1	悖论分区<size=50>(5/14)</size>	[1006516]	[10]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1ZhizunMd000001
30162819	1	悖论分区<size=50>(6/14)</size>	[1006517]	[10]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MelodyhuaxuMd10001
30162820	1	悖论分区<size=50>(7/14)</size>	[1006518]	[11]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1RobotarmorMd030001
30162821	1	悖论分区<size=50>(8/14)</size>	[1006519]	[11]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1GztcaptainMd010001UI
30162822	1	悖论分区<size=50>(9/14)</size>	[1006520]	[11]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MajiyaweiliMd010001UI
30162823	1	悖论分区<size=50>(10/14)</size>	[1006521]	[12]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1DiaorensanxingMd000001
30162824	2	悖论分区<size=50>(11/14)</size>	[1006522]	[12, 14]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1XigeluenMd010002UI
30162825	2	悖论分区<size=50>(12/14)</size>	[1006523]	[13, 15]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1MelodyMd010001
30162826	2	悖论分区<size=50>(13/14)</size>	[1006524]	[13, 16]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1BruceloongMd010001UI
30162827	3	悖论分区<size=50>(14/14)</size>	[1006525]	[17, 37]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1LilithMd010001UI
30162828	1	裂变分区<size=50>(1/14)</size>		[18]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1YeyaMd000001
30162829	1	裂变分区<size=50>(2/14)</size>	[1006526]	[18]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1XuexiaoMd000002UI
30162830	1	裂变分区<size=50>(3/14)</size>	[1006527]	[18]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1VirginbioMd030001
30162831	1	裂变分区<size=50>(4/14)</size>	[1006528]	[19]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1YihehuolidanyuanMd000001
30162832	1	裂变分区<size=50>(5/14)</size>	[1006529]	[19]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1CyborgleaderMd10001UI
30162833	1	裂变分区<size=50>(6/14)</size>	[1006530]	[19]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1LunaMd010001UI
30162834	1	裂变分区<size=50>(7/14)</size>	[1006531]	[20]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1FenjiezheMd000001
30162835	1	裂变分区<size=50>(8/14)</size>	[1006532]	[20]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JinweiMd000001
30162836	1	裂变分区<size=50>(9/14)</size>	[1006533]	[20]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1BaiyangnvMd010001
30162837	1	裂变分区<size=50>(10/14)</size>	[1006534]	[21]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1YunluMd000003UI
30162838	2	裂变分区<size=50>(11/14)</size>	[1006535]	[21]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1MercyMd010001UI
30162839	2	裂变分区<size=50>(12/14)</size>	[1006536]	[22, 23]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1AolajiangMd010001
30162840	2	裂变分区<size=50>(13/14)</size>	[1006537]	[22, 24]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1TifaMd010001UI
30162841	3	裂变分区<size=50>(14/14)</size>	[1006538]	[25, 37]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MoonguyMd010001UI
30162842	1	异相分区<size=50>(1/14)</size>		[1, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1YuandingMd000001
30162843	1	异相分区<size=50>(2/14)</size>	[1006539]	[1, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1XiulijigongMd000001
30162844	1	异相分区<size=50>(3/14)</size>	[1006540]	[1, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1OrphanMd030001
30162845	1	异相分区<size=50>(4/14)</size>	[1006541]	[2, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1FangshengdouniuMd000001
30162846	1	异相分区<size=50>(5/14)</size>	[1006542]	[2, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JidijibingMd000001
30162847	1	异相分区<size=50>(6/14)</size>	[1006543]	[2, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1SwordMd030001
30162848	1	异相分区<size=50>(7/14)</size>	[1006544]	[3, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1UngouzaotiMd010001UI
30162849	1	异相分区<size=50>(8/14)</size>	[1006545]	[3, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JinweiMd000001
30162850	1	异相分区<size=50>(9/14)</size>	[1006546]	[3, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MelodyMd010001
30162851	1	异相分区<size=50>(10/14)</size>	[1006547]	[4, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1UnknownMd010001UI
30162852	2	异相分区<size=50>(11/14)</size>	[1006548]	[4, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1LunaMd010001UI
30162853	2	异相分区<size=50>(12/14)</size>	[1006549]	[5, 7, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1JiabailieMd000001
30162854	2	异相分区<size=50>(13/14)</size>	[1006550]	[5, 6, 29]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1MotherMd010001UI
30162855	3	异相分区<size=50>(14/14)</size>	[1006551]	[8, 29, 37]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1VoodooMd010001UI
30162856	1	悖论分区<size=50>(1/14)</size>		[9]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1LishiliuxingMd000001
30162857	1	悖论分区<size=50>(2/14)</size>	[1006552]	[9]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1InsbMd010001UI
30162858	1	悖论分区<size=50>(3/14)</size>	[1006553]	[9]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1RapperMd000001UI
30162859	1	悖论分区<size=50>(4/14)</size>	[1006554]	[10]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1JiulongzhongyaziMd000001
30162860	1	悖论分区<size=50>(5/14)</size>	[1006555]	[10]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1ZhizunMd000001
30162861	1	悖论分区<size=50>(6/14)</size>	[1006556]	[10]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MelodyhuaxuMd10001
30162862	1	悖论分区<size=50>(7/14)</size>	[1006557]	[11]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1RobotarmorMd030001
30162863	1	悖论分区<size=50>(8/14)</size>	[1006558]	[11]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1GztcaptainMd010001UI
30162864	1	悖论分区<size=50>(9/14)</size>	[1006559]	[11]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1MajiyaweiliMd010001UI
30162865	1	悖论分区<size=50>(10/14)</size>	[1006560]	[12]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1DiaorensanxingMd000001
30162866	2	悖论分区<size=50>(11/14)</size>	[1006561]	[12, 14]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1XigeluenMd010002UI
30162867	2	悖论分区<size=50>(12/14)</size>	[1006562]	[13, 15]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1MelodyMd010001
30162868	2	悖论分区<size=50>(13/14)</size>	[1006563]	[13, 16]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png		120		通关时间小于120秒	Mb1BruceloongMd010001UI
30162869	3	悖论分区<size=50>(14/14)</size>	[1006564]	[17, 37]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1LilithMd010001UI
30162870	1	裂变分区<size=50>(1/14)</size>		[18]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1YeyaMd000001
30162871	1	裂变分区<size=50>(2/14)</size>	[1006565]	[18]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1XuexiaoMd000002UI
30162872	1	裂变分区<size=50>(3/14)</size>	[1006566]	[18]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1VirginbioMd030001
30162873	1	裂变分区<size=50>(4/14)</size>	[1006567]	[19]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Me1YihehuolidanyuanMd000001
30162874	1	裂变分区<size=50>(5/14)</size>	[1006568]	[19]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mo1CyborgleaderMd10001UI
30162875	1	裂变分区<size=50>(6/14)</size>	[1006569]	[19]	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png					Mb1LunaMd010001UI
