Id	Type	HeadIcon	Phases	Score	Message
1	1		100		安博莉亚已解锁！！！
2	1		90		安博莉亚血量下降到90%！
3	1		80		安博莉亚血量下降到80%！
4	1		70		安博莉亚血量下降到70%！
5	1		60		安博莉亚血量下降到60%！
6	1		50		安博莉亚血量下降到50%！
7	1		40		安博莉亚血量下降到40%！
8	1		30		安博莉亚血量下降到30%！
9	1		20		安博莉亚血量下降到20%！
10	1		10		安博莉亚血量下降到10%！
11	1				安博莉亚已被击杀！！！
12	2		2		“渴望”梦境区域清除总进度达到25%！
13	2		4		“渴望”梦境区域清除总进度达到50%！
14	2		6		“渴望”梦境区域清除总进度达到75%！
15	2		8		“渴望”梦境区域清除总进度达到100%！
16	2		2		“火焰”梦境区域清除总进度达到25%！
17	2		4		“火焰”梦境区域清除总进度达到50%！
18	2		6		“火焰”梦境区域清除总进度达到75%！
19	2		8		“火焰”梦境区域清除总进度达到100%！
20	2		2		“手术台”梦境区域清除总进度达到25%！
21	2		4		“手术台”梦境区域清除总进度达到50%！
22	2		6		“手术台”梦境区域清除总进度达到75%！
23	2		8		“手术台”梦境区域清除总进度达到100%！
24	2		2		“恨意”梦境区域清除总进度达到25%！
25	2		4		“恨意”梦境区域清除总进度达到50%！
26	2		6		“恨意”梦境区域清除总进度达到75%！
27	2		8		“恨意”梦境区域清除总进度达到100%！
28	2		2		“善良”梦境区域清除总进度达到25%！
29	2		4		“善良”梦境区域清除总进度达到50%！
30	2		6		“善良”梦境区域清除总进度达到75%！
31	2		8		“善良”梦境区域清除总进度达到100%！
32	3		100		梦境节点已清除完成！！！
33	4			3000	%s在“渴望”梦境中贡献积分达到%d
34	4			5000	%s在“渴望”梦境中贡献积分达到%d
35	4			3000	%s在“火焰”梦境中贡献积分达到%d
36	4			5000	%s在“火焰”梦境中贡献积分达到%d
37	4			3000	%s在“手术台”梦境中贡献积分达到%d
38	4			5000	%s在“手术台”梦境中贡献积分达到%d
39	4			3000	%s在“恨意”梦境中贡献积分达到%d
40	4			5000	%s在“恨意”梦境中贡献积分达到%d
41	4			3000	%s在“善良”梦境中贡献积分达到%d
42	4			5000	%s在“善良”梦境中贡献积分达到%d
43	5			5000	%s对安博莉亚造成%d伤害！
44	5			10000	%s对安博莉亚造成%d伤害！
45	3		216000		“渴望”梦境节点NOD-1已清除完成！
46	3		225000		“渴望”梦境节点NOD-2已清除完成！
47	3		221400		“渴望”梦境节点NOD-3已清除完成！
48	3		225000		“渴望”梦境节点NOD-4已清除完成！
49	3		228600		“渴望”梦境节点NOD-5已清除完成！
50	3		226800		“渴望”梦境节点NOD-6已清除完成！
51	3		223200		“渴望”梦境节点NOD-7已清除完成！
52	3		234000		“渴望”梦境节点NOD-8已清除完成！
53	3		270000		“火焰”梦境节点NOF-1已清除完成！
54	3		266400		“火焰”梦境节点NOF-2已清除完成！
55	3		262800		“火焰”梦境节点NOF-3已清除完成！
56	3		259200		“火焰”梦境节点NOF-4已清除完成！
57	3		255600		“火焰”梦境节点NOF-5已清除完成！
58	3		252000		“火焰”梦境节点NOF-6已清除完成！
59	3		248400		“火焰”梦境节点NOF-7已清除完成！
60	3		244800		“火焰”梦境节点NOF-8已清除完成！
61	3		243000		“手术台”梦境节点NOE-1已清除完成！
62	3		241200		“手术台”梦境节点NOE-2已清除完成！
63	3		239400		“手术台”梦境节点NOE-3已清除完成！
64	3		237600		“手术台”梦境节点NOE-4已清除完成！
65	3		235800		“手术台”梦境节点NOE-5已清除完成！
66	3		234000		“手术台”梦境节点NOE-6已清除完成！
67	3		232200		“手术台”梦境节点NOE-7已清除完成！
68	3		230400		“手术台”梦境节点NOE-8已清除完成！
69	3		297000		“恨意”梦境节点NOH-1已清除完成！
70	3		291600		“恨意”梦境节点NOH-2已清除完成！
71	3		286200		“恨意”梦境节点NOH-3已清除完成！
72	3		280800		“恨意”梦境节点NOH-4已清除完成！
73	3		275400		“恨意”梦境节点NOH-5已清除完成！
74	3		270000		“恨意”梦境节点NOH-6已清除完成！
75	3		264600		“恨意”梦境节点NOH-7已清除完成！
76	3		259200		“恨意”梦境节点NOH-8已清除完成！
77	3		324000		“善良”梦境节点NOK-1已清除完成！
78	3		316800		“善良”梦境节点NOK-2已清除完成！
79	3		309600		“善良”梦境节点NOK-3已清除完成！
80	3		302400		“善良”梦境节点NOK-4已清除完成！
81	3		295200		“善良”梦境节点NOK-5已清除完成！
82	3		288000		“善良”梦境节点NOK-6已清除完成！
83	3		280800		“善良”梦境节点NOK-7已清除完成！
84	3		273600		“善良”梦境节点NOK-8已清除完成！
