BuffId	BuffEffect	BuffType	DisplayType	DisplayPriority	Params	BuffInit	BuffCover	TimeType	TimeTypeParam	Name	Icon	Desc
101		1	1	1	[11, 12, 13]			1				开始时带有3个爆破装置
102		2	1	1	[300]			1				开始时带有300资源点数
103		3	1	1	[35]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	采集飞船升级花费资源点数-35%
104		4	1	1	[6, 40, 3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff13.png	整点薯条：遗落补给中获得的资源点数+40%
105		8	1	1	[65]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff14.png	谢谢你，店家：消耗插件购买花费-35%
106		7	1	1	[1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff16.png	拥有额外1个消耗插件购买位置
107		5	1	1	[10, 3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff01.png	钩爪速度+10%
108		4	1	1	[2, -50, 3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff15.png	金陨矿获得资源点数-50%
109		4	1	1	[3, 50, 3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff15.png	星辉石获得资源点数+50%
110		5	1	1	[15, 3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff17.png	钩爪速度+15%
111		23	1	1	[-5, -5]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff17.png	获得资源点数-5%
112		16	1	1	[0, 2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff18.png	每次进入关卡时自动获得一个额外插件
113		23	1	1	[-6, 12]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff19.png	来聊聊价格吧：获得资源点数会在-6%~+12%之间波动
114		19	1	1	[8]			2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex3.png	充裕工期：关卡开始时获得额外8秒，每次使用道具时停3秒
115		17	1	1	[211]			1				
116		24	1	1	[6]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff21.png	替身使者：默认钩爪变更为特殊的【替身】钩爪
117		25	1	1	[100, 200]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff22.png	爆破鬼才：抓取或使用炸药时获得额外数额的资源点数
118		26	1	1	[3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff23.png	汪汪汪!：在抓取猫猫时，有概率额外获得随机道具
119		27	1	1	[50, 100]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff24.png	霹雳一闪：抓取喵星水晶时，根据结果额外获得随机比例的资源点数
201		6	2					2	1			炸毁正在拉回的太空资源
202		5	2		[100, 1]			2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff01.png	下一次抓取速度+100%
203		11	2		[1]			2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff02.png	下一次抓取不会触发爆破装置
204		9	2		[9]			2	1			正在拉回的太空资源变为同样大小的金陨矿
205		10	2		[5]			3	5			猫咪暂停移动5s
206		4	3		[2, 50, 2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff03.png	本关从金陨矿获得资源点数+50%
207		4	3		[3, 50, 2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff05.png	本关从星辉石获得资源点数+50%
208		5	3		[30, 2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff01.png	本关拉回速度+30%
209		4	3		[6, 50, 2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff06.png	本关从遗落补给中获得的资源点数+50%
210		4	3		[5, 50, 2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff12.png	本关从猫咪中获得的资源点数+50%
211		18	2		[3]			3	3			触发3秒超维空间
212		22	2		[1]			2	1			炸掉场上所有太空陨石
213		21	2		[0, -70]			3	10			所有太空资源重量减少70%，持续10秒
214		36	1	1	[10, 25]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex6.png	无取连锁：关卡内所有得分获得额外增益！
301		12	1	4	[60]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	飞船移动速度提升1级
302		12	1	4	[100]		[301]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	飞船移动速度提升2级
303		12	1	4	[150]		[302]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex6.png	急不可耐：显著提升飞船移动速度
311		5	1	4	[10]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff08.png	飞船捕获钩爪速度提升1级
312		5	1	4	[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff08.png	飞船捕获钩爪速度提升2级
313		5	1	4	[30]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff08.png	飞船捕获钩爪速度提升满级
