Id	Name	Desc	TaskType	FinishProgress	Params
1	黄金1	捉一个type1的小黄金	1	1	[1]
2	黄金1时停	时停下捉一个黄金1	3	1	[1, 211]
3	黄金901俩	捉俩黄金901	1	2	[901, 2]
4	通过转向点捉到qte	转向点至一个qte	4	1	[914, 911, 913]
5	先把	中间俩小金子抓了	5	1	[1001]
6	一次出勾俩902	一次出勾俩902黄金	2	1	[902, 2]
7	黄金1大勾爪	大勾爪下捉一个黄金1	3	1	[902, 406]
10009		最有价值的就是星辉石！	1	1	[5, 1]
10003		爆炸！然后抓住那个星辉石！	1	1	[5, 1]
10002		抓住喵星水晶！但是好累，不想【点击】	1	1	[914, 1]
10013		啊...咧？	1	1	[932, 1]
10004		“手”可摘星辰！	1	1	[5, 1]
10007		在引力干预装置加成下，抓到一个超级大金陨矿	3	1	[932, 213]
10012		红衣服猫猫们遇上了引力乱流？	1	2	[967, 2]
10021		抓住全部的紫色星辉石吧！	1	2	[5, 2]
10023		抓住全部的紫色星辉石吧！	1	2	[1322, 2]
10025		抓住那个喵星水晶吧！	1	1	[1344, 1]
10026		抓住全部的喵星水晶吧！	1	2	[1362, 2]
10008		拯救哭哭猫猫！	1	1	[928, 1]
10011		安保系统？抓住被围的紫色星辉石吧！	1	1	[5, 1]
10014		抓到任意7个紫色星辉石吧！Not EZ Game	1	7	[5, 7]
10022		就在箱子后面！紫色星辉石！	1	1	[1313, 1]
10015		难道Ta真的是个数学天才？！	5	1	[10015]
10024		解救盒子里的哭哭猫猫！	1	1	[1334, 1]
10027		抓住全部的喵星水晶吧！虽然手会很累	1	4	[1383, 4]
10028		小心爆炸！抓住炸弹周围的紫色星辉石吧！	1	2	[1386, 2]
