Id	Style	Name	Desc	UnlockLv	FightEventId	Icon	IsCore	IsPermanent
1	1	基础校准	战斗开始及切换出场后，进入<color=#34aff8>超算</color>\n角色切换冷却下降3秒		[2240378]	Assets/Product/Texture/Image/UiGuild/IconGuildSkillStyle05.png		1
2	1	强效矩阵	角色<color=#34aff8>登场</color>后<color=#34aff8>伤害提升15%</color>，持续15秒，可<color=#34aff8>叠加5次</color>\n<color=#BFBFBF>不得得得得得了！</color>		[2240379]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png		
3	1	能量回充	角色登场回复<color=#34aff8>1组信号球</color>，若下场时<color=#34aff8>信号球≤3</color>，则下个登场的角色回复<color=#34aff8>2组</color>\n<color=#BFBFBF>让我见识一下吧，全新机体的性能</color>		[2240380]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png		
4	1	登场!!	登场后，对敌人造成一次<color=#34aff8>1200%的范围伤害</color>\n<color=#BFBFBF>唔，好像重了。指的是攻击力道，不是体重</color>		[2240381]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22021.png		
5	1	时间超越	角色登场<color=#34aff8>8秒内</color>击杀怪物，可<color=#34aff8>延长20秒</color>挑战时间，最多生效2次\n<color=#BFBFBF>时间啊，请把力量借给我</color>		[2240382]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12121.png		
6	1	联动核心α	每次出场后，角色会带上1层标记\n标记<color=#34aff8>到达4层</color>后移除所有标记，并进入持续20秒的<color=#34aff8>爆发状态</color>\n<color=#34aff8>爆发状态</color>：攻击力增加50%，每秒回复1组信号球、200点闪避值		[2240383]	Assets/Product/Texture/Image/UiGuild/IconGuildSkillStyle01.png	1	
7	1	联动核心β	登场角色若与下场角色<color=#34aff8>职业不同</color>，则对随机敌人造成1次<color=#34aff8>1000%攻击</color>的伤害\n累计<color=#34aff8>2次</color>后，<color=#34aff8>第3次</color>则可直接扣除目标<color=#34aff8>30%最大生命值</color>		[2240384]	Assets/Product/Texture/Image/UiGuild/IconGuildSkillStyle02.png	1	
8	2	基础校准	QTE出场时，激活另1人的QTE，场上<color=#34aff8>每增加1个角色</color>，主控角色的<color=#34aff8>攻击力提升15%</color>、<color=#34aff8>伤害提升30%</color>\n每造成100w伤害，激活2人QTE\n<color=#A52A2A>此效果将覆盖达芬奇意识</color>		[2240385]	Assets/Product/Texture/Image/UiGuild/IconGuildSkillStyle06.png		1
9	2	超算冷却	释放QTE后，可降低主控角色2秒超算冷却，同时有10%概率直接进入超算\n<color=#BFBFBF>进入超算对我有利！</color>		[2240386]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33171.png		
10	2	能量催化	释放QTE后，主控角色<color=#34aff8>每4秒回复1组信号球</color>，持续8秒\n<color=#BFBFBF>这里的机体都是怪物吗！</color>		[2240387]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22120.png		
11	2	我来啦！	QTE时，主控角色普攻附加1次<color=#34aff8>300%</color>的伤害\n<color=#BFBFBF>QTE出场的质量莫名增加，估计是主控角色的原因</color>		[2240388]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png		
12	2	时间超越	QTE造成效果后8秒内击杀怪物，可<color=#34aff8>延长20秒挑战时间</color>，最多生效2次\n<color=#BFBFBF>时间已经不是你的领域了</color>		[2240389]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png		
13	2	个体核心α	QTE后给全队挂上标记，每层可提升<color=#34aff8>主控角色3%攻击</color>\n<color=#34aff8>6层标记</color>时，移除所有标记，对半径8m范围内所有目标，造成<color=#34aff8>最大血量30%的伤害</color>		[2240390]	Assets/Product/Texture/Image/UiGuild/IconGuildSkillStyle03.png	1	
14	2	个体核心β	QTE登场时，根据职业给主控角色挂上标记，<color=#34aff8>2个标记时触发效果</color>，持续4秒\n<color=#34aff8>同职业</color>：1%攻击吸血，普攻可额外回复最多4个信号球\n<color=#34aff8>异职业</color>：效果期间，主控角色普攻附加1次1500%的伤害		[2240391]	Assets/Product/Texture/Image/UiGuild/IconGuildSkillStyle04.png	1	
