Id	Name	Content	BgColor
1	经典舱室	空中花园指挥局经典作战室	549bd2
2	经典音箱	来听一首黄金时代的黄金金曲吧	d3a047
3	多人交互	大家一起来玩	46c387
4	海岛	海滩活动，冲浪？还是快艇？	919191
5	炫酷舞台	舞动吧！其实没有人上去跳舞。	549bd2
6	躺下	瘫着睡大觉	46c387
7	乖乖坐好	坐椅子	d3a047
8	海边邂逅	今天会跟谁在海滩发生一场邂逅呢	917bc6
9	夏天	向往大海的夏天	917bc6
10	椰树	椰子汁和橘子汽水，你选哪个呢？	46c387
11	新禧迎春	新年快乐！指挥官们！	990033
12	夜绽烟花	东风夜放花千树，更吹落，星如雨	d3a047
13	庭院	九龙风格的新春院落	46c387
14	飘雪	六出飞花入户时，坐看青竹变琼枝	919191
15	庙会	春联、风筝、小吃——挑花眼啦	917bc6
16	夏日空岛	摆脱重力的束缚，将身体归还给天空	549bd2
17	云海远望	软乎乎、白花花，遥远的云之海啊	919191
18	瀑布	无法看到尽头的水流	d3a047
19	喷泉	飞溅的水雾带来丝丝凉意	917bc6
20	微风	炎炎夏日中难得的清凉	46c387
21	恭贺新禧	新年快乐！指挥官们！	990033
22	庭院	又一年的新春院落，曾经一起守岁的人还会再次相聚于此吗？	46c387
23	花飞雪	是花？还是雪？冰冰凉凉的，带着梨花的香味。	d3a047
24	垂钓	闲暇时来庭院里感受怡然垂钓的乐趣吧。	917bc6
25	围炉煮茶	煮茶？还有烤红薯，烤橘子，烤年糕，要喝罐罐奶茶！	46c387
26	盛夏	该如何形容夏天，阳光，蛙鸣，吹过树梢的热烈夏风。	d3a047
27	画展	用画笔记录回忆，它不止带来回忆~偶尔会有一些小惊喜。	919191
28	冷饮	喝什么冷饮好呢？选择困难症？就把问题抛给万能的饮料机吧~	46c387
29	神秘对话	多逛逛吧，听听垃圾桶和雕像的小秘密~	917bc6
30	漫花清夏	花园虽好，记得带上你的驱蚊水。	549bd2
31	自由演奏	一架保存完好的钢琴，可以自由演奏任何曲目	917bc6
32	花海	无人问津的废墟，在某人的照料下，竟然开出来一片美得动人心魄的蓝紫色花海。	549bd2
33	鲸律星屿	鲸鱼的低吟，漂浮的岛屿，多逛逛吧。	917bc6
34	星空	漫天的星辰，空中的游鱼，愿指挥今晚有个好梦。	46c387
35	梦境	此间景色，唯梦中可见。	919191
