Id	MonsterId	Num	Level	FightEventIds	Desc
11100	90150	1	122	[779785]	液压，1-1
11101	90160	1	192	[779784]	哨戒机炮，1-1
11110	90350	1	198	[779789]	消防卫士！，1-1
11200	90150	1	122	[779811]	液压，1-2
11201	90160	1	192	[779789]	哨戒机炮，1-2
11202	90090	1	226	[779812]	地面监视器，1-2
11203	90090	1	226	[779812]	地面监视器，1-2
11210	90350	1	198	[779808]	消防卫士，1-2
11300	90760	1	298	[779787]	长耳兔，1-3
11301	91750	1	162	[779792]	雪鸮，1-3
11302	90150	1	122	[779789]	液压，1-3
11303	90090	1	226	[779808]	蛸，1-3
11304	90190	1	184	[779808]	守护者，1-3
11310	90340	1	138	[779792]	禁卫！，1-3
11400	90100	1	164	[779788]	空中监视器，1-4
11401	90150	1	122	[779789]	液压，1-4
11402	90130	1	140	[779790]	驯兽师，1-4
11403	93182	1	138	[779790]	Nalasr，1-4
11410	90360	1	196	[779806]	分解者，1-4
11411	90440	1	258	[779806]	自律警卫，1-4
21100	90850	1	334	[779811]	株，1-1
21101	93182	1	226	[779785]	Nalasr，1-1
21102	90190	1	302	[779805]	守护者，1-1
21110	90330	1	328	[779812]	信使！，1-1
21200	93223	1	316	[779825]	Deporter，1-2
21201	90090	1	372	[779805]	蛸，1-2
21202	93192	1	364	[779784]	Heal，1-2
21203	90850	1	334	[779811]	株，1-2
21210	90340	1	226	[779811]	禁卫！，1-2
21300	90760	1	488	[779806]	长耳兔.1-3
21301	91750	1	268	[779790]	雪鸮，1-3
21302	90150	1	200	[779811]	液压，1-3
21303	90160	1	316	[779789]	哨戒机炮，1-3
21304	90090	1	372	[779812]	蛸，1-3
21305	90190	1	302	[779812]	守护者，1-3
21310	90410	1	528	[779792]	酸液工蚁，1-3
21400	90130	1	230	[779782]	驯兽师，1-4
21401	93182	1	226	[779784]	Nalasr，1-4
21402	93223	1	316	[779789]	Deporter，1-4
21403	91750	1	268	[779790]	雪鸮，1-4
21410	90390	1	254	[779807]	重型收割机，1-4
22100	90710	1	288	[779805]	凯西，2-1
22101	90730	1	288	[779805]	白先生，2-1
22102	90720	1	222	[779785]	马天尼，2-1
22110	90990	1	436	[779807]	先锋冲浪，2-1
22200	90770	1	316	[779790]	乌贼，2-2
22201	90970	1	296	[779805]	医疗机，2-2
22202	90760	1	488	[779808]	长耳兔，2-2
22210	90750	1	466	[779812]	空7，2-2
22300	90460	1	316	[779808]	潜伏者，2-3
22301	93010	1	904	[779806]	洁霸，2-3
22302	90720	1	222	[779784]	马天尼，2-3
22303	90760	1	390	[779806]	长耳兔，2-3
22310	90950	1	302	[779812]	构解囚徒，2-3
22400	93020	1	316	[779789]	SSG，2-4
22401	93010	1	904	[779806]	洁霸，2-4
22402	90750	1	466	[779788]	空7，2-4
22403	90770	1	316	[779792]	乌贼，2-4
22404	90970	1	296	[779812]	医疗机，2-4
22410	90980	1	426	[779788]	警长，2-4
31100	90490	1	620	[779825]	异聚空监视器，1-1
31101	90620	1	1342	[779792]	火力单元，1-1
31102	90600	1	1344	[779792]	分解单元，1-1
31110	90630	1	502	[779812]	异合勘探！，1-1
31200	90480	1	406	[779826]	异聚机炮，1-2
31201	90610	1	446	[779811]	修复单元，1-2
31202	90620	1	1342	[779792]	火力单元，1-2
31203	90470	1	512	[779802]	异聚液压，1-2
31210	90630	1	502	[779812]	异合勘探，1-2
31300	90860	1	704	[779790]	波普尔，1-3
31301	90490	1	620	[779789]	异聚空监视器，1-3
31302	90480	1	406	[779811]	异聚机炮，1-3
31303	90090	1	474	[779825]	地面监视器，1-3
31304	90490	1	620	[779789]	异聚空监视器，1-3
31310	90870	1	474	[779782]	贝斯！，1-3
31400	90960	1	370	[779825]	贝雅，1-4
31401	90890	1	982	[779808]	感染构造体，1-4
31402	90970	1	376	[779825]	医疗机，1-4
31410	90980	1	542	[779807]	PK43警长，1-4
32100	90730	1	366	[779803]	白先生，2-1
32101	90710	1	366	[779803]	凯西，2-1
32102	90720	1	282	[779817]	马天尼，2-1
