Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId	Percent	RewardId	MailId
537	首轮挑战Ⅰ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征5次	95200			
538	首轮挑战Ⅱ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征10次	95201			
539	首轮挑战Ⅲ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征15次	95202			
540	首轮挑战Ⅳ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征20次	95203			
541	首轮挑战Ⅴ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征25次	95204			
542	次轮挑战Ⅰ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征5次	95205			
543	次轮挑战Ⅱ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征10次	95206			
544	次轮挑战Ⅲ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征15次	95207			
545	次轮挑战Ⅳ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征20次	95208			
546	次轮挑战Ⅴ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征25次	95209			
547	三轮挑战Ⅰ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征5次	95210			
548	三轮挑战Ⅱ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征10次	95211			
549	三轮挑战Ⅲ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征15次	95212			
550	三轮挑战Ⅳ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征20次	95213			
551	三轮挑战Ⅴ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计挑战众志行征25次	95214			
552	首轮积分Ⅰ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得2000行征积分	95215			
553	首轮积分Ⅱ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得4000行征积分	95216			
554	首轮积分Ⅲ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得6000行征积分	95217			
555	首轮积分Ⅳ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得8000行征积分	95218			
556	首轮积分Ⅴ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得10000行征积分	95219			
557	首轮积分Ⅵ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得12000行征积分	95220			
558	次轮积分Ⅰ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得2000行征积分	95221			
559	次轮积分Ⅱ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得4000行征积分	95222			
560	次轮积分Ⅲ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得6000行征积分	95223			
561	次轮积分Ⅳ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得8000行征积分	95224			
562	次轮积分Ⅴ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得10000行征积分	95225			
563	次轮积分Ⅵ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得12000行征积分	95226			
564	三轮积分Ⅰ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得2000行征积分	95227			
565	三轮积分Ⅱ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得4000行征积分	95228			
566	三轮积分Ⅲ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得6000行征积分	95229			
567	三轮积分Ⅳ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得8000行征积分	95230			
568	三轮积分Ⅴ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得10000行征积分	95231			
569	三轮积分Ⅵ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累积获得12000行征积分	95232			
570	关口突破Ⅰ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计击破1个关口	95233			
571	关口突破Ⅱ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计击破3个关口	95234			
572	关口突破Ⅰ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计击破1个关口	95235			
573	关口突破Ⅱ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计击破3个关口	95236			
574	关口突破Ⅰ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计击破1个关口	95237			
575	关口突破Ⅱ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计击破3个关口	95238			
576	封锁突破Ⅰ-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计突破1个孤崖关塞	95239			
577	封锁突破Ⅰ-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计突破1个孤崖关塞	95240			
578	封锁突破Ⅰ-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	累计突破1个孤崖关塞	95241			
