Id	Type	IsInit	Name	ImgSrc	LockDesc	ConvertItemId	ConvertItemCount	Description	WorldDesc	Effect	Priority	LimitType	TimeId	ShowTimeStr	Duration	IsRepetition	GroupId	Quality	Expire
9000001	1	1	灰鸦	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer01.png	默认头像	1	10000	玩家头像	默认头像之一。		1							4	
9000002	1	1	修理机工	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer02.png	默认头像	1	10000	玩家头像	默认头像之一。		2							4	
9000003	1	1	铭牌	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer03.png	默认头像	1	10000	玩家头像	默认头像之一。		3							4	
9010101	1		头像-红莲	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiya5.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		4							4	
9010102	1		头像-黎明	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiya5S.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		5							4	
9010103	1		头像-深红之渊	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiyaaerfa5SS.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		6							4	
9010104	1		头像-鸦羽	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR4Luxiya5.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		7							4	
9010201	1		头像-蚀暗	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		8							4	
9010202	1		头像-流光	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5S.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		9							4	
9010203	1		头像-仰光	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5SS.png	构造体终阶解放可获得	1	10000	玩家头像	经历无数战斗和成长之后，构造体完成终阶解放的姿态。		10							4	
