Id	Difficulty	ChapterId	StageId	StarsCnt	LinkId	LinkSkill	AffixIcon	AffixDesc	Icon
1	1	1	30163101	1			['Assets/Product/Texture/Image/IconPetSkill/Pet3DolphinSkillzhudong05.png']	['焚烧教学关卡']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg01.png
2	1	1	30163102	1		8	['Assets/Product/Texture/Image/IconPetSkill/Pet3DolphinSkillzhudong05.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconRuodian2.png']	['link教学关卡', '<color=#0D70BC>沼泽地板</color>：踩在上面会被污染信号球，使用火球or熔岩地板移除']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg02.png
3	1	1	30163103	1		5	['Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png']	['<color=#0D70BC>自爆液压</color>：死亡后自爆，被炸中可污染信号球']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg03.png
4	1	1	30163104	1			['Assets/Product/Texture/Image/IconAffix/AffixIconGangti2.png', 'Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png']	['<color=#0D70BC>藤甲</color>：触发焚烧破除，存在<color=#0D70BC>藤甲</color>时，怪物受伤降低且污染信号球', '<color=#0D70BC>自爆液压</color>：死亡后自爆，被炸中可污染信号球']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg04.png
5	1	1	30163105	1		4	['Assets/Product/Texture/Image/IconAffix/AffixIconGangti2.png', 'Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png']	['<color=#0D70BC>藤甲</color>：触发焚烧破除，存在<color=#0D70BC>藤甲</color>时，怪物受伤降低且污染信号球', '<color=#0D70BC>自爆液压</color>：死亡后自爆，被炸中可污染信号球']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg05.png
6	1	1	30163106	1		6	['Assets/Product/Texture/Image/RoleCharacter/XiguaNormal01.png']	['<color=#0D70BC>重装西瓜</color>：成群出现，被焚烧5s后死亡']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg06.png
7	1	1	30163107	3			['Assets/Product/Texture/Image/IconAffix/AffixIconGangti2.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconRuodian2.png']	['<color=#0D70BC>藤甲</color>：焚烧破除，存在<color=#0D70BC>藤甲</color>时，怪物受伤降低且可污染信号球', '<color=#0D70BC>沼泽地板</color>：踩在上面会被污染信号球，使用火球or熔岩地板移除']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg07.png
8	2	2	30163108	3		7	['Assets/Product/Texture/Image/IconAffix/AffixIconRuodian2.png', 'Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png']	['<color=#0D70BC>沼泽地板</color>：踩在上面会被污染信号球，使用火球or熔岩地板移除', '<color=#0D70BC>自爆液压</color>：死亡后自爆，被炸中可污染信号球']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg08.png
9	2	2	30163109	3			['Assets/Product/Texture/Image/RoleCharacter/XiguaNormal01.png', 'Assets/Product/Texture/Image/RoleCharacter/Mb1BraveMd010011.png']	['<color=#0D70BC>重装西瓜</color>：成群出现，被焚烧5s后死亡', '<color=#0D70BC>合成大西瓜</color>：击破20只小西瓜会出现大西瓜。。']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg09.png
10	2	2	30163110	3			['Assets/Product/Texture/Image/RoleCharacter/QuNormal02.png']	['<color=#0D70BC>深河主宰</color>：黄金时代掌握<color=#0D70BC>沼泽地板</color>、<color=#0D70BC>藤甲</color>的神']	Assets/Product/Texture/Image/UiLinkCraftActivity/UiLinkCraftActivityStageImg10.png
