Id	Name	Desc	Title	EventType	ActiveConditionId	Mutex	EffectId	SubEventId	SubConditionId	AutoPopup	ForceFinish
1	记录完毕	开始这段旅程		2							
2	记录完毕	我会记得的		2							
3	记录完毕	这里没有什么能做的了		2							
4	记录完毕	一切都会好起来的		2							
5	记录完毕	将消息传回营地		2							
100	清理废墟	安全区里有几座废墟，其中好像还有些能用得上的资源；清理出来的空间，也可以加以利用。或许可以安排一些人去整理一下。		1				[2]	[0]		
101	医疗资源	正常运转的医疗站，可以为营地提供药物支持。建立一个医疗站，安排拾荒者进行工作，以获得稳定的药物收入。		1				[2]	[0]		
102	食物补给	虽然条件有限，但，如果可以建立起补给站，并安排人进行工作的话，营地就可以有比较稳定的食物来源了。		1				[2]	[0]		
103	建立哨站	每建造一个哨站，可以组建一支探索小队。您最多可以拥有两支探索小队，在外面的世界进行探索。		1				[2]	[0]		
10100	立足点	与同伴商议后，我们决定把这座经过漫长跋涉后发现的城市当做立足点，希望大家能一起熬过去……		1		True		[1]	[0]	True	True
10101	发现哨站	在卡尔的建议下，我们把城市里那座废弃的前哨站清理了出来。我们在那发现了些还能用的武器和防护服，虽然数量不多，但好歹能派点人用这些装备去之前不敢探索的地方了。		1		True		[2]	[0]		True
10102	雪中送炭	一位自称是“交换商”的男人拜托我们收留他救下的几名拾荒者，看到对方的伤势后我接受了他的提案。当我安顿好这些新成员后，那位交换商送给了我们不少物资，然后立刻启程前往了下一座城市。		1				[10103]	[0]		True
10103	记录完毕	增加 5 位新成员，获得 20 药物、 20 食物		2			[10109, 10110]				
10104	不友善的邻居	营地附近有一群先我们到来的拾荒者在活动。他们似乎对我们在这里扎营感到不满，频繁地找我们麻烦。我担心这样下去总会出事，也许还是做好准备比较好。		1				[2]	[0]	True	True
10105	争执	初来乍到的我们与之前就生活在附近的拾荒者发生了冲突，在我赶到现场前双方就已经打了起来。不少人在冲突中受了伤，我感到焦躁的气氛正在营地中蔓延。		1				[10106]	[0]		True
10106	记录完毕	拾荒者健康值下降 8 、饱腹值下降 8 （可能有拾荒者死亡）		2			[10111]				
10107	气温回暖	最近几天天气不错。西边城区的建设工作基本完成，原本驻扎在附近的拾荒者也启程离开了。希望这不是入冬前最后的回暖。		1				[2]	[0]	True	True
10108	站稳脚跟	临时营地基本上搭好了，虽然发生了不少事但刚在此站稳脚跟的现在可以没时间缅怀过去，为了让更多人活下去，我们要走的路还很长。		1				[4]	[0]	True	True
10109	坍塌	今天工作的过程中发生了坍塌事故，大家或多或少都负了伤，为了让伤者快速恢复，我决定提升接下来几天他们的食物配给，但即使这样，短时间内还是无法改变大家低迷的状态。		1				[10106]	[0]		True
10110	冲突	我们又一次和附近的拾荒者爆发了冲突。等我赶到时，现场只剩下一地狼藉，和不同程度受伤的人们。		1				[10106]	[0]		True
10200	雪上加霜	我们姑且在这站稳了脚跟，但情况仍不太乐观，但愿这个冬天不要太过漫长。		1				[1]	[0]	True	True
10201	物资援助	我们又遇到了那位自称“交换商”的男人，他给我们带来了些物资援助，虽然数量不多，但总比没有强。		1				[10202]	[0]	True	True
10202	记录完毕	收到 25 药物和 25 食物		2			[10207]				
10203	冬日工作	为了在这里生存，我们不得不在寒风里继续工作，因此我和同伴决定每天给人们分发更多的物资来安抚大家的情绪。		1				[10204]	[0]	True	True
10204	记录完毕	失去 5 药物、 5 食物		2			[10208]				
10205	冬日工作	为了在这里生存，我们不得不在寒风里继续工作，因此我和同伴决定每天给人们分发更多的物资来安抚大家的情绪。		1				[10206]	[0]	True	True
10206	记录完毕	失去 10 药物、 10 食物		2			[10209]				
10207	冬日工作	为了在这里生存，我们不得不在寒风里继续工作，因此我和同伴决定每天给人们分发更多的物资来安抚大家的情绪。		1				[10208]	[0]	True	True
10208	记录完毕	失去 15 药物、 15 食物		2			[10210]				
10209	迎接节日	马上就要迎来冬天的节日了，为此我和同伴们捡回来些已经无法使用的电器，至少作为提升节日氛围的摆件来说还算不错。		1		True		[10210]	[0]	True	True
10210	记录完毕	一切都会好起来的		2							
10211	归家之路-请求	一个自称齐格纳的拾荒者出现在我们这，说在进入这座城市的时候和他的伙伴失散了。他受了伤，行动不便，恳请我们替他到河滩的营地去寻找同伴的线索。		1		True		[10212, 10213]	[0, 0]		True
10212	同意他的请求	得到【乱石河滩】位置		2			[10212]				
10213	拒绝他的请求	齐格纳将会离去		2							
10214	归家之路-询问	齐格纳问我们是否已经得到了他伙伴们的消息。		1	[10214]	True		[10215, 10216]	[0, 0]		True
10215	肯定的回答	为他指出农场的方向		2				[10217]	[0]		
10216	否定的回答	隐瞒营地中录音的信息		2				[10219]	[0]		
10217	归家之路-奔赴	齐格纳听了我们的话，激动得脸都红了。他郑重地向我们道谢后就把身上的物资全都塞给了我们，然后往郊外农场的方向疾奔而去。		1		True		[10218]	[0]	True	True
10218	收下赠礼	收到 50 木材、50 钢材		2			[10218]				
10219	归家之路-沉默	我们骗他说没找到同伴，他眼里的火熄灭了片刻。最终他还是向我们道了谢，把身上为数不多的物资送给我们，表示如果找到了和他同伴有关的信息，务必要告诉他。		1		True		[10220]	[0]	True	True
10220	收下赠礼	收到 50 木材、50 钢材		2			[10220]				
10221	归家之路-余音	一群流浪的拾荒者敲响了营地的门。他们自称是受齐格纳的托付，要将农场剩余物资送给我们，当作我们帮忙找到同伴的谢礼。当我问到齐格纳现在何处时，拾荒者说他自杀了，因为这是唯一能让他和伙伴们团聚的办法。		1	[10221]	True		[10222]	[0]		True
10222	记录完毕	收到 50 木材、50 钢材		2			[10222]				
10223	归家之路-回声	在许久没有得到同伴的消息之后，齐格纳终于决定先加入我们。他仍未放弃去寻找同伴，坚信大家都还好好活着。只要怀抱着这样的希望，他就有了活下去的勇气。		1	[10223]	True		[10224]	[0]		True
10224	记录完毕	增加 1 位新成员		2			[10224]				
10300	圣诞节	最近杰克总是手舞足蹈地喊着“圣诞节，圣诞节，圣诞节。”他说一定要修好城中的通讯设备，好在圣诞节的时候能让所有人欣赏到圣诞歌。为了不让同伴们继续沉浸在悲伤里，我同意了杰克的提议，不知道有没有其他我能帮到他的。		1		True		[1]	[0]	True	True
10301	小型流感	最近咳嗽的人越来越多了——这可能是某种小型的流感，问题虽然不大，但还是在消磨着人们的精神。		1				[10302]	[0]		True
10302	记录完毕	拾荒者健康值下降 25 ，饱腹值下降 25（可能有拾荒者死亡）		2			[10309]				
10303	未知疾病	一种未知的疾病在营地中传播开来。许多人开始头痛腹泻，医疗站被围得水泄不通。人们的健康和饮食状况都在持续恶化，我们必须做点什么。		1				[10304]	[0]		True
10304	记录完毕	拾荒者健康值下降 30 ，饱腹值下降 30（可能有拾荒者死亡）		2			[10310]				
10305	无名家书	为了缅怀逝去的亲人，小部分人组成了“家书会”，写完信后将它们统一烧给已逝之人。火光映照着泪水在人们脸上刻下的亮银痕迹，越来越多的同伴加入了这个组织，我无法阻止，因为思念是人之常情，直到现在我也偶尔会在傍晚惊醒，想起爱丽临死前的脸……		1				[10306]	[0]		True
10306	记录完毕	一切都会好起来的		2							
10307	无名家书-2	意外来得很突然，在又一次活动中，焚信的火焰点燃了附近的木堆，火势很快蔓延开去。不少人在火灾中受了伤，在这样寒冷的冬季这可不是个好消息。		1				[10308]	[0]		True
10308	记录完毕	拾荒者健康值下降 35 ，饱腹值下降 35（可能有拾荒者死亡）		2			[10311]				
10309	调试	杰克兴奋地说他快要修好通讯设备了，不出意外能在节前完成，如果真如他所说一样顺利的话，那应该能稍微振奋一下人心。		1		True		[10310]	[0]	True	True
10310	记录完毕	一切都会好起来的		2							
10311	父亲	我们遇到了一位受伤的拾荒者，他说自己为了给生病的孩子找药而独自外出，虽然找到了药物，但归路却被敌人阻隔，希望我们能和他一起去河边营地寻找他的孩子。		1		True		[10312, 10313]	[0, 0]		True
10312	我会尽力	得到【河边营地】位置		2			[10312]				
10313	拒绝请求	我们没有余力提供帮助		2				[10314]	[0]		
10314	父亲	那位父亲像是早就料到我们会拒绝，又或者他只是习惯了被拒绝。听到我们的答复，他只是简单地道了谢就蹒跚着离开了。或许他会去敲其他人的门，或许他会独自拖着重伤的身躯迎接敌人的枪口。但不论他做出何种选择，我们只能祝福他，此外别无他法。		1		True		[10315]	[0]		True
10315	记录完毕	我们别无选择		2							
10316	父亲-询问	我让那位父亲留在原地养伤，带着同伴侦查完河边营地返回后发现他还是和我们出发时一样眼巴巴地望着河边营地的方向。见到我们回来，他蹒跚着迎上来，询问自己孩子伊的情况。		1	[10316]	True		[10317, 10318]	[0, 0]		True
10317	善意地欺骗	不告诉这位父亲真实的情况		2				[10319]	[0]		
10318	诚实地回答	告诉这位父亲他的孩子可能已经死了		2				[10325]	[0]		
10319	父亲-白色谎言	那位父亲注视了我一会儿，在我怀疑自己的语气是否不够坚定时他才像是认命一般说了声“我知道了，谢谢你”。或许他已经听出我不过是在安慰他，或许没有，他真正的想法，我们已无从得知了。		1		True		[10320]	[0]	True	True
10320	记录完毕	我们尽力了		2							
10321	父亲-两颗子弹	那位父亲不见了。我们只找到了这样一份留言：“我原先有一把枪，枪里有两颗子弹，我一直留着。后来我不小心用了一颗，于是一直不敢面对我只剩一颗子弹的现实。现在看来，一颗子弹其实正好够用。谢谢你，好心的人。我在西南方向的果林藏了一些物资，希望可以帮到你们。”		1	[10321]	True		[10322]	[0]		True
10322	记录完毕	得到【“果林”】的位置		2			[10322]				
10323	父亲-秘密	孩子醒了。他礼貌地说自己叫伊，询问我们是否可以帮他寻找父亲，我知道，他的口音和其父亲别无二致，这让我更加不知道该如何回答他。我想起了不知道从哪听过的一句话，“万物的存在相较人的历史更为悠长，它们在此低吟着秘密。”		1	[10323]	True		[10324]	[0]		True
10324	记录完毕	我们尽力了		2							
10325	父亲-蛛丝	那位父亲沉默了很久，久到让人怀疑他是否已经没有意识了，最终他艰难地再次开口，请求我们继续寻找他的孩子，他说西南方向有一片果林，伊还很小的时候，最喜欢到那里去。那里有他埋的资源，我们可以全都拿去。唯一的条件就只有帮他找到他最重要的孩子——伊。		1		True		[10326]	[0]	True	True
10326	我会尽力	得到【“果林”】的位置		2			[10326]				
10327	父亲-团聚	孩子醒了。那位父亲也终于松了口气，紧紧把孩子抱在怀里，亲了又亲。这是灾难发生后为数不多的团圆的时刻。尽管我们多次挽留，这对父子仍然决定在伊略微好转一些后就离开我们的营地。为表感谢，他们给我们留下了部分物资。		1	[10327]	True		[10328]	[0]		True
10328	记录完毕	收下 75 木材、75 钢材		2			[10328]				
10400	一线生机	杰克修复通讯设备的进度比预想还要快，似乎一切都在向着好的方向发展。		1		True		[1]	[0]	True	True
10401	求生者-1	一批拾荒者在今早抵达了我们的城市。他们带着不少物资，状态看起来还不错。据领头的人说，他们的另一批同伴离得不远，很快也会到达。最近的天气越来越差了，他们希望我们能收留一下他们。		1				[10402]	[0]	True	True
10402	记录完毕	增加 5 位新成员		2			[10410]				
10403	求生者-2	第二批拾荒者也抵达了。他们在半路遭遇了感染体袭击，不得不放弃了大部分携带的物资。所幸他们的健康状态还算不错，只要照顾得当，很快就能恢复。		1				[10404]	[0]	True	True
10404	记录完毕	增加 5 位新成员		2			[10410]				
10405	意外	……原本应该在今天到达的幸存者没有出现。第一批拾荒者外出找了很久也一无所获，现在我们只能祈祷他们是暂时迷路，而不是遭遇了更严重的意外。		1				[10406]	[0]	True	True
10406	记录完毕	没有什么能做的了		2							
10407	求生者-3	第三批拾荒者终于在昨天深夜抵达了。他们不仅受了很严重的伤，还丢失了所有物资。他们遇到了一群武装拾荒者，我能理解每个人都想活下去，但如今我们真的还有余裕内耗吗？		1				[10408]	[0]	True	True
10408	记录完毕	增加 5 位新成员		2			[10410]				
10409	袭击	昨天夜里有感染体袭击了我们的营地，随着人数的增加这种袭击最近变得越发频繁。好在这次只是损失了点物资，没出现人员伤亡，算是不幸中的万幸了。		1				[10410]	[0]	True	True
10410	记录完毕	失去 xx 木材		2							
10411	求生者-4	那批拾荒者最后的一波同伴抵达了。这里顿时显得有些拥挤起来，短暂的安置之后，工作和生活还是照旧进行着。		1				[10412]	[0]	True	True
10412	记录完毕	增加 5 位新成员		2			[10410]				
