Id	Name	TimeId	SimpleStageId	DiffcultStageId	Icon
1011	幕后试演-1	39101		3011	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT01.png
1012	幕后试演-2	39101		3012	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT02.png
1013	幕后试演-3	39101		3013	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT03.png
1014	幕后试演-4	39101		3014	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT04.png
2011	合作协奏-1	39102		3021	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT05.png
2012	合作协奏-2	39102		3022	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT06.png
2013	合作协奏-3	39102		3023	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT07.png
2014	合作协奏-4	39102		3024	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT08.png
3011	开场热唱-1	39103		3031	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT09.png
3012	开场热唱-2	39103		3032	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT10.png
3013	开场热唱-3	39103		3033	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT11.png
3014	开场热唱-4	39103		3034	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiGkT12.png
