Id	Type	PreStageId	TimeId	Name	Desc	ShowCharacterId	DispelRule	BoardShowGroupId	InitializeId	BoardId	Steps	EntranceEmojiIcon	BuffIds	Scores	RewardIds	StarDescs	InitBuffCharge
1	1			第1关	认识消除方块和基本规则	1131004		1	1	1	30	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[30, 80, 100]	[66240, 66240, 66240]	['获得30分', '获得80分', '获得100分']	
2	1	1		第2关	难度提升	1131004		2	1	2	50	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[50, 120, 200]	[66240, 66240, 66240]	['获得50分', '获得120分', '获得200分']	
3	1	2		第3关	认识传送方块	1131004		3	1	3	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 180, 250]	[66240, 66240, 66240]	['获得100分', '获得180分', '获得250分']	
4	1	3		第4关	认识星星方块	1131004		4	1	4	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 250, 400]	[66240, 66240, 66240]	['获得100分', '获得250分', '获得400分']	
5	2	4		第5关	无尽关	1131004		5	1	5	999	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 400, 700]	[66240, 66240, 66240]	['获得100分', '获得400分', '获得700分']	
6	1	5		第6关	认识翻倍方块，参与合成后可以让上下左右的方块翻倍	1131004		1	1	1	30	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[30, 80, 100]	[66240, 66240, 66240]	['获得30分', '获得80分', '获得100分']	
7	1	6		第7关	难度提升	1131004		2	1	2	50	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[50, 120, 200]	[66240, 66240, 66240]	['获得50分', '获得120分', '获得200分']	
8	1	7		第8关	认识传导方块，当上下左右被翻倍时，传导方块自身也翻倍。	1131004		3	1	3	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 180, 250]	[66240, 66240, 66240]	['获得100分', '获得180分', '获得250分']	
9	1	8		第9关	难度提升	1131004		4	1	4	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 250, 400]	[66240, 66240, 66240]	['获得100分', '获得250分', '获得400分']	
10	2	9		第10关	无尽关	1131004		5	1	5	999	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 400, 700]	[66240, 66240, 66240]	['获得100分', '获得400分', '获得700分']	
11	1	10		第11关	认识加时方块，合成n次可以在下次升级时加n步强化步数	1131004		1	1	1	30	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[30, 80, 100]	[66240, 66240, 66240]	['获得30分', '获得80分', '获得100分']	
