Id	Type	Quality	Name	Desc	Value	Icon	CanDelete	CanDie	Priority	SkillId	Tag	ValueUponDeletion	BondId	CanUseForBond	DefaultLevel	CanUpgrade	CanBeEliminated	TriggerState	StateConditionId	StateSkillId
99999	99		删除币	['造型奇特的硬币，可以在背包里<color=#0f70bc>删除</color>指定<color=#0f70bc>棋子</color>。']		Assets/Product/Texture/Image/UiLuckyTenant/Chess99998.png														
99998	98		刷新币	['造型奇特的硬币，可以在补棋阶段<color=#0f70bc>刷新棋子</color>组。']		Assets/Product/Texture/Image/UiLuckyTenant/Chess99999.png														
1	6	1	金币	['不愧是万物快乐之源。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess000.png	1	1	10			2					1	[6]		
2	7	1	赤bug	['不知不觉间会侵蚀一切的小玩意。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess001.png	1	1	10			2					1			[202, 208, 210]
3	2	3	4级武器碎片	['要变得更强吗？我指武器。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess003.png	1		10						4			[3]		
4	2	4	6级武器碎片	['收集碎片，重铸锋刃。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess003.png	1		10						6			[3]		
5	6	2	绿钞	['多么朝气蓬勃的道具啊。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess051.png	1	1	10		['1']	2	1	1			1	[1, 209]		[102]
6	6	2	纪念电子货币	['已经忘了纪念之物是何等存在……']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess051.png	1	1	10		['1']	1	1	1			1	[1, 209]		[102]
7	6	3	理事招待劵	['该劵唯一发行商：涅缇娅小姐。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess051.png	1	1	10		['1']	2	1	1			1	[1, 209]		[102]
8	6	3	典雅电子货币	['命名有误，有用就行。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess050.png	1	1	10		['1']	3	1	1			1	[1, 209]		[102]
9	6	4	黑卡	['总是会莫名消失……']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess057.png	1	1	10		['1']	6	1	1			1	[1, 209]		[102]
10	6	5	虹卡	['硬通货。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess058.png	1	1	10		['1']	12	1	1			1	[1, 209]		[102]
11	1	2	大头	['呵，冷酷战士登场。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess009.png	1	1	10		['2']	1	2	2			1			[209]
12	1	2	无面	['正在进行虔诚但无用的祷告。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess017.png	1	1	10		['2']	1	2	2			1			[209]
13	1	2	红眼	['小心，它要变异喽。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess017.png	1	1	10		['2']	2	2	2			1			[209]
14	1	2	阿壳	['平平无奇的凑数单位。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess008.png	1	1	10		['2']	1	2	2			1			[209]
15	1	3	蔷薇之剑	['看起来花和剑一样都未携带。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess011.png	1	1	10		['2']	3	2	2			1			[209]
16	1	3	斗笠生物	['难以名状之物，斗笠才是本体。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess011.png	1	1	10		['2']	2	2	2			1			[209]
17	1	3	阿花	['绚烂，但不失丑陋，并且有毒。']	3	Assets/Product/Texture/Image/UiLuckyTenant/Chess012.png	1	1	10		['2']	1	2	2			1			[209]
18	1	4	阿光	['别摆姿势，要打快打。']	3	Assets/Product/Texture/Image/UiLuckyTenant/Chess014.png	1	1	10		['2']	5	2	2			1			[209]
19	1	4	鲨士碧儿	['吉祥物，挨打后只会螺旋转圈呦。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess013.png	1	1	10		['2']	4	2	2			1			[209]
20	1	4	极地熊	['似是误入战场的临时搬运工……']	5	Assets/Product/Texture/Image/UiLuckyTenant/Chess013.png	1	1	10		['2']	3	2	2			1			[209]
21	1	5	华胥	['就此破碎吧，华梦包裹的乐土。']	7	Assets/Product/Texture/Image/UiLuckyTenant/Chess026.png	1	1	10		['2']	9	2	2			1			[209]
22	1	5	聚合母体	['灾厄温床，就此终结也好。']	9	Assets/Product/Texture/Image/UiLuckyTenant/Chess015.png	1	1	10		['2']	7	2	2			1			[209]
23	3	2	苏菲亚	['暂且成为我的锋刃吧，小修理工。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess037.png	1		10		['3']		3	3	1	1				[301]
24	3	2	常羽	['给他多多多多的金币好喽。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess034.png	1		10		['3']		3	3	1	1				[301]
25	3	2	诺克提	['头脑越简单，生活越愉快。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess020.png	1		10		['3']		3	3	1	1				[301]
26	3	3	布偶熊	['可爱，真的不可以抓熊耳朵嘛？']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess020.png	1		10		['3']		3	3	1	1				[301]
27	3	3	赛琳娜	['如午夜幽梦所织就的薄雾。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess043.png	1		10		['3']		3	3	1	1				[301]
28	3	3	曲	['快端来大人的王座！']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess041.png	1		10		['3']		3	3	1	1				[301]
29	3	3	里	['tag：靠谱']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess018.png	1		10		['3']		3	3	1	1				[301]
30	3	4	小梅	['好心小梅。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess018.png	1		10		['3']		3	3	1	1				[301]
31	3	4	露西亚	['今天我们要打哪个？']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess025.png	1		10		['3']		3	3	1	1				[301]
32	3	4	涅缇娅	['必要时，控局人也需以身入局。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess025.png	1		10		['3']		3	3	1	1				[301]
33	3	5	阿尔法	['今天我们要打哪个?+1']	8	Assets/Product/Texture/Image/UiLuckyTenant/Chess022.png	1		10		['3']		3	3	1	1				[301]
34	3	5	丽芙	['绵羊朵朵入梦来……']	8	Assets/Product/Texture/Image/UiLuckyTenant/Chess022.png	1		10		['3']		3	3	1	1				[301]
