Id	Name	NpcName	Icon	CardIcon	EffectDesc	EffectStrikeBack	LineLevel	LineLevelStart	LineRoundWin	LineRoundLose	LineRoundDraw	LineGameWin	LineGameLose	LineChangeSelfCard	LineChangePlayerCard	EmojiLevelStart	EmojiRoundWin	EmojiRoundLose	EmojiRoundDraw	EmojiGameWin	EmojiGameLose	EmojiChangeSelfCard	EmojiChangePlayerCard	EmojiStrikeBack	EmojiBoom	EmojiTrap
1	对局 1	西蒙	Assets/Product/Texture/Image/RoleStory/XimengNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardBack.png']	首先获取3分的一方取得胜利！		['稳健一些好了。']	['对方犹犹豫豫，应该会出求稳的牌。', '对方自信的样子，应该是出了一张大牌。', '对方看起来自信满满。', '对方小心翼翼的样子，应该是出了一张小牌。', '对方小心翼翼的样子，应该是出了一张小牌。']																		
2	对局 2	希卡	Assets/Product/Texture/Image/RoleStory/V131xkNormal02.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardBack.png']	首先获取3分的一方取得胜利！		['一口气拿下！']	['对方想要一口气拿下，应该先会出大牌。', '对方开始犹豫了。', '对方看起来非常紧张。', '对方胜券在握的样子，应该还是一张大牌。', '对方皱了一下眉头。']																		
3	对局 3	哈里乔	Assets/Product/Texture/Image/RoleStory/AoerjiaNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0b.png']	首先获取3分的一方取得胜利！\n皇冠A：大于红桃5，但小于其他的牌		['让二追三，绝地反击才有意思。']	['对方想要先让两局，应该会先出小牌。', '对方看起来胜券在握。', '对方似乎压到最后一张牌上了。', '对方的表情没有变化，应该还不会出大牌。', '对方依然是自信满满的样子。']																		
4	对局 4	艾伦	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0b.png']	首先获取3分的一方取得胜利！\n皇冠A：大于红桃5，但小于其他的牌		['我猜你开局就会出大牌。']	['对方冷笑一下，应该想用特殊牌。', '对方自信地出了一张牌。', '对方表现出了犹豫。', '对方略有一些紧张。', '对方看起来自信满满。']																		
5	对局 5	梅卡	Assets/Product/Texture/Image/RoleStory/YanjingzhainvNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3b.png']	首先获取3分的一方取得胜利！\n皇冠3：打出时，获胜可获得2分		['我获胜只需要两局！']	['对方的眼神神神秘秘，应该是出了一张特殊的牌。', '对方看起来很紧张。', '对方眉头紧皱。', '对方自信的笑了。', '对方的眼神很坚定。']																		
6	对局 6	亚哈	Assets/Product/Texture/Image/RoleStory/YahazhongnianNomal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3b.png']	首先获取3分的一方取得胜利！\n皇冠3：打出时，获胜可获得2分		['开头就先试探一把。']	['对方谨慎地出了一张牌。', '对方看起来略有犹豫。', '对方自信地打出了牌。', '对方自信地打出了牌。', '对方又谨慎了起来。']																		
7	对局 7	拉斯蒂	Assets/Product/Texture/Image/RoleStory/V132lsdNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3b.png']	首先获取3分的一方取得胜利！\n皇冠A：大于红桃5，但小于其他的牌\n皇冠3：打出时，获胜可获得2分		['先来个下马威，再一举拿下！']	['对方的脸上写满了自信。', '对方看起来自信满满。', '对方眉头紧皱。', '对方坏笑了起来。', '对方出牌时有点犹豫。']																		
8	对局 8	赛利卡	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3b.png']	首先获取3分的一方取得胜利！\n皇冠A：大于红桃5，但小于其他的牌\n皇冠3：打出时，获胜可获得2分		['惊喜要放在最后。']	['对方自信地打出了牌。', '对方的眼神看起来在期待着什么。', '对方依然满怀期待。', '对方依然是自信的样子。', '对方皱了一下眉头。']																		
9	对局 9	麦卡	Assets/Product/Texture/Image/RoleStory/V2100mkNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace5b.png']	首先获取3分的一方取得胜利！\n皇冠5：打出时，如果对方牌为红桃A，则直接取得对局胜利		['我会赌在幸运数字3上。']	['对方脸上没有过多表情。', '对方神秘地放下了一张牌。', '对方眉头紧皱。', '对方微笑了一下。', '对方眉头紧皱。']																		
10	对局 10	凡妮莎	Assets/Product/Texture/Image/RoleStory/V130fnsNormal02.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace5b.png']	首先获取3分的一方取得胜利！\n皇冠5：打出时，如果对方牌为红桃A，则直接取得对局胜利		['别在琢磨我的心思上下功夫了。']	['拼命猜我心思的模样，还真狼狈啊。', '拼命猜我心思的模样，还真狼狈啊。', '拼命猜我心思的模样，还真狼狈啊。', '让你一把！', '早就知道我会赢。']	['我赢了。']		['早就想到你要出这张牌！']	['又是你赢了。']	['让你一把！']													
11	对局 1	西蒙	Assets/Product/Texture/Image/RoleStory/XimengNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌		['开始对局吧。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
