Id	Name	RoundClear	MaxLayer	RoundClearLayer	Effects	IsShow	Icon	Desc	EffectType
1	刚体				[1000001, 1000002, 1000003, 1000004]	1	Assets/Product/Texture/Image/IconAffix/AffixIconGangti2.png	受到的伤害降低至1。玩家消球后，移除等同于消球点数之和的[刚体]层数。	1
2	嗜黄		1		[1000005]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconYellow.png	玩家三消<color=#FAD364FF>黄球</color>时，怪物获得[刚体]*10。<size=24><color=#FFFFFF2D><size=24><color=#FFFFFF2D>\n- [刚体]：受到的伤害降低至1。玩家消球后，移除等同于消球点数之和的[刚体]层数。</color></size>	1
3	嗜红		1		[1000006]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconRed.png	玩家三消<color=#CD2F30FF>红球</color>时，怪物获得[暴走]*1。<size=24><color=#FFFFFF2D><size=24><color=#FFFFFF2D>\n- [暴走]：可以叠加，造成伤害时，每层使伤害值+1。</color></size>	1
4	嗜蓝		1		[1000007]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconBlue.png	玩家三消<color=#59CCFFFF>蓝球</color>时，召唤1个自爆原虫。	1
5	脆弱				[1000008, 1000009]	1	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan2.png	受到的伤害增加50%，受伤后移除1层。	2
6	暴走				[1000010]	1	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou2.png	可以叠加，造成伤害时，每层使伤害值+1。	1
7	虚弱				[1000011, 1000012]	1	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	造成的伤害减少25%，造成伤害后移除1层。	2
8	倒数					1	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	行动时移除1层，层数为0时怪物自爆，对玩家造成10点伤害。	
9	苦旅Ⅰ		12		[1000020, 1000021]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P1.png	玩家每行动12次，怪物获得[刚体]*20。怪物受到单次伤害≥12时，重置行动计数。<size=24><color=#FFFFFF2D>\n- [刚体]：受到的伤害降低至1。玩家消球后，移除等同于消球点数之和的[刚体]层数。</color></size>	1
10	苦旅Ⅱ		12		[1000030, 1000031]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P2.png	玩家每行动12次，怪物获得[暴走]*1。怪物受到单次伤害≥12时，重置行动计数。<size=24><color=#FFFFFF2D>\n- [暴走]：可以叠加，造成伤害时，每层使伤害值+1。</color></size>	1
11	苦旅Ⅲ		12		[1000060, 1000061]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P3.png	玩家每行动12次，怪物获得[刚体]*20，并将两张【苦刑】牌加入抽牌堆。怪物受到单次伤害≥24时，重置行动计数。<size=24><color=#FFFFFF2D>\n-【苦刑】牌： <Icon=IconHeart|24|24/> K，获得1点行动点，抽到此牌时，指挥官受到3点伤害。消除后移出游戏。</color></size>	1
12	苦旅Ⅳ		12		[1000070, 1000071]	1	Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P4.png	玩家每行动12次，怪物获得[暴走]*1，并将两张【苦刑】牌加入抽牌堆。怪物受到单次伤害≥24时，重置行动计数。<size=24><color=#FFFFFF2D>\n-【苦刑】牌：<Icon=IconHeart|24|24/> K，获得1点行动点，抽到此牌时，指挥官受到3点伤害。消除后移出游戏。</color></size>	1
13	感染		1		[1000080]	1	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie2.png	阵亡后对指挥官施加[脆弱]*2。<size=24><color=#FFFFFF2D>\n- [脆弱]：受到的伤害增加50%，受伤后移除1层。</color></size>	
14	感染		1		[1000090]	1	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie2.png	阵亡后对指挥官施加[脆弱]*2。<size=24><color=#FFFFFF2D>\n- [脆弱]：受到的伤害增加50%，受伤后移除1层。</color></size>	
15	感染		1		[1000100]	1	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie2.png	阵亡后对指挥官施加[脆弱]*2。<size=24><color=#FFFFFF2D>\n- [脆弱]：受到的伤害增加50%，受伤后移除1层。</color></size>	
