Id	ChapterId	PreStage	MapId	Name	StageHint	BG	Prefab	LoseHint	NumberName	HintCost	AnswerCost	UseRoleId	ShadowId
1101	101		1101	循序渐进	如果眼前只有一条路，别犹豫，向前走	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-1	25	100	1	
1102	101	1101	1102	绕路而行	路见不平，绕路而行	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-2	25	100	1	
1103	101	1102	1103	如影随形	我，库洛洛的梦魇！	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-3	25	100	1	
1104	101	1103	1104	一杆进洞	把目标分别推到正确的位置，然后——一杆进洞	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-4	25	100	1	
1105	101	1104	1105	隐匿行踪	不要直接挑战看上去就很不妙的敌人	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-5	25	100	1	
1106	101	1105	1106	敌为我用	就算是你的敌人，也可以成为你的工具	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-6	25	100	1	
1107	101	1106	1107	数学高手	计算，算计，所谓计谋，无非是这些东西	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-7	25	100	1	
1108	101	1107	1108	搬运劳工	有时候，需要分几次才能将库洛洛搬到正确的位置	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-8	25	100	1	
1109	101	1108	1109	多重惊吓	吓我一跳！又吓我一跳！——库洛洛	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-9	25	100	1	
1110	101	1109	1110	盲区绕行	越是有规律的敌人，越容易找到破绽	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.1-10	25	100	1	
1201	102		1201	凝水为冰	寒霜凝结水面，绝路成为通途	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.2-1	25	100	2	
1202	102	1201	1202	吓我一跳	什么东西掉下去了？！	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.2-2	25	100	2	
1203	102	1202	1203	一箭双雕	天地良心，我什么都没有做！	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	['选对路线非常重要', '有时候绕远路反而更高效', '用尽回合数并不会导致失败，可以试着后退或重置']	Ep.2-3	25	100	2	
