Id	BankId	HelperId	Type	Chat	ChatReply	PreChatId	Weight	Question	RightAnswer	Answers	RightReply	WrongReply	HelperIcon	HelperName
11001101		1001	1	如我所料，你还是来了。									Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
11001102		1001	1	客套话就免了，直接进入提问环节吧。		11001101							Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
11001103		1001	1	放心，我计算过的，都是你能回答出来的问题。		11001102							Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001101	10011	1001	2				1000	1001题库1问题1	1	{1: '1001题库1问题1A', 2: '1001题库1问题1B', 3: '1001题库1问题1C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001102	10011	1001	2				2000	1001题库1问题2	2	{1: '1001题库1问题2A', 2: '1001题库1问题2B', 3: '1001题库1问题2C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001103	10011	1001	2				2000	1001题库1问题3	3	{1: '1001题库1问题3A', 2: '1001题库1问题3B', 3: '1001题库1问题3C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001201	10012	1001	2				1000	1001题库2问题1	1	{1: '1001题库2问题1A', 2: '1001题库2问题1B', 3: '1001题库2问题1C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001202	10012	1001	2				2000	1001题库2问题2	2	{1: '1001题库2问题2A', 2: '1001题库2问题2B', 3: '1001题库2问题2C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001203	10012	1001	2				2000	1001题库2问题3	3	{1: '1001题库2问题3A', 2: '1001题库2问题3B', 3: '1001题库2问题3C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
21001301	10013	1001	2				1000	1001题库3问题1	1	{1: '1001题库3问题1A', 2: '1001题库3问题1B', 3: '1001题库3问题1C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
