Id	Type	Overlying	TriggerCountLimit	Desc	Params	BubbleControllerId	PlayEffect
1001	2	True		恢复全队50%最大生命值	[2, 1, 0, 1, 5000]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1002	6	True		经过矿场时获得50金币	[2, 55]	3	
1003	3	True		矿场连携召唤怪物	[2, 2, 0]		
1004	2	True		永久增加全队3攻击力	[2, 1, 2, 2, 3]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1005	2	True		永久增加全队5生命值	[2, 1, 1, 2, 5]		
1006	3	True		矿场召唤1只怪物	[1, 3, 0]		
1007	2	True		射击馆临时增加全队35%暴击率	[2, 2, 4, 2, 2000]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1008	2	True		射击馆与训练场相邻临时增加全队30%暴击伤害	[2, 2, 5, 2, 3000]		Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1009	2	True		恢复全队8%最大生命值	[2, 1, 0, 1, 800]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1010	2	True		恢复全队8%最大生命值	[2, 1, 0, 1, 800]		
1011	8	True		抽取1个道具	[1]		
1012	6	True		额外抽道具扣50金币	[2, -50]		
1013	2	True		离子塔给范围内加攻速	[2, 2, 6, 2, 2800]		Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1014	6	True		离子塔连携扣50金币	[2, -50]		
1015	2	True		变异岩石与训练场相邻加3攻击力	[2, 2, 2, 2, 3]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1017	2	True		变异草地恢复1生命值	[2, 1, 0, 2, 1]		
1018	2	True		草地立即生效，生命值+1	[2, 2, 1, 2, 1]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1019	2	True		冰星岩石恢复1生命值	[2, 1, 0, 2, 1]		
1020	2	True		冰星岩石立即生效，生命值+1	[2, 2, 1, 2, 1]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1021	2	True		冰星冰面与训练场相邻加攻速	[2, 2, 6, 2, 100]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1022	2	True		沙星绿洲恢复1生命值	[2, 1, 0, 2, 1]		
1023	2	True		沙星绿洲立即生效，生命值+1	[2, 2, 1, 2, 1]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1024	2	True		沙星岩石与占卜馆连携加攻击	[2, 2, 2, 2, 3]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1025	2	True		火星岩浆恢复1生命值	[2, 1, 0, 2, 1]		
1026	2	True		火星岩浆立即生效，生命值+1	[2, 2, 1, 2, 1]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1027	2	True		火星结晶与射击馆连携加暴击率	[2, 2, 4, 2, 100]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1028	2	True		火星结晶与射击馆连携加暴击伤害	[2, 2, 5, 2, 100]		
1031	6	True		连携：杀怪给10金币	[2, 15]		Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
1032	2	True		射击馆临时增加全队25%暴击伤害	[2, 2, 5, 2, 2500]		
1033	2	True		红丝绒蛋糕，攻击+5，拆除后移除	[2, 2, 2, 2, 5]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1034	2	True		红丝绒蛋糕，生命+10，拆除后移除	[2, 2, 1, 2, 10]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
1035	6	True		杏仁蛋糕与矿场连携后，星矿+50	[2, 50]		Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
2001	2	True		每次杀敌减少全队2点当前生命值	[2, 1, 0, 2, -2]		
2002	2	True		每次杀敌永久增加全队1点攻击	[2, 1, 2, 2, 1]		
2003	4			瘴雾天气，添加基地事件，基地不回血	[503, 0, 3, 1]		
2004	2	True		瘴雾天气，基地不能回血，和基地回血量对冲	[2, 1, 0, 1, -5000]		
2005	2	True		每次获得道具增加全队20点攻击	[2, 1, 2, 2, 20]		
2006	2	True		每次获得道具增加全队10%爆伤	[2, 1, 5, 1, 1000]		
2007	2	True		每次获得道具增加全队5%生命	[2, 1, 1, 1, 500]		
2008	6		1	冰星主题，完成建造任务1后给100钱	[2, 100]	3	
2009	4		1	冰星主题，完成建造任务后添加个每圈加属性BUFF	[512, 0, 1, 1]		
2010	2	True		永久增加全队3攻击力	[2, 1, 2, 2, 5]		Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
2011	2	True		永久增加全队10生命值	[2, 1, 1, 2, 10]		
2020	2	True		沙星主题，每次获得道具增加全队5攻击	[2, 1, 2, 2, 5]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
2021	2	True		沙星主题，每次获得道具增加全队10生命	[2, 1, 1, 2, 10]		
2022	6	True		冰星主题2，获得道具给50金币	[2, 10]		
2030	6	True		火星主题1，每圈给200金币	[2, 200]		
2031	6	True		火星主题4，5，每圈给500金币	[2, 500]		
2100	6		1	冰星主题，完成建造任务2后给100钱	[2, 100]		
2101	6		1	冰星主题，完成建造任务3后给100钱	[2, 100]		
3024	4			冰星晴天，给怪添加爆金币事件	[1002, 0, 4]		
3025	6	True		冰星晴天，杀怪掉金币	[2, 20]		
3026	4			极寒天气，给矿场添加扣钱事件	[1005, 0, 3, 2]		
3027	4			极寒天气，给训练场添加扣钱事件	[1005, 0, 3, 3]		
3028	4			极寒天气，给射击馆添加扣钱事件	[1005, 0, 3, 4]		
3029	4			极寒天气，给酒吧添加扣钱事件	[1005, 0, 3, 5]		
3030	4			极寒天气，给离子塔添加扣钱事件	[1005, 0, 3, 7]		
3031	6			冰星极寒，建造扣钱999	[2, -999]	6	
3040	4			沙漠晴天，给占卜馆添加给道具事件	[1011, 0, 3, 6]		
3041	8	True		3040抽取1个道具	[1]		
3042	4			沙漠晴天，给基地添加给钱事件	[1031, 0, 3, 1]		
3043	6			沙漠晴天，基地经过给钱	[2, 200]		
3045	4			3-1沙尘暴，给流浪者加100%暴击率事件	[1013, 0, 5, 1]		
3046	4			3-1沙尘暴，给海盗加100%暴击率事件	[1013, 0, 5, 2]		
3047	2			沙尘暴所有单位暴击率+100%	[4, 2, 4, 2, 10000]		
3048	4			3-1沙尘暴，给矿场加3049	[1015, 0, 3, 2]		
3049	8	True		沙尘暴下，经过矿场给一个道具	[1]		
3100	3	True		火星晴天在随机道路召普通怪	[1, 3, 1]		
3101	4			火星星火天气，给射击馆添加召怪事件	[1052, 0, 3, 4]		
3102	3	True		火星星火，在随机道路上召唤精英怪	[3, 3, 1]		
3103	2	True		杀怪暴击伤害+7%	[2, 1, 5, 2, 700]		
3150	4			幻梦，给红丝绒添加10块返钱，1层	[1080, 0, 3, 109]		
3151	4			幻梦，给红丝绒添加10块返钱，2层	[1081, 0, 3, 109]		
3152	4			幻梦，给红丝绒添加10块返钱，3层	[1082, 0, 3, 109]		
3153	4			幻梦，给红丝绒添加10块返钱，4层	[1083, 0, 3, 109]		
3154	4			幻梦，给红丝绒添加10块返钱，5层	[1084, 0, 3, 109]		
3155	4			幻梦，给杏仁添加10块返钱，1层	[1080, 0, 3, 110]		
3156	4			幻梦，给杏仁添加10块返钱，2层	[1081, 0, 3, 110]		
