Id	TargetType	TargetTypeParam	Range	TargetCount	Name	OverflowReturnCoin	Events	Icon	Desc
1	1			1	指点晴空		[2001]	Assets/Product/Texture/Image/IconTools/IconFubenYuanxiao4.png	虽然繁星并不知晓未来的答案，不过它能够告诉你，明天会是个好天气。
2	1			1	紧急训练		[2002]	Assets/Product/Texture/Image/IconTools/IconDormSummervaultinghorse001.png	陌生的星域也会有用于健身的训练场，能够找到这些当然也很正常。
3	2			50	极寒之泪		[2003]	Assets/Product/Texture/Image/IconTools/IconFubenYuanxiao5.png	极寒与焦热共享一种痛楚。
4	1			1	遗落的补给		[2004]	Assets/Product/Texture/Image/IconTools/IconDormSummerBox002.png	“哇，这里还有，走狗屎运了！”
5	2			1	磁暴冲击		[2005]	Assets/Product/Texture/Image/IconTools/IconDormChildrencamera001.png	滴滴答答，时间和生命一起流淌。
6	1			1	姜饼王芭菲		[2007]	Assets/Product/Texture/Image/IconTools/IconActivityPointQuest2007001.png	可爱的王给予自己的臣民同等的祝福。
7	1			1	只有一个		[2008]	Assets/Product/Texture/Image/IconTools/IconActivityConsume2007002.png	是的，只有一个。从零到一的突破，从宇宙尺度上看也是一种壮举。
8	1			1	再来一次！		[2009]	Assets/Product/Texture/Image/IconTools/IconSpecialTrainConsume01.png	“这，这些能值多少钱啊……？”
9	1			1	再来两次！！		[2010]	Assets/Product/Texture/Image/IconTools/IconActivityConsumeTic2101004.png	“可不能放过这种好机会……等等，我的飞船！！”
10	1			1	最强勇者的祝福		[2011, 2012, 2013, 2014, 2015]	Assets/Product/Texture/Image/IconTools/IconPokemonDongnengshiji01.png	“最强的力量，就寄宿在你的心中哦。”
