Id	Order	UnlockStageId	Events	IsTalentShow	Name	EffectUrl	IconUrl	BgUrl
1	1	103		1	萦雾	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain07.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherMiasma.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather3.png
2	2		[1030]	1	晴朗	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain01.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherClearDay.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonBg06.png
3	3	303	[1012, 1014]	1	沙暴	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain05.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherSand.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather4.png
4	4				沙暴+	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain05.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherSand.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather4.png
5	5				沙暴++	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain05.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherSand.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather4.png
6	6		[1001]		晴朗	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain01.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherClearDay.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonBg06.png
7	7	203	[1003]	1	极寒	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain04.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherSnow.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather5.png
8	8		[1003, 1004]		极寒++	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain04.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherSnow.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather5.png
9	9		[1050]	1	骤雨	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain02.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherCloudy.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather1.png
10	10	403	[1051]	1	热浪	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain06.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherFire.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather6.png
11	11	404	[1103]	1	雷雨	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain03.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherStorm.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather2.png
12	12	503	[1054, 1055, 1056, 1057, 1058]	1	幻梦	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain08.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherPao.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather7.png
13	13		[1059, 1060, 1061, 1062, 1063]		幻梦	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain08.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherPao.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather7.png
14	14		[1100]		幻梦	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain08.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherPao.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather7.png
15	15		[1102]		萦雾	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain07.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherMiasma.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather3.png
16	16				幻梦	Assets/Product/Effect/Prefab/FxUi/FxUiPlanetBattleMain/FxUiPlanetBattleMain08.prefab	Assets/Product/Texture/Atlas/UiPlanet/UiPlanetWeatherPao.png	Assets/Product/Texture/Image/UiPlanet/UiPlanetCommonWeather7.png
