Id	Position	FightSkillId	UnlockStar	Name	Description	Icon
10101		812025	1	刃斩十式I	对周围造成伤害，并向四周发射剑气	
10102	1	812022	1	锋刃破势I	对前方敌人进行戳刺，并且附加碎甲效果	
10103	2	812023	1	崩裂斩击I	向前方重劈，造成范围伤害	
10104	3	812024	1	破障之刃I	发射剑气，并回复少许能量	
10105		812034	5	刃斩十式II	对周围造成伤害，向四周发射剑气并回复生命值	
10106	1	812031	2	锋刃破势II	对前方敌人进行戳刺，并造成大量伤害	
10107	2	812032	3	崩裂斩击II	向前方重劈，造成范围伤害，并小幅眩晕敌人	
10108	3	812033	4	破障之刃II	发射剑气，并附加碎甲效果	
10201		813039	1	荆棘绞杀I	造成三段范围伤害	
10202	1	813036	1	迅疾突刺I	突进造成伤害并回复生命值	
10203	2	813037	1	蔷薇怒放I	造成范围伤害	
10204	3	813038	1	暴风冲刃I	向周边造成大范围伤害，提升自身攻击并回复能量	
10205		813043	5	荆棘绞杀II	造成三段范围伤害，第三段伤害附带眩晕效果	
10206	1	813040	2	迅疾突刺II	突进并造成伤害	
10207	2	813041	3	蔷薇怒放II	造成范围伤害并眩晕敌人0.1秒	
10208	3	813042	4	暴风冲刃II	对周边造成大范围伤害	
10301		831030	1	毁灭打击I	进行五次连续斩击	
10302	1	831033	1	质量暗蚀I	造成范围伤害，并附加碎甲效果	
10303	2	831034	1	力场束缚I	将锥形范围内敌人拉到身前，造成伤害并附带眩晕效果	
10304	3	831035	1	暗影庇护I	获取能量同时提高自身攻击力，但会使自身受到额外伤害	
10305		831036	5	毁灭打击II	进行五次连续斩击，每刀附带眩晕效果	
10306	1	831037	2	质量暗蚀II	造成范围伤害并回复生命值	
10307	2	831038	3	力场束缚II	将锥形范围内敌人拉到身前，造成伤害并降低敌人少许能量	
10308	3	831039	4	暗影庇护II	大幅提升自身攻击力	
10401		821519	1	爆能召唤I	召唤自爆虫，每只虫子会自爆造成小范围伤害	
10402	1	821516	1	爆弹冲击I	造成范围伤害，并形成燃烧区域，区域内敌方会持续受到伤害	
10403	2	821517	1	共振连射I	造成多段伤害并回复能量	
10404	3	821518	1	高压射线I	暴动后跳并造成伤害	
10405		821524	5	爆能召唤II	召唤自爆虫，每只虫子会自爆造成单体伤害	
10406	1	821521	2	爆弹冲击II	造成范围伤害，降低敌方移动速度，并形成燃烧区域，区域内敌方会持续受到伤害	
10407	2	821522	3	共振连射II	造成多段伤害	
10408	3	821523	4	高压射线II	暴动后跳，造成伤害并使敌人眩晕	
50000		900308	1	废料拆除	造成两次伤害	
50001		900904	1	哨机警戒	造成圆形范围伤害	
50002		901307	1	突进限制	突进并造成范围伤害	
50003		901507	1	动能突进	造成单体伤害	
50004		901806	1	震荡猛攻	突进并造成范围伤害	
50005		901913	1	精准改造	对前方造成伤害	
50006		902112	1	多重切割	造成三段范围伤害	
50007		902507	1	破刃斩	突进造成范围伤害并附带眩晕效果	
50008		903609	1	超载分解	造成多段伤害	
50009		903707	1	碎陨之矢	造成大量单体伤害	
50010		904417	1	反乱旋击	对直线方向造成多段伤害	
50011		903312	1	引力吸束	造成多段范围伤害	
50012		903411	1	末罗横扫	突进并造成三段范围伤害	
50013		902607	1	激光洞灭	对直线方向造成多段伤害	
50014		902213	1	流沙瞬形	突进并造成矩形范围伤害	
50015		904520	1	审判之怒	跳跃造成大范围伤害，起跳时无敌	
50016		906214	1	火力瓦解	造成多段小范围伤害	
50017		906408	1	曲速抛掷	造成范围伤害	
50018		906511	1	赤轮回旋	释放持续造成伤害的回旋镖	
50019		907019	1	乾坤桎梏	造成单体巨额伤害	
