Id	Name	Desc	SectionType	ProductId	SkillAddition
1	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[1, 2, 5]	[11, 9, 8]
2	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[1, 2, 5]	[21, 18, 16]
3	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 5]	[40, 33, 30]
4	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[11, 12, 14, 16, 17]	[100, 166, 146, 180, 180]
5	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[11, 12, 14, 16, 17]	[28, 47, 41, 51, 51]
6	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[11, 12, 14, 16, 17]	[54, 90, 80, 98, 98]
7	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[11, 12, 14, 16, 17]	[100, 166, 146, 180, 180]
8	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 4, 5]	[40, 33, 30, 30]
9	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[2, 4, 5]	[9, 8, 8]
10	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[2, 4, 5]	[18, 16, 16]
11	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[2, 4, 5]	[33, 30, 30]
12	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[7, 14, 16, 17, 18]	[15, 29, 35, 48, 63]
13	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[6, 7, 12, 13, 15]	[22, 22, 47, 52, 47]
14	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[6, 7, 12, 13, 15]	[43, 43, 90, 100, 90]
15	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[6, 7, 12, 13, 15]	[80, 80, 166, 183, 166]
16	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[11, 14, 16, 17, 18]	[18, 29, 35, 48, 63]
17	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[6, 7, 12, 13, 15]	[22, 22, 47, 52, 47]
18	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[6, 7, 12, 13, 15]	[43, 43, 90, 100, 90]
19	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[6, 7, 12, 13, 15]	[80, 80, 166, 183, 166]
20	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[10, 14, 16, 17, 18]	[16, 29, 35, 48, 63]
21	八面玲珑	销售能力游刃有余，销售心仪的手作价格有额外加成。	3	[9, 14, 15, 17, 18]	[4, 8, 8, 12, 16]
22	八面玲珑	销售能力出类拔萃，销售心仪的手作价格有小幅加成。	3	[9, 14, 15, 17, 18]	[7, 15, 16, 24, 32]
23	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[9, 14, 15, 17, 18]	[14, 29, 31, 48, 63]
24	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 3]	[40, 33, 33]
25	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[10, 13, 14, 16, 18]	[28, 52, 41, 51, 57]
26	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[10, 13, 14, 16, 18]	[54, 100, 80, 98, 109]
27	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[10, 13, 14, 16, 18]	[100, 183, 146, 180, 200]
28	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 3]	[40, 33, 33]
29	心灵手巧	总能将账目处理得井井有条，收入稍微上升。	3	[6, 7, 9, 12, 13]	[3, 4, 4, 7, 7]
30	心灵手巧	总能将账目处理得井井有条，收入逐渐上升。	3	[6, 7, 9, 12, 13]	[6, 8, 7, 13, 14]
31	心灵手巧	总能将账目处理得井井有条，收入急速上升。	3	[6, 7, 9, 12, 13]	[12, 15, 14, 25, 28]
32	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[14, 15, 16, 17, 18]	[146, 166, 180, 180, 200]
33	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[1, 3, 4, 5]	[11, 9, 8, 8]
34	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[1, 3, 4, 5]	[21, 18, 16, 16]
35	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 3, 4, 5]	[40, 33, 30, 30]
36	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[7, 12, 13, 17, 18]	[80, 166, 183, 180, 200]
37	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[2, 3, 4, 5]	[9, 9, 8, 8]
38	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[2, 3, 4, 5]	[18, 18, 16, 16]
39	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[2, 3, 4, 5]	[33, 33, 30, 30]
40	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[9, 12, 13, 15, 16]	[14, 25, 28, 31, 35]
41	八面玲珑	销售能力游刃有余，销售心仪的手作价格有额外加成。	3	[8, 10, 11, 12, 13]	[4, 4, 5, 7, 7]
42	八面玲珑	销售能力出类拔萃，销售心仪的手作价格有小幅加成。	3	[8, 10, 11, 12, 13]	[7, 8, 9, 13, 14]
43	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[8, 10, 11, 12, 13]	[13, 16, 18, 25, 28]
44	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[9, 12, 15, 14, 17]	[100, 166, 166, 146, 180]
45	八面玲珑	销售能力游刃有余，销售心仪的手作价格有额外加成。	3	[8, 10, 11, 12, 13]	[4, 4, 5, 7, 7]
46	八面玲珑	销售能力出类拔萃，销售心仪的手作价格有小幅加成。	3	[8, 10, 11, 12, 13]	[7, 8, 9, 13, 14]
47	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[8, 10, 11, 12, 13]	[13, 16, 18, 25, 28]
48	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[7, 12, 15, 16, 18]	[80, 166, 166, 180, 200]
49	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[8, 9, 10, 11, 17]	[28, 28, 28, 28, 51]
50	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[8, 9, 10, 11, 17]	[54, 54, 54, 54, 98]
51	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[8, 9, 10, 11, 17]	[100, 100, 100, 100, 180]
52	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 3]	[40, 33, 33]
53	八面玲珑	销售能力游刃有余，销售心仪的手作价格有额外加成。	3	[9, 14, 15, 16, 18]	[4, 8, 8, 9, 16]
54	八面玲珑	销售能力出类拔萃，销售心仪的手作价格有小幅加成。	3	[9, 14, 15, 16, 18]	[7, 15, 16, 18, 32]
55	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[9, 14, 15, 16, 18]	[14, 29, 31, 35, 63]
56	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[3, 4, 5]	[33, 30, 30]
57	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[14, 15, 16, 17, 18]	[41, 47, 51, 51, 57]
58	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[14, 15, 16, 17, 18]	[80, 90, 98, 98, 109]
59	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[14, 15, 16, 17, 18]	[146, 166, 180, 180, 200]
60	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 3, 4]	[40, 33, 30]
61	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[1, 2, 3, 4, 5]	[11, 11, 9, 19, 22]
62	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[1, 2, 3, 4, 5]	[21, 21, 18, 36, 43]
63	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[1, 2, 3, 4, 5]	[40, 40, 33, 66, 80]
64	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 3]	[40, 33, 33]
65	八面玲珑	销售能力游刃有余，销售心仪的手作价格有额外加成。	3	[1, 2, 3, 4, 5]	[2, 2, 2, 3, 3]
66	八面玲珑	销售能力出类拔萃，销售心仪的手作价格有小幅加成。	3	[1, 2, 3, 4, 5]	[3, 3, 4, 5, 6]
67	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[1, 2, 3, 4, 5]	[5, 6, 7, 9, 10]
