Id	Type	Formula	Params	Desc
999001		999101&999201		当前季度数大于 5 ，且玩家拥有商品大于 100
999002		999101|999201		当前季度数大于 5 ，或者玩家拥有商品大于 100
999003		(999101&999106)|999111		拥有商品 1 大于 100、同时拥有商品 2 大于 100 ；或者拥有活物 3 大于 100
999101	3		[1, 1, 100]	拥有类型 1 商品大于 100
999102	3		[1, 2, 100]	拥有类型 1 商品大于等于 100
999103	3		[1, 3, 100]	拥有类型 1 商品等于 100
999104	3		[1, 4, 100]	拥有类型 1 商品小于等于 100
999105	3		[1, 5, 100]	拥有类型 1 商品小于 100
999106	3		[2, 1, 100]	拥有类型 2 商品大于 100
999107	3		[2, 2, 100]	拥有类型 2 商品大于等于 100
999108	3		[2, 3, 100]	拥有类型 2 商品等于 100
999109	3		[2, 4, 100]	拥有类型 2 商品小于等于 100
999110	3		[2, 5, 100]	拥有类型 2 商品小于 100
999111	3		[3, 1, 100]	拥有类型 3 商品大于 100
999112	3		[3, 2, 100]	拥有类型 3 商品大于等于 100
999113	3		[3, 3, 100]	拥有类型 3 商品等于 100
999114	3		[3, 4, 100]	拥有类型 3 商品小于等于 100
999115	3		[3, 5, 100]	拥有类型 3 商品小于 100
999201	4		[1, 5]	当前季度数大于 5
999202	4		[3, 5]	当前季度数等于 5
999203	4		[5, 5]	当前季度数小于 5
999204	4		[3, 10]	当前季度数等于 10
999205	4		[3, 15]	当前季度数等于 15
999206	4		[3, 20]	当前季度数等于 20
999207	4		[3, 25]	当前季度数等于 25
999208		999204|999205|999206|999207		当前回合是10/15/20/25
999501	7		[1, 3]	主城是否达到等级 3
999502	7		[1, 4]	主城是否达到等级 4
999503	7		[1, 5]	主城是否达到等级 5
999504	7		[1, 6]	主城是否达到等级 6
999505	7		[1, 7]	主城是否达到等级 7
999506	7		[0, 3]	主城是否未达到等级 3
999507	7		[0, 4]	主城是否未达到等级 4
999508	7		[0, 5]	主城是否未达到等级 5
999509	7		[0, 6]	主城是否未达到等级 6
999510	7		[0, 7]	主城是否未达到等级 7
999601	3		[1, 2, 100]	类型 1 商品当前库存大于等于100
999602	8		[1, 1, 2, 100]	类型 1 商品库存上限大于等于100
999603	8		[1, 100, 2, 100]	类型 1 商品结算售价大于等于100
999604	8		[1, 200, 2, 100]	类型 1 商品结算产量大于等于100
999605	3		[2, 2, 100]	类型 2 商品当前库存大于等于100
999606	8		[2, 1, 2, 100]	类型 2 商品库存上限大于等于100
999607	8		[2, 100, 2, 100]	类型 2 商品结算售价大于等于100
999608	8		[2, 200, 2, 100]	类型 2 商品结算产量大于等于100
999609	3		[3, 2, 100]	类型 3 商品当前库存大于等于100
999610	8		[3, 1, 2, 100]	类型 3 商品库存上限大于等于100
999611	8		[3, 100, 2, 100]	类型 3 商品结算售价大于等于100
999612	8		[3, 200, 2, 100]	类型 3 商品结算产量大于等于100
51001	10		[2, 5]	激活城邦是否超过5个
51002	11		[2, 3]	完成城邦任务是否超过3个
51003	7		[1, 5]	需要主城达到5级以上
120101	7		[1, 5]	需要主城达到5级以上
120201	7		[1, 5]	需要主城达到5级以上
155201	7		[1, 5]	需要主城达到5级以上
120301	10		[2, 3]	需要连通城邦超过3个
120401	10		[2, 3]	需要连通城邦超过3个
120501	10		[2, 3]	需要连通城邦超过3个
120601	10		[2, 3]	需要连通城邦超过3个
12010101	7		[1, 6]	需要主城达到6级以上
12020101	7		[1, 6]	需要主城达到6级以上
12030101	10		[2, 3]	需要连通城邦超过3个
12040101	10		[2, 3]	需要连通城邦超过3个
12050101	11		[2, 4]	需要完成4个以上城邦任务
12060101	11		[2, 4]	需要完成4个以上城邦任务
12070101	13		[2, 2, 10000]	需要1w金贝
12080101	3		[1, 2, 250]	需要250<color=#969190>椰子</color>
12090101	3		[2, 2, 500]	需要500<color=#969190>木材</color>
12100101	3		[3, 2, 50]	需要50<color=#cd934a>石油</color>
15210101	13		[2, 2, 30000]	需要3w金贝
15210102	13		[2, 2, 10000]	需要1w金贝
