Id	Name	Icon	Desc	BossId	TriggerRound	SkipDamage	BuffId	SubEnergyType	SubEnergyCount	WeakBallIds
1	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	抗普攻球30%，弱红黄蓝球30%，持续15回合				[7, 8, 9, 10]			
2	弱点切换β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	免疫普攻球，弱红黄蓝球50%，持续2回合				[11, 12, 13, 14]			
3	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	抗普攻球、黄球、蓝球50%伤害，弱红200%，持续5回合				[15, 16, 17, 18]			
4	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	抗蓝球30%，弱红80%，持续10回合				[19, 20]			
5	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	抗黄球50%，弱普攻球120%，持续5回合				[21, 22]			
6	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗黄30%、弱红80%				[23, 24]			
7	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗红30%、弱蓝80%				[25, 26]			
8	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗蓝30%、弱普攻80%				[27, 28]			
9	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗普攻30%、弱黄80%				[29, 30]			
10	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗黄30%、弱红80%				[23, 24]			
11	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗红30%、弱蓝80%				[25, 26]			
12	信号免疫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	释放后免疫黄、蓝球，持续2回合（释放条件：伤害分数小于5000）			5000	[31, 32]			
13	信号免疫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	释放后免疫黄、蓝球，持续2回合（释放条件：伤害分数小于70000）			70000	[31, 32]			
14	信号免疫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	释放后免疫黄、蓝球，持续2回合（释放条件：伤害分数小于120000）			120000	[31, 32]			
15	疲惫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	释放后减少行动步数2步（释放条件：伤害分数小于5000）			5000	[33]			
16	疲惫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	释放后减少行动步数2步（释放条件：伤害分数小于50000）			50000	[33]			
17	疲惫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	释放后减少行动步数2步（释放条件：伤害分数小于90000）			90000	[33]			
18	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗蓝30%、弱普攻80%				[27, 28]			
19	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	切换为抗普攻30%、弱黄80%				[29, 30]			
20	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第1回合释放，抗普攻球50%，弱红黄蓝球30%，持续15回合							
21	弱点切换β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第16回合释放，免疫普攻球，弱红黄蓝球50%，持续2回合							
22	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第4回合释放，抗普攻球、黄球、蓝球50%伤害，弱红200%，持续5回合							
23	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第1回合释放，抗蓝球30%，弱红80%，持续10回合							
24	弱点切换β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第11回合释放，抗黄球50%，弱普攻球120%，持续5回合							
25	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	从第1回合开始，每4回合切换弱点：抗黄30%弱红80%、抗红30%弱蓝80%、抗蓝30%弱普攻80%、抗普攻30%弱黄80%							
26	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第1回合释放，抗黄30%、弱红80%，持续4回合							
27	弱点切换β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第5回合释放，抗红30%、弱蓝80%，持续4回合							
28	信号免疫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	第2、7、12回合释放，释放后免疫黄、蓝球2回合（释放条件：总伤害分数分别小于5000、70000、120000）							
29	弱点切换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第6回合释放，抗蓝30%、弱普攻80%，持续4回合							
30	弱点切换β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	第13回合释放，抗普攻30%、弱黄80%，持续4回合							
31	疲惫	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	第2、5、9回合释放，释放后减少行动步数2步（释放条件：总伤害分数分别小于5000、50000、90000）							
101	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1回合末弱红20%，持续7回合		1		[1010]			
102	中盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	7回合末检测输出不达80000，削减2能量，抗黄、蓝30%，持续3回合		7	80000	[1020, 1021]	1	2	
103	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	8回合末削减2能量，弱红50%，抗黄70%，持续7回合		8		[1030, 1031]	1	2	
104	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1回合末弱红20%，持续7回合。8回合末弱红50%，抗黄70%，持续7回合							
121	序盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	1回合末检测输出不达10000，增加红球抗性50%，持续3回合		1	10000	[1210]			
122	弱黄	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	2回合末削减2能量，弱黄50%，持续5回合		2		[1220]	1	2	
123	中盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	7回合末检测输出不达80000，削减1能量，抗黄、蓝30%，持续3回合		7	80000	[1230, 1231]	1	1	
124	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	8回合末削减2能量，弱红50%，持续5回合		8		[1240]	1	2	
125	弱蓝	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	13回合末削减2能量，弱蓝50%，持续5回合		13		[1250]	1	2	
126	弱点轮换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	2回合末弱黄50%，持续5回合。8回合末弱红50%，持续5回合。13回合末弱蓝50%，持续5回合							
141	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1回合末削减50%能量。弱红50%，持续5回合		1		[1410]	2	500	
142	弱黄	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	4回合末削减50%能量。弱黄50%，持续6回合		4		[1420]	2	500	
143	弱普攻	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	7回合末削减50%能量。弱普攻50%，持续7回合		7		[1430]	2	500	
144	弱蓝	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	11回合末削减50%能量。弱蓝50%，持续8回合		11		[1440]	2	500	
