Id	BaseNpcId	BuffCondition	Priority	StartActionID	LockActionID	AttackActionID	AttackDelayTime	AttackProlongTime	BePursuitActionID	ReversalActionID	ReversalDelayTime	SupportAttackActionID	MultiParryActionID	MultiParrySprintActionID	MultiParryWaitActionID	MultiParryCounterActionID	MultiParryCounterCastPointTime	UltimateSkillActionID	SingleModeAccumulateValue	SingleModeAccumulateInterval
1	1052	105217		105244	105245	105248	5000	5000	105246	105247	16000	105249	105270	105271	105272	105255	500	105252	1	5000
2	1052	105218		105258	105259		5000	5000	105260	105261	16000	105249	105270	105271	105278	105277	500	105276	1	5000
3	1051	10510001										1051084	1051081	1051084				1051087	1	5000
4	1051	10513101										1051084	1051080	1051084				1051087	1	5000
5	1053											105371	105370	105371				105373	1	5000
6	1057	105217		105244	105245	105248	5000	5000	105246	105247	16000	105249	105270	105271	105272	105255	500	105252	1	5000
7	1057	105218		105258	105259		5000	5000	105260	105261	16000	105249	105270	105271	105278	105277	500	105276	1	5000
8	1058											105371	105370	105371				105373	1	5000
9	1056	10510001										1051084	1051081	1051084				1051087	1	5000
10	1056	10513101										1051084	1051080	1051084				1051087	1	5000
11	1054			105430	105431		5000	5000	105433	105432	6600	105435	105401	105401	105401	105401	500	105437	1	5000
