Id	Text
1	初生意志的迷惘
2	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
3	
4	
5	空中花园-商业B区
6	前往奥林匹亚艺术馆
7	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
8	阅读匿名短信
9	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
10	阅读布偶熊的短信
11	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
12	与库洛洛排查小组的众人会和
13	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
14	
15	空中花园-商业B区
16	寻找奥林匹亚艺术馆的伪装库洛洛
17	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
18	向大黑询问异常信号的具体位置（可选）
19	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
20	
21	空中花园-商业B区
22	寻找奥林匹亚艺术馆的伪装库洛洛
23	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
24	向大黑询问异常信号的具体位置（可选）
25	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
26	
27	空中花园-商业B区
28	寻找奥林匹亚艺术馆的伪装库洛洛
29	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
30	阅读匿名短信
31	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
32	寻找觉醒库洛洛
33	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
34	
35	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
36	与七实对话
37	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
38	阅读大黑？的短信
39	来到梦晖绿荫的灰鸦指挥官收到神秘人士发来的消息，发现竟是偷拍自己的照片，跟随线索追踪时却被对方逃掉。与此同时，灰鸦指挥官遇到了同样寻找神秘人士的卡列尼娜与工程部队技术员大黑……
