Id	Group	Type	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	SizeX	SizeY	SizeZ	Direction	Mesh	Convex	CameraBlockHandleTag
1		BoxCollider	164.66	-13.7899	43.9599				1.0	6.5911	16.0309	30.9818	1.0	1.0	1.0				
2		BoxCollider	161.977	35.6797	98.661	-0.1287	0.9626	-0.169	0.1675	91.4033	34.6482	58.8073	0.486	0.9999	1.0041				
3		BoxCollider	208.3605	40.0361	95.7346	-0.0781	0.978	-0.1759	0.0798	102.5744	34.16	50.878	0.652	0.9999	1.0041				
4		BoxCollider	191.5928	32.926	-18.3569		0.9909		-0.1345	52.1241	40.4924	40.8723	1.0	1.0	1.0				
5		BoxCollider	155.8598	32.5543	90.011	-0.107	-0.1636	0.124	0.9728	28.6802	44.2499	32.1128	1.0	1.0	1.0				
6		BoxCollider	140.3419	24.4244	220.6705	-0.4038	0.8338	-0.096	-0.3638	89.6084	34.6131	57.9697	0.486	0.9999	1.0041				
7		BoxCollider	150.8524	39.2743	178.8941	-0.364	0.8082	-0.1481	-0.4384	100.237	34.1487	50.4253	0.652	0.9999	1.0041				
8		BoxCollider	-23.171	41.7177	201.5626	-0.1026	-0.3797	-0.0424	0.9184	129.8979	51.2492	83.0034	0.486	0.9999	1.0041				
9		BoxCollider	-85.7348	42.1857	178.0386	-0.11	-0.2856	-0.0197	0.9517	146.5917	50.5175	71.1567	0.652	0.9999	1.0041				
10		BoxCollider	-39.3826	33.879	209.4022	0.0272	-0.9635	-0.1076	-0.2435	146.7608	48.9604	93.2175	0.486	0.9999	1.0041				
11		BoxCollider	35.9451	34.3204	214.7444	0.0037	-0.9829	-0.1117	-0.1457	165.6121	48.1397	79.833	0.652	0.9999	1.0041				
12		BoxCollider	188.4506	35.6797	-31.2076	-0.2108	0.6264	0.0269	-0.7499	91.4032	34.6482	58.8073	0.486	0.9999	1.0041				
13		BoxCollider	162.7245	40.0361	-69.9137	-0.1915	0.5581	-0.0202	-0.807	102.5744	34.16	50.8779	0.652	0.9999	1.0041				
14		BoxCollider	-67.2274	49.1508	-105.4903		-0.8823		0.4706	109.7213	85.2366	86.0364	1.0	1.0	1.0				
15		BoxCollider	5.8752	40.6651	-154.5894	0.0767	-0.9795	0.0294	0.1834	88.3861	68.6623	69.3066	1.0	1.0	1.0				
16		BoxCollider	151.9983	-5.15	41.2965		0.3741		0.9273	4.5183	10.961	6.9017	1.0	1.0	1.0				
17		BoxCollider	152.7875	-5.15	44.0383		0.0632		0.9979	4.5183	10.961	6.9017	1.0	1.0	1.0				
18		BoxCollider	144.2808	-9.6414	50.7952	-0.163	0.9707	0.0402	0.1716	1.4043	0.75	1.6271	1.0	1.0	1.0				
19		BoxCollider	145.6148	-9.4733	51.17	0.0501	0.9821	0.1406	0.114	1.4043	0.75	1.879	1.0	1.0	1.0				
20		BoxCollider	144.4465	-9.4814	49.8557	-0.2205	0.962	-0.0359	0.1568	1.2469	0.6788	1.0878	1.0	1.0	1.0				
21		BoxCollider	144.7158	-9.588	49.1208	-0.0984	0.8291	-0.0648	0.5465	1.2469	0.6788	1.0878	1.0	1.0	1.0				
22		BoxCollider	145.5238	-9.5834	48.7961	-0.1451	0.6332	-0.1698	0.741	1.2469	0.4513	1.5683	1.0	1.0	1.0				
23		BoxCollider	146.3457	-9.4072	49.448	-0.0999	0.2499	-0.162	0.9493	1.2469	0.4513	1.5683	1.0	1.0	1.0				
24		BoxCollider	146.3661	-9.4072	50.3288	-0.0142	-0.2143	-0.1898	0.958	1.2469	0.4513	1.5683	1.0	1.0	1.0				
25		BoxCollider	145.3471	-9.1847	50.3016		0.2643		0.9644	1.5444	0.4513	1.2155	1.0	1.0	1.0				
26		BoxCollider	143.6992	-9.6406	49.2538	-0.048	-0.1244	-0.1608	0.9779	0.8543	0.4563	0.9899	1.0	1.0	1.0				
27		BoxCollider	142.8695	-9.5384	49.1054	-0.1381	-0.0663	0.0568	0.9865	0.8543	0.4563	1.1431	1.0	1.0	1.0				
28		BoxCollider	143.6542	-9.5433	49.8325	0.0252	-0.11	-0.2219	0.9684	0.7586	0.4129	0.6618	1.0	1.0	1.0				
29		BoxCollider	143.5345	-9.6082	50.2933	0.06	-0.5056	-0.1014	0.8546	0.7586	0.4129	0.6618	1.0	1.0	1.0				
30		BoxCollider	143.0643	-9.6054	50.5374	0.1626	-0.7094	-0.1532	0.6683	0.7586	0.2746	0.9541	1.0	1.0	1.0				
31		BoxCollider	142.5283	-9.4982	50.1911	0.157	-0.9361	-0.1076	0.2956	0.7586	0.2746	0.9541	1.0	1.0	1.0				
