Id	Group	Type	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	SizeX	SizeY	SizeZ	Direction	Mesh	Convex	CameraBlockHandleTag
1		BoxCollider	346.5299	213.975	163.3139	0.4999	-0.4999	-0.5	-0.5	0.0511	1.2421	2.0344	1.0	1.0	1.0				
2		BoxCollider	344.7999	213.9739	163.3139	0.4999	-0.4999	-0.5	-0.5	0.0511	1.2494	2.0213	1.0	1.0	1.0				
3		BoxCollider	610.5822	202.8999	269.5979				1.0	19.3378	1.0	11.8316	1.0	1.0	1.0				
4		BoxCollider	596.5488	200.8135	269.5979			0.2164	0.9762	10.1609	1.0	11.8316	1.0	1.0	1.0				
5		BoxCollider	657.89	203.77	281.4899	0.0515	0.2536	0.1922	0.9465	10.9917	3.811	6.0936	1.0	1.0	1.0				
6		BoxCollider	665.106	205.2649	269.7878		0.7071		0.7071	13.8271	4.806	10.1125	1.0	1.0	1.0				
7		BoxCollider	666.5233	205.2649	277.7861		0.866		0.5	8.5119	4.806	10.4414	1.0	1.0	1.0				
8		BoxCollider	666.5115	205.2649	261.4288		0.5		0.866	9.3339	4.806	10.4414	1.0	1.0	1.0				
9		BoxCollider	564.0548	199.347	269.5679				1.0	59.0217	1.0	26.3846	1.0	1.0	1.0				
10		BoxCollider	657.94	203.75	257.6	-0.0519	-0.2535	0.1938	0.9462	10.9229	3.8289	6.2692	1.0	1.0	1.0				
11		BoxCollider	647.1635	202.8999	269.588				1.0	57.9263	1.0	69.3369	1.0	1.0	1.0				
12		BoxCollider	590.5524	202.41	276.2455				1.0	5.5404	12.8847	6.9506	1.0	1.0	1.0				
13		BoxCollider	590.5546	202.41	262.733				1.0	5.5358	12.8847	7.5419	1.0	1.0	1.0				
14		BoxCollider	562.3259	202.41	259.19				1.0	55.5647	12.8847	1.0	1.0	1.0	1.0				
15		BoxCollider	562.3259	202.41	280.0				1.0	55.5647	12.8847	1.0	1.0	1.0	1.0				
16		BoxCollider	535.63	203.0921	269.618		-0.7071		0.7071	12.1999	14.2492	0.9999	1.0	1.0	1.0				
17		BoxCollider	536.4558	203.0921	279.3999		-0.7071		0.7071	12.1999	14.2492	2.0681	1.0	1.0	1.0				
18		BoxCollider	536.4558	203.0921	259.7799		-0.7071		0.7071	12.1999	14.2492	2.0681	1.0	1.0	1.0				
19		BoxCollider	609.9613	205.6157	275.32				1.0	18.9833	19.2961	3.0197	1.0	1.0	1.0				
20		BoxCollider	618.15	205.6157	280.762		-0.7071		0.7071	13.7359	19.2961	3.0197	1.0	1.0	1.0				
21		BoxCollider	632.38	205.6157	294.2799		-0.2588		0.9659	32.42	19.2961	3.0197	1.0	1.0	1.0				
22		BoxCollider	632.53	205.6157	244.82		0.2588		0.9659	32.4505	19.2961	3.0197	1.0	1.0	1.0				
23		BoxCollider	660.65	205.6157	294.47		0.2588		0.9659	38.9365	19.2961	3.0197	1.0	1.0	1.0				
24		BoxCollider	670.3699	209.3789	269.2679		0.7071		0.7071	37.0938	26.8217	3.0197	1.0	1.0	1.0				
