Id	Type	KeepsakeId	FightCount	Lv	ItemId	PowerId	PowerFactor	Explain	Quality
1	1	101	35	1		1	400	印象流派提升至1级获得，携带通关35个节点后可升级	2
2	1	101	40	2		1	500	携带通关40个节点后可升级	3
3	1	101	45	3		1	600	携带通关45个节点后可升级	4
4	1	101	50	4		1	700	携带通关50个节点后可升级	5
5	1	101		5		1	800	已满级，无法继续提升	6
6	1	102	35	1		2	400	民族流派提升至1级获得，携带通关35个节点后可升级	2
7	1	102	40	2		2	500	携带通关40个节点后可升级	3
8	1	102	45	3		2	600	携带通关45个节点后可升级	4
9	1	102	50	4		2	700	携带通关50个节点后可升级	5
10	1	102		5		2	800	已满级，无法继续提升	6
11	1	103	35	1		3	400	真实流派提升至1级获得，携带通关35个节点后可升级	2
12	1	103	40	2		3	500	携带通关40个节点后可升级	3
13	1	103	45	3		3	600	携带通关45个节点后可升级	4
14	1	103	50	4		3	700	携带通关50个节点后可升级	5
15	1	103		5		3	800	已满级，无法继续提升	6
16	1	104	35	1		4	400	浪漫流派提升至1级获得，携带通关35个节点后可升级	2
17	1	104	40	2		4	500	携带通关40个节点后可升级	3
18	1	104	45	3		4	600	携带通关45个节点后可升级	4
19	1	104	50	4		4	700	携带通关50个节点后可升级	5
20	1	104		5		4	800	已满级，无法继续提升	6
21	1	105	35	1		5	400	表现流派提升至1级获得，携带通关35个节点后可升级	2
22	1	105	40	2		5	500	携带通关40个节点后可升级	3
23	1	105	45	3		5	600	携带通关45个节点后可升级	4
24	1	105	50	4		5	700	携带通关50个节点后可升级	5
25	1	105		5		5	800	已满级，无法继续提升	6
26	1	106	35	1		6	400	古典流派提升至1级获得，携带通关35个节点后可升级	2
27	1	106	40	2		6	500	携带通关40个节点后可升级	3
28	1	106	45	3		6	600	携带通关45个节点后可升级	4
29	1	106	50	4		6	700	携带通关50个节点后可升级	5
30	1	106		5		6	800	已满级，无法继续提升	6
31	1	107	35	1		7	400	巴洛克流派提升至1级获得，携带通关35个节点后可升级	2
32	1	107	40	2		7	500	携带通关40个节点后可升级	3
33	1	107	45	3		7	600	携带通关45个节点后可升级	4
34	1	107	50	4		7	700	携带通关50个节点后可升级	5
35	1	107		5		7	800	已满级，无法继续提升	6
36	2				96101			宣叙妄响中获得\n“啊！我往日的情人。告诉我是否还是从前的玛格！——《珠宝之歌》”	
37	3				96102			宣叙妄响中获得\n“那富有创造性、无意识中兴起的神妙感应，宇宙万物我生我灭。”	
38	3				96103			宣叙妄响中获得\n“辉煌的即兴演奏段落！”	
39	3				96104			宣叙妄响中获得\n“纽姆乐谱的发明是中世纪时期音乐史上除格列高利圣咏之外的另一重大进展。”	
40	3				96105			宣叙妄响中获得\n“不是圣剑选择勇者，而是勇者之剑便是圣剑。”	
41	3				96106			宣叙妄响中获得\n纸张散发油墨与淡淡香气混杂的味道，页间夹带着零散的资料，是一本颇具分量并用心爱护着的笔记本。	
42	3				96107			宣叙妄响中获得\n“战胜恶龙的勇者将迎——”	
43	3				96109			宣叙妄响中获得\n拥有神秘力量的银色铃铛，一开始你只是将它作为护身符，但只要轻轻摇动，其铃声便能迷惑一切有心智的敌人。	
44	3				96110			宣叙妄响中获得\n被灰烬掩埋的宝石，不知道有何作用，价值几何。	
45	3				96111			宣叙妄响中获得\n充满魔力的笛子，在吹响魔笛的那一刻，魔笛能将相斥的生命相连，将相同的意识联通，一切尽在虚实之间。	
46	3				96112			宣叙妄响中获得\n为了感谢勇者的帮助，村民给予的答谢品。	
47	3				96113			宣叙妄响中获得\n记录着海员口中所描述少女旅行者所唱的塞壬之歌的曲谱。	
