Id	Type	EquipGroupId	ExtractCount	MaxSelectCount	CharacterAddWeight	EquipBoxName	Desc	Icon	Name	Quality	Tag	FreeRefreshNum	RefreshCostNum	RefreshCost
1	1	1	3	1	99999		高概率出现随机<color=#CD5555>属性驻场装备</color>，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem004.png	改进型手提电视	5			2	[100, 150]
2	1	2	3	1			高概率出现随机<color=#CD5555>驻场装备</color>，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem006.png	实验型手提电视	5			2	[100, 150]
3	1	3	3	1			高概率出现随机<color=#9AB7D4>后台装备</color>，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem007.png	稳固型手提电视	5			2	[100, 150]
4	1	4	3	1			随机出现<color=#CD5555>驻场</color>或<color=#9AB7D4>后台</color>装备，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem005.png	试用型手提电视	4			2	[100, 150]
5	1	5	3	1			极高概率出现已有套装内的装备，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem008.png	进阶型手提电视	6			2	[100, 150]
6	1	6	3	1			随机出现<color=#CD5555>驻场</color>或<color=#9AB7D4>后台</color>装备，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem005.png	试用型手提电视	4			2	[100, 150]
7	2	9001	3	1			随机出现已有套装，可从中选择一套执行<color=#CD5555>熵变</color>	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem012.png	熵变型手提电视	6			2	[100, 150]
1001	1	2	3	1			高概率出现随机<color=#CD5555>驻场装备</color>，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem006.png	实验型手提电视	5	5		2	[100, 150]
1002	1	3	3	1			高概率出现随机<color=#9AB7D4>后台装备</color>，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem007.png	稳固型手提电视	5	5		2	[100, 150]
1003	1	4	3	1			随机出现<color=#CD5555>驻场</color>或<color=#9AB7D4>后台</color>装备，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem005.png	试用型手提电视	4	5		2	[100, 150]
1004	1	5	3	1			极高概率出现已有套装内的装备，可从中选择获取一件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem008.png	进阶型手提电视	6	5		2	[100, 150]
