Id	ShopType	DiscountNum	DiscountRate	RewardBoxType	RewardBoxId	GroupId	ConditionId	TitleContent	RoleIcon	RoleName	RoleContent	Desc	EndDesc	EndComfirmText	EndTitleDesc	EndRoleContent	BgAsset	NodeName	NodeIcon	NodeBg	NodeDesc	NodeEffectUrl
11	1	1	80			[1, 2, 3, 101, 101, 6]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	欢迎光临，这里是碧碧和鲨鲨一起经营的小店，不过鲨鲨最近出远门了，现在只有碧碧在这。	这里只收算力单元，不收姜饼嗷	补给完毕，你与碧碧道别，继续你的旅途。	结束购物		欢迎下次光临。	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
12	1	1	80			[7, 8, 9, 101, 102, 12]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	欢迎光临，这里是碧碧和鲨鲨一起经营的小店，不过鲨鲨最近出远门了，现在只有碧碧在这。	这里只收算力单元，不收姜饼嗷	补给完毕，你与碧碧道别，继续你的旅途。	结束购物		谢谢惠顾嗷。	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
13	1	1	80			[13, 14, 15, 101, 103, 18]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	欢迎光临，这里是碧碧和鲨鲨一起经营的小店，不过鲨鲨最近出远门了，现在只有碧碧在这。	这里只收算力单元，不收姜饼嗷	补给完毕，你与碧碧道别，继续你的旅途。	结束购物		欢迎下次光临。	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
14	1	1	80			[19, 20, 21, 102, 103, 24]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	……	这里只收算力单元，不收姜饼嗷	补给完毕，你与奇怪的碧碧道别，继续你的旅途。	结束购物		……	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
15	1	1	80	3	5	[7, 8, 9, 101, 102, 12]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	前方有一股危险的气息，碧碧建议在出发前做好充足的准备。	这里只收算力单元，不收姜饼嗷	补给完毕，在道别时，考虑到算力单元的可持续收入，碧碧决定免费为你提供一份帮助。	结束购物		注意安全嗷。	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
16	1	1	80	3	5	[13, 14, 15, 101, 103, 18]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	欢迎……	这里只收算力单元，不收姜饼嗷	补给完毕，在道别时，碧碧塞给了你一份礼物。	结束购物		小心……	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
20	1	1	80	3	5	[9004, 9004, 9001, 9005, 9003, 9002]	[0, 0, 0, 0, 0, 0]	碧士多	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	你好，东西不多，随便挑嗷。	碧碧收什么我就收什么嗷	当洁塔薇准备离开时，鲨鲨塞了一个铁盒给她。	结束购物		快过期了，麻烦你帮我处理下嗷。	Assets/Product/Texture/Image/BgStory/Bgstory101.png	碧士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/BgStory/Bgstory101.png	只看不买可不是好习惯哦。	
21	1	1	80			[9004, 9004, 9001, 9005, 9003, 9002]	[0, 0, 0, 0, 0, 0]	碧士多	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	又是你，看来你手上的不是玩具枪嗷。	碧碧收什么我就收什么嗷	补给完毕，洁塔薇与鲨鲨道别后，继续踏上旅途。	结束购物		努力嗷，我也想看看你能走多远。	Assets/Product/Texture/Image/BgStory/Bgstory101.png	碧士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/BgStory/Bgstory101.png	只看不买可不是好习惯哦。	
22	1	1	80	3	5	[9004, 9004, 9001, 9005, 9003, 9002]	[0, 0, 0, 0, 0, 0]	碧士多	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	能走到这里，挺厉害嗷。	碧碧收什么我就收什么嗷	鲨鲨翻了一会抽屉后，从中拿出了一个铁盒交给了洁塔薇。	结束购物		准备打烊了，希望下次还能再见嗷。	Assets/Product/Texture/Image/BgStory/Bgstory101.png	碧士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/BgStory/Bgstory101.png	只看不买可不是好习惯哦。	
23	1	1	80			[19, 20, 21, 102, 103, 24]	[0, 0, 0, 0, 0, 0]	鲨士多	Assets/Product/Texture/Image/RoleStory/ShashibierNormal04.png	碧碧	……	这里只收算力单元，不收姜饼嗷	补给完毕，你与奇怪的碧碧道别，继续你的旅途。	结束购物		……加油	Assets/Product/Texture/Image/BgStory/Bgstory102.png	鲨士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story42.png	什么都有，不要忘记付钱哦。	
24	1	1	80	3	5	[9004, 9004, 9001, 9005, 9003, 9002]	[0, 0, 0, 0, 0, 0]	碧士多	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	终于要结束了，加油嗷。	碧碧收什么我就收什么嗷	鲨鲨翻了一会抽屉后，从中拿出了一个铁盒交给了洁塔薇。	结束购物		看来不会再见了，一路顺风嗷。	Assets/Product/Texture/Image/BgStory/Bgstory101.png	碧士多	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	Assets/Product/Texture/Image/BgStory/Bgstory101.png	只看不买可不是好习惯哦。	
