Id	NeedStrengthenPoint	PointType	EffectGroupId	Condition	Page	PreId	Name	Desc	Icon	Note
1	8	1	30001		1		调优Ⅰ	生命值+5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	小节点
2	16	2	30003		1	[1]	渗透Ⅰ	攻击力+50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
3	24	3	30015		1	[2]	协同Ⅰ	商店折扣位置+1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	大节点
4	8	1	30002		1	[1]	卷积Ⅰ	初始算力单元+50	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
5	16	2	30007		1	[4]	渗透Ⅱ	攻击力+50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
6	8	1	30004		1	[5]	卷积Ⅱ	初始算力单元+50	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
7	8	1	30005		1	[6]	防壁Ⅰ	防御+500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	小节点
8	16	2	30006		1	[7]	拓扑Ⅰ	初始招募能量+1	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree004.png	中节点
9	8	1	30008		1	[2]	再构Ⅰ	生命值+500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	小节点
10	8	1	30009		1	[9]	防壁Ⅱ	防御+500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	小节点
11	16	2	30010		1	[10]	渗透Ⅲ	攻击力+50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
12	8	1	30011		1	[11]	卷积Ⅲ	初始算力单元+50	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
13	24	3	30012		1	[12]	嵌刻Ⅰ	演算开始时，额外获得一件随机藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree002.png	大节点
14	8	1	30013		1	[2]	调优Ⅱ	生命值+5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	小节点
15	8	1	30014		1	[14]	对抗Ⅰ	攻击力+5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	小节点
16	16	2	30016		1	[1]	渗透Ⅳ	攻击力+50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
17	16	2	30018		1	[16]	渗透Ⅴ	攻击力+50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
18	8	1	30019		1	[16]	防壁Ⅲ	防御+500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	小节点
19	8	1	30020		1	[18]	再构Ⅱ	生命值+500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	小节点
20	16	2	30021		1	[19]	迭代Ⅰ	全属性伤害+15%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	中节点
21	8	1	30022		1	[20]	调优Ⅲ	生命值+5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	小节点
22	8	1	30023		1	[21]	卷积Ⅳ	初始算力单元+50	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
23	24	3			1	[22]	部署Ⅰ	进入演算后，首场战斗额外掉落一个随机装备箱	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree003.png	大节点
24	24	3	30017		1	[16]	负荷Ⅰ	所有成员装备负重+1	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree005.png	大节点
25	8	1	30025		1	[24]	卷积Ⅴ	初始算力单元+50	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
26	8	1	30026		1	[25]	外溢Ⅰ	额外伤害加成+5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13001.png	小节点
27	16	2	30027		1	[1]	渗透Ⅵ	攻击力+50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
28	8	1	30028		1	[27]	卷积Ⅵ	初始算力单元+50	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
29	8	1	30029		1	[28]	再构Ⅲ	生命值+500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	小节点
30	16	2	30030		1	[29]	拓扑Ⅱ	初始招募能量+1	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree004.png	中节点
31	3	1	30101		2		调优Ⅰ	生命值+3%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	小节点
32	5	2	30103		2	[31]	渗透Ⅰ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
33	9	3	30115	1020255	2	[32]	熵变Ⅰ	【绯质核心】事件出现权重提高	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill01.png	大节点
34	3	1	30102		2	[31]	卷积Ⅰ	初始算力单元+30	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
35	5	2	30107		2	[34]	渗透Ⅱ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
36	3	1	30104		2	[35]	卷积Ⅱ	初始算力单元+30	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
37	3	1	30105		2	[36]	访问Ⅰ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	小节点
38	5	2	30106		2	[37]	调优Ⅳ	生命值+8%	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree004.png	中节点
39	3	1	30108		2	[32]	再构Ⅰ	生命值+250	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	小节点
40	3	1	30109		2	[39]	访问Ⅱ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	小节点
41	5	2	30110		2	[40]	渗透Ⅲ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
42	3	1	30111		2	[41]	卷积Ⅲ	初始算力单元+30	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
43	9	3	30112		2	[42]	迭代Ⅰ	装备箱免费刷新次数+1	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree002.png	大节点
44	3	1	30113		2	[32]	调优Ⅱ	生命值+3%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	小节点
45	3	1	30114		2	[44]	对抗Ⅰ	攻击力+3%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	小节点
46	5	2	30116		2	[31]	渗透Ⅳ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
47	5	2	30118		2	[46]	渗透Ⅴ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
48	3	1	30119		2	[46]	访问Ⅲ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	小节点
49	3	1	30120		2	[48]	再构Ⅱ	生命值+250	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	小节点
50	5	2	30121		2	[49]	迭代Ⅰ	全属性伤害+10%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	中节点
51	3	1	30122		2	[50]	调优Ⅲ	生命值+3%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	小节点
52	3	1	30123		2	[51]	卷积Ⅳ	初始算力单元+30	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
53	9	3	30131		2	[52]	迭代Ⅱ	装备箱付费刷新价格-50%	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree003.png	大节点
54	9	3	30117	1020255	2	[46]	量化Ⅰ	正量化buff持续时间大幅缩短，逆量化buff持续时间大幅延长	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill02.png	大节点
55	3	1	30125		2	[54]	卷积Ⅴ	初始算力单元+30	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
56	3	1	30126		2	[55]	外溢Ⅰ	额外伤害加成+3%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13001.png	小节点
57	5	2	30127		2	[31]	渗透Ⅵ	攻击力+30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	中节点
58	3	1	30128		2	[57]	卷积Ⅵ	初始算力单元+30	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree001.png	小节点
59	3	1	30129		2	[58]	再构Ⅲ	生命值+250	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	小节点
60	5	2	30130		2	[59]	再构Ⅳ	生命值+600	Assets/Product/Texture/Image/UiTheatre3/Theatre3StrengthenTree004.png	中节点
