Id	CharacterId	RobotId	StarGroupId	Desc
1	1011002	171007	1	里·异火
2	1021001	171008	2	露西亚·红莲
3	1031001	171009	3	丽芙·蚀暗
4	1041002	171010	4	比安卡·零度
5	1051001	171011	5	七实·风暴
6	1061002	171012	6	神威·重能
7	1071002	171013	7	卡列尼娜·爆裂
8	1081002	171014	8	渡边·夜刃
9	1021002	171015	9	露西亚·黎明
10	1031002	171016	10	丽芙·流光
11	1011003	171017	11	里·乱数
12	1031003	171018	12	丽芙·仰光
13	1061003	171019	13	神威·暗能
14	1071003	171020	14	卡列尼娜·烬燃
15	1051003	171021	15	七实·脉冲
16	1021003	171022	16	露西亚·深红之渊
17	1081003	171023	17	渡边·夙星
18	1091002	171024	18	艾拉·溢彩
19	1041003	171025	19	比安卡·真理
20	1111002	171026	20	苏菲亚·银牙
21	1121002	171027	21	库洛姆·弧光
22	1021004	171028	22	露西亚·鸦羽
23	1131002	171029	23	薇拉·瑰丽
24	1511003	171030	24	卡穆·狂犬
25	1141003	171031	25	罗塞塔·凛冽
26	1521003	171032	26	曲·雀翎
27	1161002	171033	27	常羽·游麟
28	1171003	171034	28	露娜·银冕
29	1211002	171035	29	万事·明觉
30	1531003	171036	30	赛琳娜·岚音
31	1121003	171037	31	库洛姆·荣光
32	1221002	171038	32	21号·XXI
33	1131003	171039	33	薇拉·绯耀
34	1541003	171040	34	罗兰·戏炎
35	1031004	171041	35	丽芙·极昼
36	1531004	171042	36	赛琳娜·幻奏
37	1551003	171043	37	蒲牢·华钟
38	1051004	171044	38	七实·遥星之座
39	1561003	171045	39	哈卡玛·隐星
40	1071004	171046	40	卡列尼娜·辉晓
41	1571003	171047	41	诺安·逆旅
42	1041004	171048	42	比安卡·深痕
43	1231002	171049	43	邦比娜塔·琉璃
44	1011004	171050	44	里·超刻
45	1091003	171051	45	艾拉·万华
46	1021005	171052	46	露西亚·深红囚影
47	1241002	171053	47	含英·清商
48	1221003	171054	48	21号·森息
49	1251002	171055	49	诺克提·擎驱
50	1261003	171056	50	亚里莎·回音
51	1271003	171057	51	拉弥亚·深谣
52	1081004	171058	52	渡边·尘铭
53	1521004	171059	53	曲·启明
54	1291002	171060	54	布偶熊·觅语
55	1171004	171061	55	露娜·终焉
56	1301002	171062	56	布丽姬特·耀炎
57	1241003	171063	57	含英·檀心
58	1211003	171064	58	万事·明晰梦
59	1021006	171065	59	露西亚·誓焰
60	1311002	171066	60	八咫·徊闪
61	1051005	171067	61	七实·芒星之迹
62	1321003	171068	62	伊什梅尔·幻日
63	1331003	171069	63	莉莉丝·谬影
64	1531005	171522	64	赛琳娜·希声
65	1341002	172108	65	洁塔薇·破晓
66	1131004	172116	66	薇拉·灼惘
67	1041005	172167	67	比安卡·晖暮
68	1371002	172207	68	斜奏·裁律
69	1381003	172245	69	维罗妮卡·铮骨
