Id	Type	NextEvent	NextEventGroup	OptionGroupId	FightId	RewardId	EffectGroupId	RoleIcon	RoleName	RoleContent	RoleEffect	ConfirmContent	IsEnd	IsForcePlay	BgAsset	StoryId	Name	Icon	BlockIcon	Title	TitleContent	Desc	UnOpenDesc
101	1	102										处理					袭击	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed03.png	6	危险到来	2天内未处理，则驻扎点防御值-1	<color=#FF9519><size=36>紧急事件!!!</size></color>\n<color=#FF3100><size=22>(驻扎点受到威胁)</size></color>	
102	2			102								决定					袭击	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed03.png	6	危险到来	2天内未处理，则驻扎点防御值-1	一伙流窜的盗贼团伙从港口角落包围了公社成员们。盗贼头目要求公社交出物资否则就要动手来抢夺。	
103	1							Assets/Product/Texture/Image/RoleStory/V280npcNormal08.png	盗贼头目	哼哼，算你们识相，我们走！		离开					袭击	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed03.png	6	危险到来	2天内未处理，则驻扎点防御值-1	考虑到公社成员的安全，塔季扬娜决定交出一部分物资。收到物资后盗贼团伙变离开了这里。	
104	3					[101]		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	这种行为，公社绝不容忍。		离开					袭击	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed03.png	6	危险到来	2天内未处理，则驻扎点防御值-1	公社物资紧缺但塔季扬娜和成员绝不会容忍这种罪恶行为，在一番缠斗后成功击退了盗贼团伙，回收对方散落的物资后，成员们为这场胜利庆祝了一番。	
1001	1	1002					10040	Assets/Product/Texture/Image/RoleStory/IceguideNomal.png	狄安娜	前方区域疑似存在着高危敌对反应，不可贸然深入。		继续					汇合	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	7	汇合	前哨站	先遣队已在此处等候多时，见塔季扬娜到来，立刻上前汇报情况。	先遣队已在此处等候多时。
1002	1	1003					10041	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	如果遇到强敌拦住去路的话，就先留在原地建设已探索区域，获取足够的发展指数之后再进行挑战吧。		决定					汇合	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	7	汇合	前哨站	谨慎地观察和评估了敌我双方的实力差距之后，一行人作出了决定。	先遣队已在此处等候多时。
1003	3					[11001]						收下					汇合	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	7	汇合	前哨站	先遣队在驻扎时找到了一部分物资。	先遣队已在此处等候多时。
10001	1		10002					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜			下一步					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	战斗测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10002	2		10003	10009				Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜			下一步					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	战斗测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10003	4		10004		11001			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	这一步进局内战斗		进战斗					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	战斗测试-索引小怪	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10004	1							Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜			离开		1			测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	战斗测试-结束	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10005	1		10006					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜			下一步					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	发奖励测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10006	3		10007			[10001]		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	这一步拿奖励		拿走					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	发奖励测试-发奖励	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10007	1		10008					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜			下一步					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	发奖励测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10008	1							Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜			离开					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	发奖励测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10009	1		10010					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	起手纯展示直接过		下一步					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	选项测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10010	2			10010				Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	这一步开选		拿走					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	选项测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10011	1							Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	10009的结束导向		下一步					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	选项测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10012	3					[10001]		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	10010的结束导向1		离开					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	选项测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
10013	3					[10001]		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleTatiana.png	塔季扬娜	10010的结束导向2		离开					测试人物	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	选项测试	不知道这个是啥先写了	洁塔薇有些不太情愿地拿出两个包裹。	还未翻开。
11001	2			11001								决定					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	一个正在进行长途迁徙的难民团队首领来到了营地里面，他希望公社能接纳他们，并承诺愿意尽力协助生产作为回报。	一支难民团队靠近了。
11002	3					[12013, 12014, 12015]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	虽然公社一时之间无法接纳那么多难民，但资助了他们一些粮食，他们留下了一些暂时用不到的工具作为交换，然后感激地离开了。	一支难民团队靠近了。
