Id	Des	GroupId	EventId	Weight	GameRepeatable	ConditionId	AddWeight	AddWeightCondition
1	选项跳转用事件组	10010	10010	100	1			
2	选项跳转用事件组	10011	10011	100	1			
3	选项跳转用事件组	10012	10012	100	1			
4	选项跳转用事件组	10013	10013	100	1			
5	暂时用着，要删的	10002	10002	100	1			
6	暂时用着，要删的	10003	10003	100	1			
7	暂时用着，要删的	10004	10004	100	1			
8	暂时用着，要删的	10006	10006	100	1			
9	暂时用着，要删的	10007	10007	100	1			
10	暂时用着，要删的	10008	10008	100	1			
11	测试用随机3选1	10009	10001	100	1			
12	测试用随机3选1	10009	10005	100	1			
13	测试用随机3选1	10009	10009	100	1			
14	蓝图真假门结局	30001	30001	100	1			
15	凑数cost金币1	21001	11001		1	1020603		
16	凑数cost金币2	21001	11009		1	1020603		
17	凑数cost金币3	21001	11017		1	1020603		
18	通用事件组	20001	11001	100	1			
19	通用事件-前两章不刷	20001	11009		1		[100]	[1020614]
20	通用事件组	20001	11017	100	1			
21	通用事件组	20001	11025	100	1			
22	通用事件组	20001	11033	100	1			
23	通用事件组	20001	11041	100	1			
24	通用事件组	20001	11075	100	1			
25	通用事件组	20001	11133	100	1			
26	通用事件组	20001	11146	100	1			
27	通用事件组	20001	11159		1		[100]	[1020614]
28	捉迷藏传送事件	30180	30180	100				
29	捉迷藏传送到达事件	30200	30200	100	1			
30	无上之戒起手	31001	31001	100				
31	无上之戒图3	31002	31006		1		[99999]	[1020619]
32	无上之戒图3	31002	31013		1		[99999]	[1020620]
33	无上之戒图3	31002	11001	1	1			
34	无上之戒图3	31002	11009		1		[1]	[1020614]
35	无上之戒图3	31002	11017	1	1			
36	无上之戒图3	31002	11025	1	1			
37	无上之戒图3	31002	11033	1	1			
38	无上之戒图3	31002	11041	1	1			
39	无上之戒图3	31002	11075	1	1			
40	无上之戒图3	31002	11133	1	1			
41	无上之戒图3	31002	11146	1	1			
42	无上之戒图3	31002	11159		1		[1]	[1020614]
43	无上之戒图4事件	31003	31017	100	1			
44	芙莉莲事件	31004	31019	100	1			
45	科研站，黄图3开门事件	31005	31028	100	1			
46	黄色结局开门事件，不减权了，结局图必出	31006	31035	9999	1			
47	黄色神秘商店	31007	31038	1	1			
48	冬日之影蓝色图2	31008	30060				[99999]	[1020631]
49	冬日之影蓝色图2	31008	11001	1	1			
50	冬日之影蓝色图2	31008	11009		1		[1]	[1020614]
51	冬日之影蓝色图2	31008	11017	1	1			
52	冬日之影蓝色图2	31008	11025	1	1			
53	冬日之影蓝色图2	31008	11033	1	1			
54	冬日之影蓝色图2	31008	11041	1	1			
55	冬日之影蓝色图2	31008	11075	1	1			
56	冬日之影蓝色图2	31008	11133	1	1			
57	冬日之影蓝色图2	31008	11146	1	1			
58	冬日之影蓝色图2	31008	11159		1		[1]	[1020614]
59	大扫除蓝色图3	31009	30410	1	1			
60	冬日之影蓝色图1	31010	30050	1	1			
61	朋友蓝色图4	31011	30420	1	1			
62	救晚钟蓝色图4	31012	30434	1	1			
63	机械蠕虫蓝色图5	31013	30445	1	1			
64	蓝色结局真假门选择	31014	31080	1	1			
65	战马瑞恩红色图1	31015	30030	10				
66	战马瑞恩红色图1	31015	11001	1	1			
67	战马瑞恩红色图1	31015	11009		1		[1]	[1020614]
68	战马瑞恩红色图1	31015	11017	1	1			
69	战马瑞恩红色图1	31015	11025	1	1			
70	战马瑞恩红色图1	31015	11033	1	1			
71	战马瑞恩红色图1	31015	11041	1	1			
72	战马瑞恩红色图1	31015	11075	1	1			
73	战马瑞恩红色图1	31015	11133	1	1			
74	战马瑞恩红色图1	31015	11146	1	1			
75	战马瑞恩红色图1	31015	11159		1		[1]	[1020614]
76	战马瑞恩红色图2	31016	30036				[99999]	[1020615]
77	战马瑞恩红色图2	31016	30040		1		[99999]	[1020616]
78	战马瑞恩红色图2	31016	11001	1	1			
79	战马瑞恩红色图2	31016	11009		1		[1]	[1020614]
80	战马瑞恩红色图2	31016	11017	1	1			
81	战马瑞恩红色图2	31016	11025	1	1			
82	战马瑞恩红色图2	31016	11033	1	1			
83	战马瑞恩红色图2	31016	11041	1	1			
84	战马瑞恩红色图2	31016	11075	1	1			
85	战马瑞恩红色图2	31016	11133	1	1			
86	战马瑞恩红色图2	31016	11146	1	1			
87	战马瑞恩红色图2	31016	11159		1		[1]	[1020614]
88	红色结局事件-结局必出	31017	31110	1				
89	章节1主线，前两次加权，后面50%概率出	31018	31130	10			[9999, 9999, -19998]	[1020649, 1020650, 1020691]
90		31018	11001	1	1			
91		31018	11009		1		[1]	[1020614]
92		31018	11017	1	1			
93		31018	11025	1	1			
94		31018	11033	1	1			
95		31018	11041	1	1			
96		31018	11075	1	1			
97		31018	11133	1	1			
98		31018	11146	1	1			
99		31018	11159		1		[1]	[1020614]
100	章节2主线，前两次加权，后面50%概率出	31019	31140	10			[9999, 9999, -19998]	[1020651, 1020652, 1020692]
101		31019	11001	1	1			
102		31019	11009		1		[1]	[1020614]
103		31019	11017	1	1			
104		31019	11025	1	1			
105		31019	11033	1	1			
106		31019	11041	1	1			
107		31019	11075	1	1			
108		31019	11133	1	1			
109		31019	11146	1	1			
110		31019	11159		1		[1]	[1020614]
111	章节4主线，前两次加权，后面50%概率出	31020	31170	10			[9999, 9999, -19998]	[1020653, 1020654, 1020693]
112		31020	11001	1	1			
113		31020	11009		1		[1]	[1020614]
114		31020	11017	1	1			
115		31020	11025	1	1			
116		31020	11033	1	1			
117		31020	11041	1	1			
118		31020	11075	1	1			
119		31020	11133	1	1			
120		31020	11146	1	1			
121		31020	11159		1		[1]	[1020614]
122	章节3主线，前两次加权，后面50%概率出	31021	31185	10			[9999, 9999, -19998]	[1020655, 1020656, 1020694]
123		31021	11001	1	1			
124		31021	11009		1		[1]	[1020614]
125		31021	11017	1	1			
126		31021	11025	1	1			
127		31021	11033	1	1			
128		31021	11041	1	1			
129		31021	11075	1	1			
130		31021	11133	1	1			
131		31021	11146	1	1			
132		31021	11159		1		[1]	[1020614]
133	红色结局事件-必出	31022	31110	1				
134	前有陷阱事件内部随机区域用	31030	30098	1		1020670		
135		31030	30099	1		1020670		
136		31030	30100	1		1020671		
138	红色路线1，前有陷阱事件	31031	30090	1000				
139		31031	11001	1	1			
140		31031	11009		1		[1]	[1020614]
141		31031	11017	1	1			
142		31031	11025	1	1			
143		31031	11033	1	1			
144		31031	11041	1	1			
145		31031	11075	1	1			
146		31031	11133	1	1			
147		31031	11146	1	1			
148		31031	11159		1		[1]	[1020614]
149	新手地图1事件1	1001	1001	1	1			
150	新手地图2事件1	1002	11001	1	1			
151	新手地图2事件1	1003	11017	1	1			
152	红色路线1，我们的故乡-前置-第三章	31032	30501	1000				
153		31032	11001	1	1			
154		31032	11009		1		[1]	[1020614]
155		31032	11017	1	1			
156		31032	11025	1	1			
157		31032	11033	1	1			
158		31032	11041	1	1			
159		31032	11075	1	1			
160		31032	11133	1	1			
161		31032	11146	1	1			
162		31032	11159		1		[1]	[1020614]
163	红色路线1，我们的故乡-结尾-第四章	31033	30520	1000				
164	混色路线1，奔赴战场1-第二章	31040	30300	1000				
165		31040	11001	1	1			
166		31040	11009		1		[1]	[1020614]
167		31040	11017	1	1			
168		31040	11025	1	1			
169		31040	11033	1	1			
170		31040	11041	1	1			
171		31040	11075	1	1			
172		31040	11133	1	1			
173		31040	11146	1	1			
174		31040	11159		1		[1]	[1020614]
175	混色路线1，奔赴战场2-第三章	31041	30320	1000		1020695		
176		31041	11001	1	1			
177		31041	11009		1		[1]	[1020614]
178		31041	11017	1	1			
179		31041	11025	1	1			
180		31041	11033	1	1			
181		31041	11041	1	1			
182		31041	11075	1	1			
183		31041	11133	1	1			
184		31041	11146	1	1			
185		31041	11159		1		[1]	[1020614]
186	混色路线1，奔赴战场3-第四章	31042	30370	1000		1020696		
187		31042	11001	1	1			
188		31042	11009		1		[1]	[1020614]
189		31042	11017	1	1			
190		31042	11025	1	1			
191		31042	11033	1	1			
192		31042	11041	1	1			
193		31042	11075	1	1			
194		31042	11133	1	1			
195		31042	11146	1	1			
196		31042	11159		1		[1]	[1020614]
197	混色路线1，忠诚守卫1-第四章	31043	30221	1000				
198		31043	11001	1	1			
199		31043	11009		1		[1]	[1020614]
200		31043	11017	1	1			
201		31043	11025	1	1			
202		31043	11033	1	1			
203		31043	11041	1	1			
204		31043	11075	1	1			
205		31043	11133	1	1			
206		31043	11146	1	1			
207		31043	11159		1		[1]	[1020614]
208	混色路线1，忠诚守卫2-第四章	31044	30250	1000				
209	白银城系列初始	60001	60001	1	1			
210	白银城首次劝退	60008	60008	1	1			
211	白银城翻倍	60011	60011	1	1			
212	白银城减半	60015	60015	1	1			
213	白银城-100	60019	60019	1	1			
214	白银城+100	60021	60021	1	1			
215	白银城+400	60024	60024	1	1			
216	战前	60026	60026	1	1			
217	战后	60030	60030	1	1			
218	逆风小径初始	60034	60034	1	1			
219	逆风小径劝退	60040	60040	1	1			
220	逆风小径-项链	60043	60043	1	1			
221	逆风小径-数值奖励	60046	60046	1	1			
222	逆风小径-试炼	60048	60048	1	1			
223	逆风小径-boss战后	60051	60051	1	1			
224	逆风小径-第二章开局奖励	60058	60058	1	1			
225	极地复兴计划1	60059	60059					
226	极地复兴计划2	60059	60071					
227	极地复兴计划3	60059	60077					
228	黄金城+100倒下的石柱	60125	60125	1	1			
229	黄金城+100前人遗物	60128	60128	1	1			
230	觉醒事件-蓝-无名实验室	60132	60132	1	1			
231	觉醒事件-蓝-冰层下的遗物	60143	60143	1	1			
232	觉醒事件-黄-塔顶的占星师	60153	60153	1	1			
233	觉醒事件-黄-实现心愿的温泉	60164	60164	1	1			
234	觉醒事件-红-幻想之兽	60183	60183	1	1			
235	觉醒事件-红-不止之梦	60194	60194	1	1			
